"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","2809 Hampshire Ave N"
"Comments:","Near the school."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","11/04/2024"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
11/04/2024 14:00 - 14:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/04/2024 15:00 - 15:59,1,4,6,5,2,0,0,0,0,0,0,0,0,0,0,18,24.1,29.8
11/04/2024 16:00 - 16:59,1,1,8,9,2,2,0,0,0,0,0,0,0,0,0,23,26.8,31.1
11/04/2024 17:00 - 17:59,0,0,10,9,3,2,0,0,0,0,0,0,0,0,0,24,27.8,32.5
11/04/2024 18:00 - 18:59,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,12,26.8,29.6
11/04/2024 19:00 - 19:59,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,6,29.2,34.0
11/04/2024 20:00 - 20:59,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,6,28.3,29.0
11/04/2024 21:00 - 21:59,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7,25.7,33.4
11/04/2024 22:00 - 22:59,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,27.0,30.5
11/04/2024 23:00 - 23:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
11/05/2024 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
11/05/2024 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 04:00 - 04:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
11/05/2024 05:00 - 05:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
11/05/2024 06:00 - 06:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
11/05/2024 07:00 - 07:59,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,7,26.1,30.1
11/05/2024 08:00 - 08:59,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,7,24.1,27.1
11/05/2024 09:00 - 09:59,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,31.0,33.3
11/05/2024 10:00 - 10:59,0,1,4,4,3,0,0,0,0,0,0,0,0,0,0,12,27.2,32.2
11/05/2024 11:00 - 11:59,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,13,24.3,29.2
11/05/2024 12:00 - 12:59,2,1,1,8,3,0,0,0,0,0,0,0,0,0,0,15,26.0,31.4
11/05/2024 13:00 - 13:59,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,6,25.8,29.0
11/05/2024 14:00 - 14:59,0,0,1,7,3,1,0,0,0,0,0,0,0,0,0,12,30.0,33.8
11/05/2024 15:00 - 15:59,0,1,5,11,1,0,0,0,0,0,0,0,0,0,0,18,26.7,30.0
11/05/2024 16:00 - 16:59,0,0,4,11,1,0,0,0,0,0,0,0,0,0,0,16,27.5,30.1
11/05/2024 17:00 - 17:59,1,1,10,4,0,0,0,0,0,0,0,0,0,0,0,16,23.6,27.4
11/05/2024 18:00 - 18:59,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,11,27.5,30.0
11/05/2024 19:00 - 19:59,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,5,26.2,29.8
11/05/2024 20:00 - 20:59,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,6,26.7,34.0
11/05/2024 21:00 - 21:59,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,14.8,25.5
11/05/2024 22:00 - 22:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
11/05/2024 23:00 - 23:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
11/06/2024 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
11/06/2024 02:00 - 02:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
11/06/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 05:00 - 05:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
11/06/2024 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 07:00 - 07:59,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,22.6,29.8
11/06/2024 08:00 - 08:59,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,9,26.8,29.5
11/06/2024 09:00 - 09:59,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,6,26.8,29.3
11/06/2024 10:00 - 10:59,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,7,26.4,33.3
11/06/2024 11:00 - 11:59,1,0,3,7,4,0,0,0,0,0,0,0,0,0,0,15,27.5,32.6
11/06/2024 12:00 - 12:59,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,31.0,33.3
11/06/2024 13:00 - 13:59,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,8,23.5,27.5
11/06/2024 14:00 - 14:59,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,14,26.6,30.4
11/06/2024 15:00 - 15:59,0,4,9,8,3,0,0,0,0,0,0,0,0,0,0,24,25.5,30.3
11/06/2024 16:00 - 16:59,1,0,5,8,5,2,0,1,0,0,0,0,0,0,0,22,29.4,35.2
11/06/2024 17:00 - 17:59,2,0,3,8,2,0,0,0,0,0,0,0,0,0,0,15,25.7,30.5
11/06/2024 18:00 - 18:59,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,13,26.9,29.9
