"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","2809 Hampshire Ave N"
"Comments:","Near the school."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","11/4/2024"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Northbound","Southbound","Total"
11/04/2024 14:00 - 14:59,0,0,0
11/04/2024 15:00 - 15:59,18,15,33
11/04/2024 16:00 - 16:59,23,9,32
11/04/2024 17:00 - 17:59,24,10,34
11/04/2024 18:00 - 18:59,12,10,22
11/04/2024 19:00 - 19:59,6,6,12
11/04/2024 20:00 - 20:59,6,2,8
11/04/2024 21:00 - 21:59,7,1,8
11/04/2024 22:00 - 22:59,4,0,4
11/04/2024 23:00 - 23:59,1,1,2
11/05/2024 00:00 - 00:59,0,0,0
11/05/2024 01:00 - 01:59,1,1,2
11/05/2024 02:00 - 02:59,0,0,0
11/05/2024 03:00 - 03:59,0,0,0
11/05/2024 04:00 - 04:59,1,0,1
11/05/2024 05:00 - 05:59,1,7,8
11/05/2024 06:00 - 06:59,1,4,5
11/05/2024 07:00 - 07:59,7,19,26
11/05/2024 08:00 - 08:59,7,15,22
11/05/2024 09:00 - 09:59,4,7,11
11/05/2024 10:00 - 10:59,12,15,27
11/05/2024 11:00 - 11:59,13,16,29
11/05/2024 12:00 - 12:59,15,11,26
11/05/2024 13:00 - 13:59,6,7,13
11/05/2024 14:00 - 14:59,12,16,28
11/05/2024 15:00 - 15:59,18,10,28
11/05/2024 16:00 - 16:59,16,6,22
11/05/2024 17:00 - 17:59,16,7,23
11/05/2024 18:00 - 18:59,11,6,17
11/05/2024 19:00 - 19:59,5,9,14
11/05/2024 20:00 - 20:59,6,2,8
11/05/2024 21:00 - 21:59,4,4,8
11/05/2024 22:00 - 22:59,3,1,4
11/05/2024 23:00 - 23:59,2,1,3
11/06/2024 00:00 - 00:59,0,0,0
11/06/2024 01:00 - 01:59,1,1,2
11/06/2024 02:00 - 02:59,1,0,1
11/06/2024 03:00 - 03:59,0,0,0
11/06/2024 04:00 - 04:59,0,0,0
11/06/2024 05:00 - 05:59,1,7,8
