"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","2809 Hampshire Ave N"
"Comments:","Near the school."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","11/4/2024"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
11/04/2024 14:00 - 14:59,0,0,0
11/04/2024 15:00 - 15:59,36,30,66
11/04/2024 16:00 - 16:59,46,18,64
11/04/2024 17:00 - 17:59,48,20,68
11/04/2024 18:00 - 18:59,24,20,44
11/04/2024 19:00 - 19:59,12,12,24
11/04/2024 20:00 - 20:59,12,4,16
11/04/2024 21:00 - 21:59,14,2,16
11/04/2024 22:00 - 22:59,8,0,8
11/04/2024 23:00 - 23:59,2,2,4
11/05/2024 00:00 - 00:59,0,0,0
11/05/2024 01:00 - 01:59,2,2,4
11/05/2024 02:00 - 02:59,0,0,0
11/05/2024 03:00 - 03:59,0,0,0
11/05/2024 04:00 - 04:59,2,0,2
11/05/2024 05:00 - 05:59,2,14,16
11/05/2024 06:00 - 06:59,2,9,11
11/05/2024 07:00 - 07:59,14,38,52
11/05/2024 08:00 - 08:59,14,30,44
11/05/2024 09:00 - 09:59,8,15,23
11/05/2024 10:00 - 10:59,24,31,55
11/05/2024 11:00 - 11:59,26,32,58
11/05/2024 12:00 - 12:59,30,25,55
11/05/2024 13:00 - 13:59,12,14,26
11/05/2024 14:00 - 14:59,24,33,57
11/05/2024 15:00 - 15:59,36,20,56
11/05/2024 16:00 - 16:59,32,12,44
11/05/2024 17:00 - 17:59,32,14,46
11/05/2024 18:00 - 18:59,22,12,34
11/05/2024 19:00 - 19:59,10,18,28
11/05/2024 20:00 - 20:59,12,4,16
11/05/2024 21:00 - 21:59,8,8,16
11/05/2024 22:00 - 22:59,6,2,8
11/05/2024 23:00 - 23:59,4,2,6
11/06/2024 00:00 - 00:59,0,0,0
11/06/2024 01:00 - 01:59,2,2,4
11/06/2024 02:00 - 02:59,2,0,2
11/06/2024 03:00 - 03:59,0,0,0
11/06/2024 04:00 - 04:59,0,0,0
11/06/2024 05:00 - 05:59,2,14,16
11/06/2024 06:00 - 06:59,0,12,12
11/06/2024 07:00 - 07:59,10,60,70
11/06/2024 08:00 - 08:59,18,46,64
11/06/2024 09:00 - 09:59,12,26,38
11/06/2024 10:00 - 10:59,16,21,37
11/06/2024 11:00 - 11:59,30,18,48
11/06/2024 12:00 - 12:59,8,20,28
11/06/2024 13:00 - 13:59,17,12,29
11/06/2024 14:00 - 14:59,28,24,52
11/06/2024 15:00 - 15:59,50,32,82
11/06/2024 16:00 - 16:59,44,34,78
11/06/2024 17:00 - 17:59,31,24,55
11/06/2024 18:00 - 18:59,26,20,46
11/06/2024 19:00 - 19:59,24,6,30
11/06/2024 20:00 - 20:59,8,8,16
11/06/2024 21:00 - 21:59,14,4,18
11/06/2024 22:00 - 22:59,4,0,4
11/06/2024 23:00 - 23:59,2,2,4
11/07/2024 00:00 - 00:59,0,0,0
11/07/2024 01:00 - 01:59,0,2,2
11/07/2024 02:00 - 02:59,2,0,2
11/07/2024 03:00 - 03:59,0,2,2
11/07/2024 04:00 - 04:59,2,2,4
11/07/2024 05:00 - 05:59,2,14,16
11/07/2024 06:00 - 06:59,8,10,18
11/07/2024 07:00 - 07:59,16,52,68
11/07/2024 08:00 - 08:59,23,36,59
11/07/2024 09:00 - 09:59,18,28,46
11/07/2024 10:00 - 10:59,12,16,28
11/07/2024 11:00 - 11:59,37,18,55
11/07/2024 12:00 - 12:59,26,8,34
11/07/2024 13:00 - 13:59,14,16,30
