"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","2941 Hampshire Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","11/04/2024"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
11/04/2024 15:00 - 15:59,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,8,25.3,29.3
11/04/2024 16:00 - 16:59,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,7,26.9,30.1
11/04/2024 17:00 - 17:59,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,9,24.0,29.6
11/04/2024 18:00 - 18:59,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,6,26.5,29.0
11/04/2024 19:00 - 19:59,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,6,23.5,29.0
11/04/2024 20:00 - 20:59,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,29.5,30.5
11/04/2024 21:00 - 21:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
11/04/2024 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/04/2024 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 05:00 - 05:59,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,27.4,29.4
11/05/2024 06:00 - 06:59,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,23.5,30.5
11/05/2024 07:00 - 07:59,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,14,28.5,32.8
11/05/2024 08:00 - 08:59,1,0,3,2,3,0,0,0,0,0,0,0,0,0,0,9,26.3,32.9
11/05/2024 09:00 - 09:59,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,8,24.6,28.2
11/05/2024 10:00 - 10:59,0,1,3,5,3,0,0,0,0,0,0,0,0,0,0,12,27.5,32.2
11/05/2024 11:00 - 11:59,0,1,2,7,3,0,0,0,0,0,0,0,0,0,0,13,28.0,31.9
11/05/2024 12:00 - 12:59,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,10,24.9,28.5
11/05/2024 13:00 - 13:59,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,24.2,33.9
11/05/2024 14:00 - 14:59,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,10,25.8,33.5
11/05/2024 15:00 - 15:59,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,8,32.0,35.3
11/05/2024 16:00 - 16:59,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28.3,29.4
11/05/2024 17:00 - 17:59,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,26.4,34.8
11/05/2024 18:00 - 18:59,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7,21.6,27.1
11/05/2024 19:00 - 19:59,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,6,25.0,28.7
11/05/2024 20:00 - 20:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
11/05/2024 21:00 - 21:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
11/05/2024 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/05/2024 23:00 - 23:59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,33.0,37.0
11/06/2024 00:00 - 00:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
11/06/2024 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
11/06/2024 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 05:00 - 05:59,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,6,29.2,29.0
11/06/2024 06:00 - 06:59,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,6,26.7,29.0
11/06/2024 07:00 - 07:59,1,1,5,15,3,0,0,0,0,0,0,0,0,0,0,25,26.9,30.6
11/06/2024 08:00 - 08:59,2,0,5,8,2,1,0,0,0,0,0,0,0,0,0,18,26.2,30.5
11/06/2024 09:00 - 09:59,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,30.8,33.7
11/06/2024 10:00 - 10:59,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,9,25.8,31.4
11/06/2024 11:00 - 11:59,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,23.7,31.3
11/06/2024 12:00 - 12:59,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,8,32.1,36.8
