"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","2941 Hampshire Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","11/04/2024"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
11/04/2024 15:00 - 15:59,8,16,24
11/04/2024 16:00 - 16:59,30,14,44
11/04/2024 17:00 - 17:59,34,18,52
11/04/2024 18:00 - 18:59,24,12,36
11/04/2024 19:00 - 19:59,10,12,22
11/04/2024 20:00 - 20:59,10,8,18
11/04/2024 21:00 - 21:59,12,2,14
11/04/2024 22:00 - 22:59,8,0,8
11/04/2024 23:00 - 23:59,0,0,0
11/05/2024 00:00 - 00:59,0,0,0
11/05/2024 01:00 - 01:59,0,0,0
11/05/2024 02:00 - 02:59,0,0,0
11/05/2024 03:00 - 03:59,2,0,2
11/05/2024 04:00 - 04:59,2,0,2
11/05/2024 05:00 - 05:59,0,10,10
11/05/2024 06:00 - 06:59,2,9,11
11/05/2024 07:00 - 07:59,20,28,48
11/05/2024 08:00 - 08:59,13,20,33
11/05/2024 09:00 - 09:59,9,17,26
11/05/2024 10:00 - 10:59,20,24,44
11/05/2024 11:00 - 11:59,27,26,53
11/05/2024 12:00 - 12:59,32,30,62
11/05/2024 13:00 - 13:59,4,12,16
11/05/2024 14:00 - 14:59,25,21,46
11/05/2024 15:00 - 15:59,26,16,42
11/05/2024 16:00 - 16:59,34,6,40
11/05/2024 17:00 - 17:59,12,10,22
11/05/2024 18:00 - 18:59,22,14,36
11/05/2024 19:00 - 19:59,8,12,20
11/05/2024 20:00 - 20:59,8,4,12
11/05/2024 21:00 - 21:59,4,4,8
11/05/2024 22:00 - 22:59,9,0,9
11/05/2024 23:00 - 23:59,6,4,10
11/06/2024 00:00 - 00:59,0,2,2
11/06/2024 01:00 - 01:59,0,2,2
11/06/2024 02:00 - 02:59,2,0,2
11/06/2024 03:00 - 03:59,0,0,0
11/06/2024 04:00 - 04:59,0,0,0
11/06/2024 05:00 - 05:59,2,12,14
11/06/2024 06:00 - 06:59,4,12,16
11/06/2024 07:00 - 07:59,16,51,67
11/06/2024 08:00 - 08:59,16,36,52
11/06/2024 09:00 - 09:59,14,12,26
11/06/2024 10:00 - 10:59,16,19,35
11/06/2024 11:00 - 11:59,20,6,26
11/06/2024 12:00 - 12:59,6,16,22
11/06/2024 13:00 - 13:59,24,10,34
11/06/2024 14:00 - 14:59,22,22,44
11/06/2024 15:00 - 15:59,36,22,58
11/06/2024 16:00 - 16:59,34,30,64
11/06/2024 17:00 - 17:59,31,18,49
11/06/2024 18:00 - 18:59,16,16,32
11/06/2024 19:00 - 19:59,20,6,26
11/06/2024 20:00 - 20:59,6,4,10
11/06/2024 21:00 - 21:59,4,2,6
11/06/2024 22:00 - 22:59,4,0,4
11/06/2024 23:00 - 23:59,2,2,4
11/07/2024 00:00 - 00:59,0,0,0
11/07/2024 01:00 - 01:59,0,0,0
11/07/2024 02:00 - 02:59,2,0,2
11/07/2024 03:00 - 03:59,0,2,2
11/07/2024 04:00 - 04:59,2,2,4
11/07/2024 05:00 - 05:59,2,10,12
11/07/2024 06:00 - 06:59,8,10,18
11/07/2024 07:00 - 07:59,24,48,72
11/07/2024 08:00 - 08:59,23,36,59
11/07/2024 09:00 - 09:59,14,16,30
11/07/2024 10:00 - 10:59,6,16,22
11/07/2024 11:00 - 11:59,31,10,41
11/07/2024 12:00 - 12:59,14,6,20
11/07/2024 13:00 - 13:59,16,18,34
11/07/2024 14:00 - 14:59,28,20,48
11/07/2024 15:00 - 15:59,32,42,74
11/07/2024 16:00 - 16:59,50,16,66
11/07/2024 17:00 - 17:59,36,22,58
11/07/2024 18:00 - 18:59,36,20,56
11/07/2024 19:00 - 19:59,18,14,32
11/07/2024 20:00 - 20:59,12,10,22
11/07/2024 21:00 - 21:59,14,6,20
11/07/2024 22:00 - 22:59,4,2,6
11/07/2024 23:00 - 23:59,2,2,4
11/08/2024 00:00 - 00:59,0,0,0
11/08/2024 01:00 - 01:59,0,0,0
11/08/2024 02:00 - 02:59,2,0,2
11/08/2024 03:00 - 03:59,0,0,0
