"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-14 MPH  - Northbound","15-19 MPH  - Northbound","20-24 MPH  - Northbound","25-29 MPH  - Northbound","30-34 MPH  - Northbound","35-39 MPH  - Northbound","40-44 MPH  - Northbound","45-49 MPH  - Northbound","50-54 MPH  - Northbound","55-59 MPH  - Northbound","60-64 MPH  - Northbound","65-69 MPH  - Northbound","70-74 MPH  - Northbound","75-79 MPH  - Northbound","80-99 MPH  - Northbound","5-14 MPH  - Southbound","15-19 MPH  - Southbound","20-24 MPH  - Southbound","25-29 MPH  - Southbound","30-34 MPH  - Southbound","35-39 MPH  - Southbound","40-44 MPH  - Southbound","45-49 MPH  - Southbound","50-54 MPH  - Southbound","55-59 MPH  - Southbound","60-64 MPH  - Southbound","65-69 MPH  - Southbound","70-74 MPH  - Southbound","75-79 MPH  - Southbound","80-99 MPH  - Southbound"
05/06/2025 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00,12,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0
05/06/2025 11:00,98,66,0,78,9,1,10,0,0,0,0,0,0,0,0,0,51,9,1,5,0,0,0,0,0,0,0,0,1,4,15,35,38,3,2,0,0,0,0,0,0,0,0,3,2,5,23,25,7,1,0,0,0,0,0,0,0,0
05/06/2025 12:00,82,75,0,68,7,0,7,0,0,0,0,0,0,0,0,1,62,6,1,5,0,0,0,0,0,0,0,0,0,2,6,20,37,17,0,0,0,0,0,0,0,0,0,0,4,6,26,35,4,0,0,0,0,0,0,0,0,0
05/06/2025 13:00,105,89,1,84,11,0,9,0,0,0,0,0,0,0,0,0,63,13,3,10,0,0,0,0,0,0,0,0,0,3,13,35,40,12,2,0,0,0,0,0,0,0,0,0,4,4,29,39,11,2,0,0,0,0,0,0,0,0
05/06/2025 14:00,132,96,2,106,9,3,12,0,0,0,0,0,0,0,0,1,70,16,1,8,0,0,0,0,0,0,0,0,1,5,11,47,46,20,2,0,0,0,0,0,0,0,0,0,1,12,25,46,11,1,0,0,0,0,0,0,0,0
05/06/2025 15:00,125,107,0,105,9,0,11,0,0,0,0,0,0,0,0,1,87,9,0,9,0,0,1,0,0,0,0,0,0,0,18,52,45,8,2,0,0,0,0,0,0,0,0,1,4,5,33,47,15,1,1,0,0,0,0,0,0,0
05/06/2025 16:00,132,99,0,101,13,3,15,0,0,0,0,0,0,0,0,2,79,14,0,4,0,0,0,0,0,0,0,0,0,0,10,52,55,13,2,0,0,0,0,0,0,0,0,0,0,5,25,52,16,1,0,0,0,0,0,0,0,0
05/06/2025 17:00,127,90,1,113,7,1,5,0,0,0,0,0,0,0,0,2,81,5,0,2,0,0,0,0,0,0,0,0,0,0,9,56,53,9,0,0,0,0,0,0,0,0,0,0,2,7,19,46,16,0,0,0,0,0,0,0,0,0
05/06/2025 18:00,87,81,0,76,6,0,5,0,0,0,0,0,0,0,0,1,66,7,0,7,0,0,0,0,0,0,0,0,1,2,6,28,39,11,0,0,0,0,0,0,0,0,0,1,0,3,22,40,13,2,0,0,0,0,0,0,0,0
