"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-15 MPH  - Northbound","16-20 MPH  - Northbound","21-25 MPH  - Northbound","26-30 MPH  - Northbound","31-35 MPH  - Northbound","36-40 MPH  - Northbound","41-45 MPH  - Northbound","44-50 MPH  - Northbound","51-55 MPH  - Northbound","56-60 MPH  - Northbound","61-65 MPH  - Northbound","66-70 MPH  - Northbound","71-71 MPH  - Northbound","76-80 MPH  - Northbound","81-99 MPH  - Northbound","5-15 MPH  - Southbound","16-20 MPH  - Southbound","21-25 MPH  - Southbound","26-30 MPH  - Southbound","31-35 MPH  - Southbound","36-40 MPH  - Southbound","41-45 MPH  - Southbound","44-50 MPH  - Southbound","51-55 MPH  - Southbound","56-60 MPH  - Southbound","61-65 MPH  - Southbound","66-70 MPH  - Southbound","71-71 MPH  - Southbound","76-80 MPH  - Southbound","81-99 MPH  - Southbound"
05/06/2025 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00,12,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0
05/06/2025 11:00,98,66,0,78,9,1,10,0,0,0,0,0,0,0,0,0,51,9,1,5,0,0,0,0,0,0,0,0,1,4,19,41,29,2,2,0,0,0,0,0,0,0,0,3,3,8,26,20,5,1,0,0,0,0,0,0,0,0
05/06/2025 12:00,82,75,0,68,7,0,7,0,0,0,0,0,0,0,0,1,62,6,1,5,0,0,0,0,0,0,0,0,0,3,5,33,30,11,0,0,0,0,0,0,0,0,0,1,4,10,31,26,3,0,0,0,0,0,0,0,0,0
05/06/2025 13:00,105,89,1,84,11,0,9,0,0,0,0,0,0,0,0,0,63,13,3,10,0,0,0,0,0,0,0,0,0,5,14,47,30,8,1,0,0,0,0,0,0,0,0,0,4,9,39,27,9,1,0,0,0,0,0,0,0,0
05/06/2025 14:00,132,96,2,106,9,3,12,0,0,0,0,0,0,0,0,1,70,16,1,8,0,0,0,0,0,0,0,0,1,6,18,56,38,12,1,0,0,0,0,0,0,0,0,0,5,10,35,41,5,0,0,0,0,0,0,0,0,0
05/06/2025 15:00,125,107,0,105,9,0,11,0,0,0,0,0,0,0,0,1,87,9,0,9,0,0,1,0,0,0,0,0,0,2,26,60,30,6,1,0,0,0,0,0,0,0,0,2,3,8,42,42,9,0,1,0,0,0,0,0,0,0
05/06/2025 16:00,132,99,0,101,13,3,15,0,0,0,0,0,0,0,0,2,79,14,0,4,0,0,0,0,0,0,0,0,0,0,16,55,53,8,0,0,0,0,0,0,0,0,0,0,1,7,35,47,9,0,0,0,0,0,0,0,0,0
05/06/2025 17:00,127,90,1,113,7,1,5,0,0,0,0,0,0,0,0,2,81,5,0,2,0,0,0,0,0,0,0,0,0,0,21,65,36,5,0,0,0,0,0,0,0,0,0,0,3,9,26,44,8,0,0,0,0,0,0,0,0,0
05/06/2025 18:00,87,81,0,76,6,0,5,0,0,0,0,0,0,0,0,1,66,7,0,7,0,0,0,0,0,0,0,0,1,3,12,29,37,5,0,0,0,0,0,0,0,0,0,1,1,4,33,35,7,0,0,0,0,0,0,0,0,0
05/06/2025 19:00,73,92,1,63,4,0,5,0,0,0,0,0,0,0,0,0,78,8,0,6,0,0,0,0,0,0,0,0,1,2,21,24,22,2,1,0,0,0,0,0,0,0,0,0,1,8,48,31,4,0,0,0,0,0,0,0,0,0
05/06/2025 20:00,48,43,0,43,3,0,2,0,0,0,0,0,0,0,0,0,37,3,0,3,0,0,0,0,0,0,0,0,0,1,8,26,11,2,0,0,0,0,0,0,0,0,0,0,0,9,23,9,2,0,0,0,0,0,0,0,0,0
05/06/2025 21:00,28,30,0,24,2,0,2,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,2,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0,6,16,7,1,0,0,0,0,0,0,0,0,0
05/06/2025 22:00,19,20,0,15,2,0,2,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,2,7,6,3,1,0,0,0,0,0,0,0,0,0,0,2,8,4,5,1,0,0,0,0,0,0,0,0,0
05/06/2025 23:00,5,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
05/07/2025 00:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
05/07/2025 01:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2025 02:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
05/07/2025 03:00,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
05/07/2025 04:00,8,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2025 05:00,14,5,3,8,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,3,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
05/07/2025 06:00,50,33,0,45,3,0,2,0,0,0,0,0,0,0,0,1,18,7,0,6,0,0,1,0,0,0,0,0,0,2,8,17,19,3,1,0,0,0,0,0,0,0,0,0,1,4,11,13,3,1,0,0,0,0,0,0,0,0
05/07/2025 07:00,147,136,2,117,18,1,9,0,0,0,0,0,0,0,0,0,105,16,2,13,0,0,0,0,0,0,0,0,0,0,25,69,38,15,0,0,0,0,0,0,0,0,0,0,0,13,51,63,7,2,0,0,0,0,0,0,0,0
05/07/2025 08:00,114,76,1,83,17,0,12,1,0,0,0,0,0,0,0,0,58,11,0,6,1,0,0,0,0,0,0,0,0,0,16,45,45,8,0,0,0,0,0,0,0,0,0,0,1,4,32,34,5,0,0,0,0,0,0,0,0,0
05/07/2025 09:00,94,70,0,67,12,1,13,0,1,0,0,0,0,0,0,0,52,9,0,9,0,0,0,0,0,0,0,0,1,7,7,42,29,8,0,0,0,0,0,0,0,0,0,0,1,4,33,29,3,0,0,0,0,0,0,0,0,0
05/07/2025 10:00,86,78,0,68,9,1,8,0,0,0,0,0,0,0,0,1,66,6,1,4,0,0,0,0,0,0,0,0,1,4,18,32,26,5,0,0,0,0,0,0,0,0,0,1,5,15,27,26,4,0,0,0,0,0,0,0,0,0
05/07/2025 11:00,80,72,1,64,6,1,6,0,0,2,0,0,0,0,0,0,59,8,0,4,0,0,1,0,0,0,0,0,0,7,18,35,19,1,0,0,0,0,0,0,0,0,0,0,4,13,32,19,3,0,1,0,0,0,0,0,0,0
05/07/2025 12:00,108,77,0,79,15,0,13,0,0,1,0,0,0,0,0,1,64,4,0,8,0,0,0,0,0,0,0,0,0,2,20,54,28,2,2,0,0,0,0,0,0,0,0,1,2,9,33,27,5,0,0,0,0,0,0,0,0,0
05/07/2025 13:00,83,84,0,71,6,1,5,0,0,0,0,0,0,0,0,1,57,13,4,8,1,0,0,0,0,0,0,0,0,3,18,35,23,3,1,0,0,0,0,0,0,0,0,1,4,10,32,29,8,0,0,0,0,0,0,0,0,0
05/07/2025 14:00,132,90,1,107,8,3,12,1,0,0,0,0,0,0,0,1,72,8,2,5,2,0,0,0,0,0,0,0,0,8,27,53,35,9,0,0,0,0,0,0,0,0,0,2,6,17,35,26,4,0,0,0,0,0,0,0,0,0
05/07/2025 15:00,120,89,2,99,10,0,9,0,0,0,0,0,0,0,0,2,67,12,0,8,0,0,0,0,0,0,0,0,0,6,24,53,33,3,1,0,0,0,0,0,0,0,0,1,3,11,38,27,9,0,0,0,0,0,0,0,0,0
05/07/2025 16:00,128,102,2,95,16,3,11,0,0,1,0,0,0,0,0,2,77,16,0,7,0,0,0,0,0,0,0,0,0,2,26,61,35,4,0,0,0,0,0,0,0,0,0,2,6,8,35,39,9,3,0,0,0,0,0,0,0,0
05/07/2025 17:00,109,108,3,89,6,0,11,0,0,0,0,0,0,0,0,2,89,8,0,9,0,0,0,0,0,0,0,0,0,1,16,53,36,3,0,0,0,0,0,0,0,0,0,0,3,12,41,39,13,0,0,0,0,0,0,0,0,0
05/07/2025 18:00,93,83,3,76,8,0,6,0,0,0,0,0,0,0,0,0,70,9,0,4,0,0,0,0,0,0,0,0,0,1,14,46,25,7,0,0,0,0,0,0,0,0,0,0,2,6,43,31,1,0,0,0,0,0,0,0,0,0
