"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Northbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00 - 10:59,0,12,0,0,0,0,0,0,0,0,0,0,0,12
05/06/2025 11:00 - 11:59,0,78,9,1,10,0,0,0,0,0,0,0,0,98
05/06/2025 12:00 - 12:59,0,68,7,0,7,0,0,0,0,0,0,0,0,82
05/06/2025 13:00 - 13:59,1,84,11,0,9,0,0,0,0,0,0,0,0,105
05/06/2025 14:00 - 14:59,2,106,9,3,12,0,0,0,0,0,0,0,0,132
05/06/2025 15:00 - 15:59,0,105,9,0,11,0,0,0,0,0,0,0,0,125
05/06/2025 16:00 - 16:59,0,101,13,3,15,0,0,0,0,0,0,0,0,132
05/06/2025 17:00 - 17:59,1,113,7,1,5,0,0,0,0,0,0,0,0,127
05/06/2025 18:00 - 18:59,0,76,6,0,5,0,0,0,0,0,0,0,0,87
05/06/2025 19:00 - 19:59,1,63,4,0,5,0,0,0,0,0,0,0,0,73
05/06/2025 20:00 - 20:59,0,43,3,0,2,0,0,0,0,0,0,0,0,48
05/06/2025 21:00 - 21:59,0,24,2,0,2,0,0,0,0,0,0,0,0,28
05/06/2025 22:00 - 22:59,0,15,2,0,2,0,0,0,0,0,0,0,0,19
05/06/2025 23:00 - 23:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
05/07/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/07/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/07/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/07/2025 04:00 - 04:59,0,7,1,0,0,0,0,0,0,0,0,0,0,8
05/07/2025 05:00 - 05:59,3,8,0,0,3,0,0,0,0,0,0,0,0,14
05/07/2025 06:00 - 06:59,0,45,3,0,2,0,0,0,0,0,0,0,0,50
05/07/2025 07:00 - 07:59,2,117,18,1,9,0,0,0,0,0,0,0,0,147
05/07/2025 08:00 - 08:59,1,83,17,0,12,1,0,0,0,0,0,0,0,114
05/07/2025 09:00 - 09:59,0,67,12,1,13,0,1,0,0,0,0,0,0,94
05/07/2025 10:00 - 10:59,0,68,9,1,8,0,0,0,0,0,0,0,0,86
05/07/2025 11:00 - 11:59,1,64,6,1,6,0,0,2,0,0,0,0,0,80
05/07/2025 12:00 - 12:59,0,79,15,0,13,0,0,1,0,0,0,0,0,108
05/07/2025 13:00 - 13:59,0,71,6,1,5,0,0,0,0,0,0,0,0,83
05/07/2025 14:00 - 14:59,1,107,8,3,12,1,0,0,0,0,0,0,0,132
05/07/2025 15:00 - 15:59,2,99,10,0,9,0,0,0,0,0,0,0,0,120
05/07/2025 16:00 - 16:59,2,95,16,3,11,0,0,1,0,0,0,0,0,128
05/07/2025 17:00 - 17:59,3,89,6,0,11,0,0,0,0,0,0,0,0,109
05/07/2025 18:00 - 18:59,3,76,8,0,6,0,0,0,0,0,0,0,0,93
05/07/2025 19:00 - 19:59,0,51,6,0,1,0,0,0,0,0,0,0,0,58
05/07/2025 20:00 - 20:59,0,38,6,0,4,0,0,0,0,0,0,0,0,48
05/07/2025 21:00 - 21:59,0,17,3,0,3,0,0,0,0,0,0,0,0,23
05/07/2025 22:00 - 22:59,0,20,4,0,1,0,0,0,0,0,0,0,0,25
05/07/2025 23:00 - 23:59,0,10,0,0,0,0,0,0,0,0,0,0,0,10
05/08/2025 00:00 - 00:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
05/08/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/08/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/08/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/08/2025 04:00 - 04:59,0,6,0,0,0,1,0,0,0,0,0,0,0,7
05/08/2025 05:00 - 05:59,2,12,1,0,4,0,0,0,0,0,0,0,0,19
05/08/2025 06:00 - 06:59,0,39,4,0,3,0,0,0,0,0,0,0,0,46
05/08/2025 07:00 - 07:59,1,118,10,1,7,0,0,0,0,0,0,0,0,137
05/08/2025 08:00 - 08:59,0,87,13,1,15,0,0,0,0,0,0,0,0,116
05/08/2025 09:00 - 09:59,0,56,15,1,9,1,0,0,0,0,0,0,0,82
05/08/2025 10:00 - 10:59,0,72,7,1,4,1,0,0,0,0,0,0,0,85
05/08/2025 11:00 - 11:59,0,66,16,2,4,0,0,1,0,0,0,0,0,89
05/08/2025 12:00 - 12:59,0,67,10,0,8,1,0,0,0,0,0,0,0,86
05/08/2025 13:00 - 13:59,0,68,9,0,8,0,0,1,0,0,0,0,0,86
05/08/2025 14:00 - 14:59,0,97,12,2,14,0,0,0,0,0,0,0,0,125
05/08/2025 15:00 - 15:59,0,102,12,0,15,0,0,0,0,0,0,0,0,129
05/08/2025 16:00 - 16:59,0,114,15,2,11,0,0,0,0,0,0,0,0,142
05/08/2025 17:00 - 17:59,0,124,6,0,10,0,0,0,0,0,0,0,0,140
05/08/2025 18:00 - 18:59,1,64,8,0,3,0,0,0,0,0,0,0,0,76
05/08/2025 19:00 - 19:59,0,49,4,0,4,0,0,0,0,0,0,0,0,57
05/08/2025 20:00 - 20:59,0,42,5,0,3,0,0,0,0,0,0,0,0,50
05/08/2025 21:00 - 21:59,0,19,2,0,2,0,0,0,0,0,0,0,0,23
05/08/2025 22:00 - 22:59,0,18,3,0,1,0,0,0,0,0,0,0,0,22
05/08/2025 23:00 - 23:59,0,2,0,1,0,0,0,0,0,0,0,0,0,3
05/09/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/2025 01:00 - 01:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
