"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/06/2025 10:00 - 10:59,0,1,3,5,1,1,1,0,0,0,0,0,0,0,0,12,28.7,34.5
05/06/2025 11:00 - 11:59,1,4,19,41,29,2,2,0,0,0,0,0,0,0,0,98,28.9,34.1
05/06/2025 12:00 - 12:59,0,3,5,33,30,11,0,0,0,0,0,0,0,0,0,82,31.0,35.7
05/06/2025 13:00 - 13:59,0,5,14,47,30,8,1,0,0,0,0,0,0,0,0,105,29.7,34.8
05/06/2025 14:00 - 14:59,1,6,18,56,38,12,1,0,0,0,0,0,0,0,0,132,29.7,35.0
05/06/2025 15:00 - 15:59,0,2,26,60,30,6,1,0,0,0,0,0,0,0,0,125,29.1,34.0
05/06/2025 16:00 - 16:59,0,0,16,55,53,8,0,0,0,0,0,0,0,0,0,132,30.5,34.8
05/06/2025 17:00 - 17:59,0,0,21,65,36,5,0,0,0,0,0,0,0,0,0,127,29.5,34.0
05/06/2025 18:00 - 18:59,1,3,12,29,37,5,0,0,0,0,0,0,0,0,0,87,29.9,34.8
05/06/2025 19:00 - 19:59,1,2,21,24,22,2,1,0,0,0,0,0,0,0,0,73,28.5,34.1
05/06/2025 20:00 - 20:59,0,1,8,26,11,2,0,0,0,0,0,0,0,0,0,48,29.0,33.4
05/06/2025 21:00 - 21:59,0,2,7,12,7,0,0,0,0,0,0,0,0,0,0,28,27.8,32.6
05/06/2025 22:00 - 22:59,0,2,7,6,3,1,0,0,0,0,0,0,0,0,0,19,26.8,32.1
05/06/2025 23:00 - 23:59,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,27.4,29.4
05/07/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/07/2025 01:00 - 01:59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,25.5,32.0
05/07/2025 02:00 - 02:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/07/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
05/07/2025 04:00 - 04:59,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,8,33.4,35.4
05/07/2025 05:00 - 05:59,0,1,3,6,1,2,1,0,0,0,0,0,0,0,0,14,29.4,37.0
05/07/2025 06:00 - 06:59,0,2,8,17,19,3,1,0,0,0,0,0,0,0,0,50,30.1,34.9
05/07/2025 07:00 - 07:59,0,0,25,69,38,15,0,0,0,0,0,0,0,0,0,147,30.0,35.0
05/07/2025 08:00 - 08:59,0,0,16,45,45,8,0,0,0,0,0,0,0,0,0,114,30.5,34.9
05/07/2025 09:00 - 09:59,1,7,7,42,29,8,0,0,0,0,0,0,0,0,0,94,29.6,34.9
05/07/2025 10:00 - 10:59,1,4,18,32,26,5,0,0,0,0,0,0,0,0,0,86,28.9,34.4
05/07/2025 11:00 - 11:59,0,7,18,35,19,1,0,0,0,0,0,0,0,0,0,80,27.8,33.0
05/07/2025 12:00 - 12:59,0,2,20,54,28,2,2,0,0,0,0,0,0,0,0,108,29.1,33.7
05/07/2025 13:00 - 13:59,0,3,18,35,23,3,1,0,0,0,0,0,0,0,0,83,29.0,34.1
05/07/2025 14:00 - 14:59,0,8,27,53,35,9,0,0,0,0,0,0,0,0,0,132,28.9,34.4
05/07/2025 15:00 - 15:59,0,6,24,53,33,3,1,0,0,0,0,0,0,0,0,120,28.7,33.8
05/07/2025 16:00 - 16:59,0,2,26,61,35,4,0,0,0,0,0,0,0,0,0,128,29.0,33.8
05/07/2025 17:00 - 17:59,0,1,16,53,36,3,0,0,0,0,0,0,0,0,0,109,29.6,34.1
05/07/2025 18:00 - 18:59,0,1,14,46,25,7,0,0,0,0,0,0,0,0,0,93,29.7,34.5
05/07/2025 19:00 - 19:59,0,0,8,28,20,2,0,0,0,0,0,0,0,0,0,58,29.9,34.2
05/07/2025 20:00 - 20:59,1,0,16,19,8,4,0,0,0,0,0,0,0,0,0,48,28.1,33.7
05/07/2025 21:00 - 21:59,0,3,5,8,6,1,0,0,0,0,0,0,0,0,0,23,27.8,33.5
05/07/2025 22:00 - 22:59,0,1,9,10,5,0,0,0,0,0,0,0,0,0,0,25,27.2,31.8
05/07/2025 23:00 - 23:59,0,1,4,4,0,1,0,0,0,0,0,0,0,0,0,10,26.4,29.8
05/08/2025 00:00 - 00:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
05/08/2025 01:00 - 01:59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,28.0,32.0
05/08/2025 02:00 - 02:59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,27.0
05/08/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
05/08/2025 04:00 - 04:59,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,7,31.7,38.3
05/08/2025 05:00 - 05:59,0,1,4,7,4,2,1,0,0,0,0,0,0,0,0,19,29.7,35.1
05/08/2025 06:00 - 06:59,1,1,6,13,13,10,2,0,0,0,0,0,0,0,0,46,31.4,38.3
05/08/2025 07:00 - 07:59,0,1,23,61,39,13,0,0,0,0,0,0,0,0,0,137,29.9,35.0
05/08/2025 08:00 - 08:59,1,1,10,39,49,16,0,0,0,0,0,0,0,0,0,116,31.3,35.8
05/08/2025 09:00 - 09:59,1,2,14,36,22,5,2,0,0,0,0,0,0,0,0,82,29.5,34.7
05/08/2025 10:00 - 10:59,0,6,13,31,28,7,0,0,0,0,0,0,0,0,0,85,29.5,34.9
05/08/2025 11:00 - 11:59,1,3,15,43,20,7,0,0,0,0,0,0,0,0,0,89,29.0,34.3
05/08/2025 12:00 - 12:59,0,2,12,41,26,5,0,0,0,0,0,0,0,0,0,86,29.7,34.4
05/08/2025 13:00 - 13:59,1,4,15,29,28,6,3,0,0,0,0,0,0,0,0,86,29.8,35.2
05/08/2025 14:00 - 14:59,0,4,21,51,42,7,0,0,0,0,0,0,0,0,0,125,29.6,34.5
05/08/2025 15:00 - 15:59,1,3,13,52,50,9,1,0,0,0,0,0,0,0,0,129,30.4,35.0
05/08/2025 16:00 - 16:59,1,3,16,79,39,4,0,0,0,0,0,0,0,0,0,142,29.2,33.7
05/08/2025 17:00 - 17:59,1,3,28,67,36,5,0,0,0,0,0,0,0,0,0,140,28.8,33.7
05/08/2025 18:00 - 18:59,1,0,7,35,26,7,0,0,0,0,0,0,0,0,0,76,30.4,35.1
05/08/2025 19:00 - 19:59,0,1,5,26,20,5,0,0,0,0,0,0,0,0,0,57,30.5,35.0
05/08/2025 20:00 - 20:59,1,2,10,21,16,0,0,0,0,0,0,0,0,0,0,50,28.3,33.5
05/08/2025 21:00 - 21:59,0,1,5,12,5,0,0,0,0,0,0,0,0,0,0,23,28.0,32.0
05/08/2025 22:00 - 22:59,1,0,3,5,11,2,0,0,0,0,0,0,0,0,0,22,30.3,35.2
05/08/2025 23:00 - 23:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
05/09/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/09/2025 01:00 - 01:59,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,31.7,33.6
05/09/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/09/2025 03:00 - 03:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/09/2025 04:00 - 04:59,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,5,36.0,42.3
05/09/2025 05:00 - 05:59,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,14,28.5,32.8
05/09/2025 06:00 - 06:59,0,1,4,13,13,2,1,0,0,0,0,0,0,0,0,34,30.5,35.0
05/09/2025 07:00 - 07:59,0,0,12,58,57,21,2,0,0,0,0,0,0,0,0,150,31.6,36.0
05/09/2025 08:00 - 08:59,0,3,3,33,50,14,0,0,0,0,0,0,0,0,0,103,31.8,35.8
05/09/2025 09:00 - 09:59,0,1,9,26,39,8,0,0,0,0,0,0,0,0,0,83,31.1,35.4
