"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Southbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00 - 10:59,0,5,0,0,1,0,0,0,0,0,0,0,0,6
05/06/2025 11:00 - 11:59,0,51,9,1,5,0,0,0,0,0,0,0,0,66
05/06/2025 12:00 - 12:59,1,62,6,1,5,0,0,0,0,0,0,0,0,75
05/06/2025 13:00 - 13:59,0,63,13,3,10,0,0,0,0,0,0,0,0,89
05/06/2025 14:00 - 14:59,1,70,16,1,8,0,0,0,0,0,0,0,0,96
05/06/2025 15:00 - 15:59,1,87,9,0,9,0,0,1,0,0,0,0,0,107
05/06/2025 16:00 - 16:59,2,79,14,0,4,0,0,0,0,0,0,0,0,99
05/06/2025 17:00 - 17:59,2,81,5,0,2,0,0,0,0,0,0,0,0,90
05/06/2025 18:00 - 18:59,1,66,7,0,7,0,0,0,0,0,0,0,0,81
05/06/2025 19:00 - 19:59,0,78,8,0,6,0,0,0,0,0,0,0,0,92
05/06/2025 20:00 - 20:59,0,37,3,0,3,0,0,0,0,0,0,0,0,43
05/06/2025 21:00 - 21:59,0,28,0,0,2,0,0,0,0,0,0,0,0,30
05/06/2025 22:00 - 22:59,0,18,2,0,0,0,0,0,0,0,0,0,0,20
05/06/2025 23:00 - 23:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
05/07/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/07/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/07/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/07/2025 03:00 - 03:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
05/07/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2025 05:00 - 05:59,0,2,0,0,3,0,0,0,0,0,0,0,0,5
05/07/2025 06:00 - 06:59,1,18,7,0,6,0,0,1,0,0,0,0,0,33
05/07/2025 07:00 - 07:59,0,105,16,2,13,0,0,0,0,0,0,0,0,136
05/07/2025 08:00 - 08:59,0,58,11,0,6,1,0,0,0,0,0,0,0,76
05/07/2025 09:00 - 09:59,0,52,9,0,9,0,0,0,0,0,0,0,0,70
05/07/2025 10:00 - 10:59,1,66,6,1,4,0,0,0,0,0,0,0,0,78
05/07/2025 11:00 - 11:59,0,59,8,0,4,0,0,1,0,0,0,0,0,72
05/07/2025 12:00 - 12:59,1,64,4,0,8,0,0,0,0,0,0,0,0,77
05/07/2025 13:00 - 13:59,1,57,13,4,8,1,0,0,0,0,0,0,0,84
05/07/2025 14:00 - 14:59,1,72,8,2,5,2,0,0,0,0,0,0,0,90
05/07/2025 15:00 - 15:59,2,67,12,0,8,0,0,0,0,0,0,0,0,89
05/07/2025 16:00 - 16:59,2,77,16,0,7,0,0,0,0,0,0,0,0,102
