"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/06/2025 10:00 - 10:59,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,6,30.8,34.3
05/06/2025 11:00 - 11:59,3,3,8,26,20,5,1,0,0,0,0,0,0,0,0,66,29.1,34.9
05/06/2025 12:00 - 12:59,1,4,10,31,26,3,0,0,0,0,0,0,0,0,0,75,29.2,34.3
05/06/2025 13:00 - 13:59,0,4,9,39,27,9,1,0,0,0,0,0,0,0,0,89,30.2,35.3
05/06/2025 14:00 - 14:59,0,5,10,35,41,5,0,0,0,0,0,0,0,0,0,96,30.1,34.8
05/06/2025 15:00 - 15:59,2,3,8,42,42,9,0,1,0,0,0,0,0,0,0,107,30.5,35.2
05/06/2025 16:00 - 16:59,0,1,7,35,47,9,0,0,0,0,0,0,0,0,0,99,31.3,35.3
05/06/2025 17:00 - 17:59,0,3,9,26,44,8,0,0,0,0,0,0,0,0,0,90,31.0,35.3
05/06/2025 18:00 - 18:59,1,1,4,33,35,7,0,0,0,0,0,0,0,0,0,81,30.9,35.2
05/06/2025 19:00 - 19:59,0,1,8,48,31,4,0,0,0,0,0,0,0,0,0,92,30.1,34.3
05/06/2025 20:00 - 20:59,0,0,9,23,9,2,0,0,0,0,0,0,0,0,0,43,28.9,33.3
05/06/2025 21:00 - 21:59,0,0,6,16,7,1,0,0,0,0,0,0,0,0,0,30,29.0,33.1
05/06/2025 22:00 - 22:59,0,2,8,4,5,1,0,0,0,0,0,0,0,0,0,20,27.2,33.5
05/06/2025 23:00 - 23:59,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,9,28.3,32.9
05/07/2025 00:00 - 00:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
