"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00 - 10:59,0,17,0,0,1,0,0,0,0,0,0,0,0,18
05/06/2025 11:00 - 11:59,0,129,18,2,15,0,0,0,0,0,0,0,0,164
05/06/2025 12:00 - 12:59,1,130,13,1,12,0,0,0,0,0,0,0,0,157
05/06/2025 13:00 - 13:59,1,147,24,3,19,0,0,0,0,0,0,0,0,194
05/06/2025 14:00 - 14:59,3,176,25,4,20,0,0,0,0,0,0,0,0,228
05/06/2025 15:00 - 15:59,1,192,18,0,20,0,0,1,0,0,0,0,0,232
05/06/2025 16:00 - 16:59,2,180,27,3,19,0,0,0,0,0,0,0,0,231
05/06/2025 17:00 - 17:59,3,194,12,1,7,0,0,0,0,0,0,0,0,217
05/06/2025 18:00 - 18:59,1,142,13,0,12,0,0,0,0,0,0,0,0,168
05/06/2025 19:00 - 19:59,1,141,12,0,11,0,0,0,0,0,0,0,0,165
05/06/2025 20:00 - 20:59,0,80,6,0,5,0,0,0,0,0,0,0,0,91
05/06/2025 21:00 - 21:59,0,52,2,0,4,0,0,0,0,0,0,0,0,58
05/06/2025 22:00 - 22:59,0,33,4,0,2,0,0,0,0,0,0,0,0,39
05/06/2025 23:00 - 23:59,0,13,0,0,1,0,0,0,0,0,0,0,0,14
05/07/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/07/2025 01:00 - 01:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/07/2025 02:00 - 02:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/07/2025 03:00 - 03:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
05/07/2025 04:00 - 04:59,0,7,1,0,0,0,0,0,0,0,0,0,0,8
05/07/2025 05:00 - 05:59,3,10,0,0,6,0,0,0,0,0,0,0,0,19
05/07/2025 06:00 - 06:59,1,63,10,0,8,0,0,1,0,0,0,0,0,83
05/07/2025 07:00 - 07:59,2,222,34,3,22,0,0,0,0,0,0,0,0,283
05/07/2025 08:00 - 08:59,1,141,28,0,18,2,0,0,0,0,0,0,0,190
05/07/2025 09:00 - 09:59,0,119,21,1,22,0,1,0,0,0,0,0,0,164
05/07/2025 10:00 - 10:59,1,134,15,2,12,0,0,0,0,0,0,0,0,164
05/07/2025 11:00 - 11:59,1,123,14,1,10,0,0,3,0,0,0,0,0,152
05/07/2025 12:00 - 12:59,1,143,19,0,21,0,0,1,0,0,0,0,0,185
05/07/2025 13:00 - 13:59,1,128,19,5,13,1,0,0,0,0,0,0,0,167
05/07/2025 14:00 - 14:59,2,179,16,5,17,3,0,0,0,0,0,0,0,222
05/07/2025 15:00 - 15:59,4,166,22,0,17,0,0,0,0,0,0,0,0,209
05/07/2025 16:00 - 16:59,4,172,32,3,18,0,0,1,0,0,0,0,0,230
05/07/2025 17:00 - 17:59,5,178,14,0,20,0,0,0,0,0,0,0,0,217
05/07/2025 18:00 - 18:59,3,146,17,0,10,0,0,0,0,0,0,0,0,176
05/07/2025 19:00 - 19:59,0,106,12,0,3,0,0,0,0,0,0,0,0,121
05/07/2025 20:00 - 20:59,0,81,13,0,7,0,0,0,0,0,0,0,0,101
05/07/2025 21:00 - 21:59,0,45,7,0,4,0,0,0,0,0,0,0,0,56
05/07/2025 22:00 - 22:59,0,44,6,0,2,0,0,0,0,0,0,0,0,52
05/07/2025 23:00 - 23:59,0,23,1,0,1,0,0,0,0,0,0,0,0,25
05/08/2025 00:00 - 00:59,0,7,1,0,0,0,0,0,0,0,0,0,0,8
05/08/2025 01:00 - 01:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/08/2025 02:00 - 02:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
05/08/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/08/2025 04:00 - 04:59,0,8,0,0,0,1,0,0,0,0,0,0,0,9
05/08/2025 05:00 - 05:59,2,16,1,0,6,0,0,0,0,0,0,0,0,25
05/08/2025 06:00 - 06:59,0,59,12,0,4,0,0,0,0,0,0,0,0,75
05/08/2025 07:00 - 07:59,1,208,27,3,22,0,0,0,0,0,0,0,0,261
05/08/2025 08:00 - 08:59,1,134,22,4,25,0,0,0,0,0,0,0,0,186
05/08/2025 09:00 - 09:59,1,102,25,2,15,1,0,0,0,0,0,0,0,146
05/08/2025 10:00 - 10:59,0,119,17,1,14,1,0,0,0,0,0,0,0,152
05/08/2025 11:00 - 11:59,0,123,30,4,11,1,0,1,0,0,0,0,0,170
05/08/2025 12:00 - 12:59,0,124,24,0,22,1,0,0,0,0,0,0,0,171
05/08/2025 13:00 - 13:59,1,134,22,3,18,0,0,1,0,0,0,0,0,179
05/08/2025 14:00 - 14:59,0,167,24,5,19,0,0,0,0,0,0,0,0,215
05/08/2025 15:00 - 15:59,2,190,18,0,23,0,0,0,0,0,0,0,0,233
05/08/2025 16:00 - 16:59,1,205,29,2,15,0,0,1,0,0,0,0,0,253
05/08/2025 17:00 - 17:59,0,209,13,0,18,0,0,0,0,0,0,0,0,240
05/08/2025 18:00 - 18:59,3,138,18,0,6,0,0,0,0,0,0,0,0,165
05/08/2025 19:00 - 19:59,1,106,9,0,8,0,0,0,0,0,0,0,0,124
05/08/2025 20:00 - 20:59,0,93,8,0,6,0,0,0,0,0,0,0,0,107
05/08/2025 21:00 - 21:59,0,55,3,0,4,0,0,0,0,0,0,0,0,62
05/08/2025 22:00 - 22:59,0,42,4,0,2,0,0,0,0,0,0,0,0,48
05/08/2025 23:00 - 23:59,0,11,2,1,0,0,0,0,0,0,0,0,0,14
05/09/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/09/2025 01:00 - 01:59,0,7,0,0,0,0,0,0,0,0,0,0,0,7
05/09/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/09/2025 03:00 - 03:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
05/09/2025 04:00 - 04:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
05/09/2025 05:00 - 05:59,1,12,3,0,3,0,0,0,0,0,0,0,0,19
