"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3528 Noble Ave N"
"Location:","3528 Noble Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
05/06/2025 09:00 - 09:59,0,0,0
05/06/2025 10:00 - 10:59,24,12,36
05/06/2025 11:00 - 11:59,196,132,328
05/06/2025 12:00 - 12:59,166,150,316
05/06/2025 13:00 - 13:59,210,179,389
05/06/2025 14:00 - 14:59,264,192,456
05/06/2025 15:00 - 15:59,250,216,466
05/06/2025 16:00 - 16:59,265,198,463
05/06/2025 17:00 - 17:59,254,180,434
05/06/2025 18:00 - 18:59,176,163,339
05/06/2025 19:00 - 19:59,146,184,330
05/06/2025 20:00 - 20:59,96,86,182
05/06/2025 21:00 - 21:59,56,60,116
05/06/2025 22:00 - 22:59,38,40,78
05/06/2025 23:00 - 23:59,10,18,28
05/07/2025 00:00 - 00:59,0,4,4
05/07/2025 01:00 - 01:59,4,4,8
05/07/2025 02:00 - 02:59,4,4,8
05/07/2025 03:00 - 03:59,2,2,4
05/07/2025 04:00 - 04:59,16,0,16
05/07/2025 05:00 - 05:59,28,10,38
05/07/2025 06:00 - 06:59,101,71,172
05/07/2025 07:00 - 07:59,294,272,566
05/07/2025 08:00 - 08:59,231,155,386
05/07/2025 09:00 - 09:59,195,145,340
05/07/2025 10:00 - 10:59,173,156,329
05/07/2025 11:00 - 11:59,165,146,311
05/07/2025 12:00 - 12:59,220,160,380
05/07/2025 13:00 - 13:59,166,171,337
05/07/2025 14:00 - 14:59,268,182,450
05/07/2025 15:00 - 15:59,243,178,421
05/07/2025 16:00 - 16:59,257,204,461
05/07/2025 17:00 - 17:59,218,216,434
05/07/2025 18:00 - 18:59,186,166,352
05/07/2025 19:00 - 19:59,116,128,244
05/07/2025 20:00 - 20:59,99,106,205
05/07/2025 21:00 - 21:59,46,66,112
05/07/2025 22:00 - 22:59,50,54,104
05/07/2025 23:00 - 23:59,20,30,50
05/08/2025 00:00 - 00:59,6,10,16
05/08/2025 01:00 - 01:59,4,4,8
05/08/2025 02:00 - 02:59,4,2,6
05/08/2025 03:00 - 03:59,2,0,2
05/08/2025 04:00 - 04:59,15,4,19
05/08/2025 05:00 - 05:59,38,12,50
05/08/2025 06:00 - 06:59,92,58,150
05/08/2025 07:00 - 07:59,274,249,523
05/08/2025 08:00 - 08:59,234,142,376
05/08/2025 09:00 - 09:59,166,128,294
05/08/2025 10:00 - 10:59,172,135,307
05/08/2025 11:00 - 11:59,179,164,343
05/08/2025 12:00 - 12:59,175,171,346
05/08/2025 13:00 - 13:59,174,186,360
05/08/2025 14:00 - 14:59,250,182,432
05/08/2025 15:00 - 15:59,259,210,469
05/08/2025 16:00 - 16:59,284,225,509
05/08/2025 17:00 - 17:59,280,200,480
05/08/2025 18:00 - 18:59,154,179,333
05/08/2025 19:00 - 19:59,114,134,248
05/08/2025 20:00 - 20:59,102,114,216
05/08/2025 21:00 - 21:59,46,78,124
05/08/2025 22:00 - 22:59,44,52,96
05/08/2025 23:00 - 23:59,6,23,29
05/09/2025 00:00 - 00:59,0,2,2
05/09/2025 01:00 - 01:59,6,8,14
05/09/2025 02:00 - 02:59,2,2,4
05/09/2025 03:00 - 03:59,4,4,8
05/09/2025 04:00 - 04:59,10,0,10
05/09/2025 05:00 - 05:59,28,10,38
05/09/2025 06:00 - 06:59,69,51,120
05/09/2025 07:00 - 07:59,300,225,525
05/09/2025 08:00 - 08:59,206,119,325
05/09/2025 09:00 - 09:59,168,136,304
05/09/2025 10:00 - 10:59,204,122,326
05/09/2025 11:00 - 11:59,202,168,370
05/09/2025 12:00 - 12:59,174,167,341
05/09/2025 13:00 - 13:59,213,231,444
05/09/2025 14:00 - 14:59,276,202,478
05/09/2025 15:00 - 15:59,215,200,415
05/09/2025 16:00 - 16:59,285,256,541
05/09/2025 17:00 - 17:59,219,216,435
05/09/2025 18:00 - 18:59,162,156,318
05/09/2025 19:00 - 19:59,127,122,249
05/09/2025 20:00 - 20:59,98,126,224
05/09/2025 21:00 - 21:59,70,100,170
05/09/2025 22:00 - 22:59,46,56,102
05/09/2025 23:00 - 23:59,14,24,38
05/10/2025 00:00 - 00:59,22,10,32
05/10/2025 01:00 - 01:59,8,8,16
05/10/2025 02:00 - 02:59,2,10,12
05/10/2025 03:00 - 03:59,4,8,12
05/10/2025 04:00 - 04:59,6,2,8
05/10/2025 05:00 - 05:59,14,6,20
05/10/2025 06:00 - 06:59,34,14,48
05/10/2025 07:00 - 07:59,91,44,135
05/10/2025 08:00 - 08:59,124,68,192
05/10/2025 09:00 - 09:59,180,124,304
05/10/2025 10:00 - 10:59,225,184,409
05/10/2025 11:00 - 11:59,230,162,392
05/10/2025 12:00 - 12:59,178,177,355
05/10/2025 13:00 - 13:59,266,207,473
05/10/2025 14:00 - 14:59,224,176,400
05/10/2025 15:00 - 15:59,187,172,359
05/10/2025 16:00 - 16:59,170,159,329
05/10/2025 17:00 - 17:59,146,191,337
05/10/2025 18:00 - 18:59,141,138,279
05/10/2025 19:00 - 19:59,136,112,248
05/10/2025 20:00 - 20:59,68,86,154
05/10/2025 21:00 - 21:59,70,116,186
05/10/2025 22:00 - 22:59,48,68,116
05/10/2025 23:00 - 23:59,30,34,64
05/11/2025 00:00 - 00:59,14,22,36
05/11/2025 01:00 - 01:59,10,14,24
05/11/2025 02:00 - 02:59,10,10,20
05/11/2025 03:00 - 03:59,0,2,2
05/11/2025 04:00 - 04:59,2,0,2
05/11/2025 05:00 - 05:59,10,0,10
05/11/2025 06:00 - 06:59,24,2,26
05/11/2025 07:00 - 07:59,78,44,122
05/11/2025 08:00 - 08:59,117,58,175
05/11/2025 09:00 - 09:59,174,116,290
05/11/2025 10:00 - 10:59,158,122,280
05/11/2025 11:00 - 11:59,208,160,368
05/11/2025 12:00 - 12:59,178,150,328
05/11/2025 13:00 - 13:59,180,146,326
05/11/2025 14:00 - 14:59,142,150,292
05/11/2025 15:00 - 15:59,186,148,334
05/11/2025 16:00 - 16:59,188,152,340
05/11/2025 17:00 - 17:59,126,160,286
05/11/2025 18:00 - 18:59,142,142,284
05/11/2025 19:00 - 19:59,127,104,231
05/11/2025 20:00 - 20:59,50,84,134
05/11/2025 21:00 - 21:59,58,60,118
05/11/2025 22:00 - 22:59,42,38,80
05/11/2025 23:00 - 23:59,4,16,20
05/12/2025 00:00 - 00:59,0,0,0
05/12/2025 01:00 - 01:59,2,2,4
05/12/2025 02:00 - 02:59,8,2,10
05/12/2025 03:00 - 03:59,6,10,16
05/12/2025 04:00 - 04:59,20,4,24
05/12/2025 05:00 - 05:59,32,10,42
05/12/2025 06:00 - 06:59,91,63,154
05/12/2025 07:00 - 07:59,286,207,493
05/12/2025 08:00 - 08:59,235,146,381
05/12/2025 09:00 - 09:59,160,104,264
05/12/2025 10:00 - 10:59,177,135,312
05/12/2025 11:00 - 11:59,154,136,290
05/12/2025 12:00 - 12:59,162,130,292
05/12/2025 13:00 - 13:59,171,188,359
05/12/2025 14:00 - 14:59,281,195,476
05/12/2025 15:00 - 15:59,197,175,372
05/12/2025 16:00 - 16:59,251,214,465
05/12/2025 17:00 - 17:59,213,225,438
05/12/2025 18:00 - 18:59,166,164,330
05/12/2025 19:00 - 19:59,123,127,250
05/12/2025 20:00 - 20:59,88,116,204
05/12/2025 21:00 - 21:59,32,88,120
05/12/2025 22:00 - 22:59,24,33,57
05/12/2025 23:00 - 23:59,10,10,20
05/13/2025 00:00 - 00:59,12,4,16
05/13/2025 01:00 - 01:59,0,4,4
05/13/2025 02:00 - 02:59,2,2,4
05/13/2025 03:00 - 03:59,0,2,2
05/13/2025 04:00 - 04:59,12,2,14
05/13/2025 05:00 - 05:59,38,10,48
05/13/2025 06:00 - 06:59,86,48,134
05/13/2025 07:00 - 07:59,286,235,521
05/13/2025 08:00 - 08:59,223,128,351
05/13/2025 09:00 - 09:59,164,108,272
05/13/2025 10:00 - 10:59,60,46,106
