"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","3540 Hampshire Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-75 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/17/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/17/2025 14:00 - 14:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/17/2025 15:00 - 15:59,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,16,24.8,29.4
09/17/2025 16:00 - 16:59,1,4,6,25,3,1,0,0,0,0,0,0,0,0,0,40,26.9,30.5
09/17/2025 17:00 - 17:59,3,4,14,16,0,0,0,0,0,0,0,0,0,0,0,37,24.1,29.1
09/17/2025 18:00 - 18:59,1,9,14,18,2,0,0,0,0,0,0,0,0,0,0,44,24.7,29.6
09/17/2025 19:00 - 19:59,1,4,6,5,0,0,0,0,0,0,0,0,0,0,0,16,22.9,28.1
09/17/2025 20:00 - 20:59,0,1,15,8,1,0,0,0,0,0,0,0,0,0,0,25,25.2,29.0
09/17/2025 21:00 - 21:59,1,1,5,6,1,1,0,0,0,0,0,0,0,0,0,15,25.8,30.4
09/17/2025 22:00 - 22:59,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,13,21.4,26.9
09/17/2025 23:00 - 23:59,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,20.2,27.9
09/18/2025 00:00 - 00:59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19.0,27.0
09/18/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/18/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/18/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
