"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3618 Adair Ave N"
"Location:","3618 Adair Ave N"
"Comments:","Site 37910"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
04/23/2025 13:00 - 13:59,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,6,24.5,29.3
04/23/2025 14:00 - 14:59,0,0,13,23,8,0,1,0,0,0,0,0,0,0,0,45,28.2,32.1
04/23/2025 15:00 - 15:59,0,0,6,10,9,0,0,0,0,0,0,0,0,0,0,25,29.1,33.6
04/23/2025 16:00 - 16:59,2,0,8,15,11,0,0,0,0,0,0,0,0,0,0,36,27.9,33.3
04/23/2025 17:00 - 17:59,1,3,7,13,5,0,0,0,0,0,0,0,0,0,0,29,26.4,31.1
04/23/2025 18:00 - 18:59,0,3,6,12,4,0,0,0,0,0,0,0,0,0,0,25,26.9,30.7
04/23/2025 19:00 - 19:59,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,11,26.2,29.2
04/23/2025 20:00 - 20:59,0,1,7,3,1,0,0,0,0,0,0,0,0,0,0,12,25.0,28.8
04/23/2025 21:00 - 21:59,0,3,3,4,1,0,0,0,0,0,0,0,0,0,0,11,24.7,29.6
04/23/2025 22:00 - 22:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
04/23/2025 23:00 - 23:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
04/24/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/24/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
