"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3618 Adair Ave N"
"Location:","3618 Adair Ave N"
"Comments:","Site 37910"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
04/23/2025 13:00 - 13:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/23/2025 14:00 - 14:59,3,6,11,14,3,2,0,0,0,0,0,0,0,0,0,39,25.0,30.5
04/23/2025 15:00 - 15:59,0,1,7,20,4,0,0,0,0,0,0,0,0,0,0,32,27.7,30.7
04/23/2025 16:00 - 16:59,1,1,8,10,2,0,0,0,0,0,0,0,0,0,0,22,25.8,30.1
04/23/2025 17:00 - 17:59,0,2,4,10,5,0,0,0,0,0,0,0,0,0,0,21,27.8,32.3
04/23/2025 18:00 - 18:59,0,0,3,5,4,2,0,0,0,0,0,0,0,0,0,14,30.2,35.3
04/23/2025 19:00 - 19:59,1,1,5,6,1,1,0,0,0,0,0,0,0,0,0,15,25.8,30.4
04/23/2025 20:00 - 20:59,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,9,25.1,28.7
04/23/2025 21:00 - 21:59,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,10,24.9,28.5
04/23/2025 22:00 - 22:59,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,5,30.2,34.8
04/23/2025 23:00 - 23:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
04/24/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/24/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/24/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 05:00 - 05:59,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,26.7,31.3
04/24/2025 06:00 - 06:59,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,8,26.6,33.2
04/24/2025 07:00 - 07:59,1,3,28,31,6,0,0,0,0,0,0,0,0,0,0,69,26.2,30.2
04/24/2025 08:00 - 08:59,0,3,10,17,4,1,0,0,0,0,0,0,0,0,0,35,27.0,30.8
