"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3618 Adair Ave N"
"Location:","3618 Adair Ave N"
"Comments:","Site 37910"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
04/23/2025 13:00 - 13:59,0,7,0,0,0,0,0,0,0,0,0,0,0,7
04/23/2025 14:00 - 14:59,1,61,5,9,9,0,0,0,0,0,0,0,0,85
04/23/2025 15:00 - 15:59,0,50,4,1,2,0,0,0,0,0,0,0,0,57
04/23/2025 16:00 - 16:59,1,45,5,2,5,0,0,0,0,0,0,0,0,58
04/23/2025 17:00 - 17:59,0,45,4,0,1,0,0,0,0,0,0,0,0,50
04/23/2025 18:00 - 18:59,0,35,3,0,1,0,0,0,0,0,0,0,0,39
04/23/2025 19:00 - 19:59,0,22,4,0,0,0,0,0,0,0,0,0,0,26
04/23/2025 20:00 - 20:59,0,19,2,0,0,0,0,0,0,0,0,0,0,21
04/23/2025 21:00 - 21:59,0,14,6,0,1,0,0,0,0,0,0,0,0,21
04/23/2025 22:00 - 22:59,0,7,1,0,0,0,0,0,0,0,0,0,0,8
04/23/2025 23:00 - 23:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
04/24/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/24/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
04/24/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
04/24/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/24/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
04/24/2025 05:00 - 05:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
04/24/2025 06:00 - 06:59,0,9,1,0,2,0,0,0,0,0,0,0,0,12
04/24/2025 07:00 - 07:59,0,125,5,15,0,0,0,0,0,0,0,0,0,145
04/24/2025 08:00 - 08:59,0,50,5,0,2,0,0,0,0,0,0,0,0,57
04/24/2025 09:00 - 09:59,0,39,2,0,0,0,0,0,0,0,0,0,0,41
04/24/2025 10:00 - 10:59,0,26,1,0,5,0,0,0,0,0,0,0,0,32
04/24/2025 11:00 - 11:59,0,25,2,0,4,1,0,0,0,0,0,0,0,32
04/24/2025 12:00 - 12:59,0,24,3,0,3,0,0,0,0,0,0,0,0,30
04/24/2025 13:00 - 13:59,0,22,4,0,5,0,0,0,0,0,0,0,0,31
04/24/2025 14:00 - 14:59,0,84,4,11,4,0,1,0,0,0,0,0,0,104
04/24/2025 15:00 - 15:59,0,48,1,1,2,0,0,0,0,0,0,0,0,52
04/24/2025 16:00 - 16:59,0,50,3,1,1,0,0,0,0,0,0,0,0,55
04/24/2025 17:00 - 17:59,0,58,4,0,7,0,0,0,0,0,0,0,0,69
04/24/2025 18:00 - 18:59,0,42,3,0,0,0,0,0,0,0,0,0,0,45
04/24/2025 19:00 - 19:59,0,25,2,1,2,0,0,0,0,0,0,0,0,30
04/24/2025 20:00 - 20:59,0,19,0,0,0,0,0,0,0,0,0,0,0,19
04/24/2025 21:00 - 21:59,0,20,1,0,1,0,0,0,0,0,0,0,0,22
