"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3618 Adair Ave N"
"Location:","3618 Adair Ave N"
"Comments:","Site 37910"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
04/23/2025 13:00 - 13:59,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,7,24.4,29.1
04/23/2025 14:00 - 14:59,3,6,24,37,11,2,1,0,0,0,0,0,0,0,0,84,26.8,31.4
04/23/2025 15:00 - 15:59,0,1,13,30,13,0,0,0,0,0,0,0,0,0,0,57,28.3,32.5
04/23/2025 16:00 - 16:59,3,1,16,25,13,0,0,0,0,0,0,0,0,0,0,58,27.1,32.5
04/23/2025 17:00 - 17:59,1,5,11,23,10,0,0,0,0,0,0,0,0,0,0,50,27.0,32.0
04/23/2025 18:00 - 18:59,0,3,9,17,8,2,0,0,0,0,0,0,0,0,0,39,28.1,33.3
04/23/2025 19:00 - 19:59,1,1,10,12,1,1,0,0,0,0,0,0,0,0,0,26,26.0,30.0
04/23/2025 20:00 - 20:59,0,2,11,7,1,0,0,0,0,0,0,0,0,0,0,21,25.1,29.1
04/23/2025 21:00 - 21:59,0,4,8,8,1,0,0,0,0,0,0,0,0,0,0,21,24.9,29.3
04/23/2025 22:00 - 22:59,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,8,27.6,32.5
04/23/2025 23:00 - 23:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
04/24/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 01:00 - 01:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
04/24/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/24/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/24/2025 05:00 - 05:59,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,22.5,30.5
04/24/2025 06:00 - 06:59,1,2,1,5,3,0,0,0,0,0,0,0,0,0,0,12,26.0,32.2
04/24/2025 07:00 - 07:59,2,6,52,72,13,0,0,0,0,0,0,0,0,0,0,145,26.5,30.4
