"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3618 Adair Ave N"
"Location:","3618 Adair Ave N"
"Comments:","Site 37910"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
04/23/2025 13:00 - 13:59,12,2,14
04/23/2025 14:00 - 14:59,90,80,170
04/23/2025 15:00 - 15:59,50,64,114
04/23/2025 16:00 - 16:59,72,44,116
04/23/2025 17:00 - 17:59,58,42,100
04/23/2025 18:00 - 18:59,50,28,78
04/23/2025 19:00 - 19:59,22,30,52
04/23/2025 20:00 - 20:59,24,18,42
04/23/2025 21:00 - 21:59,22,20,42
04/23/2025 22:00 - 22:59,6,10,16
04/23/2025 23:00 - 23:59,4,2,6
04/24/2025 00:00 - 00:59,0,0,0
04/24/2025 01:00 - 01:59,2,2,4
04/24/2025 02:00 - 02:59,0,2,2
04/24/2025 03:00 - 03:59,0,0,0
04/24/2025 04:00 - 04:59,2,0,2
04/24/2025 05:00 - 05:59,2,6,8
04/24/2025 06:00 - 06:59,8,16,24
04/24/2025 07:00 - 07:59,152,138,290
04/24/2025 08:00 - 08:59,44,70,114
04/24/2025 09:00 - 09:59,38,44,82
04/24/2025 10:00 - 10:59,38,26,64
04/24/2025 11:00 - 11:59,26,39,65
04/24/2025 12:00 - 12:59,36,24,60
04/24/2025 13:00 - 13:59,36,26,62
04/24/2025 14:00 - 14:59,92,119,211
04/24/2025 15:00 - 15:59,50,54,104
04/24/2025 16:00 - 16:59,54,56,110
04/24/2025 17:00 - 17:59,72,66,138
04/24/2025 18:00 - 18:59,62,28,90
04/24/2025 19:00 - 19:59,28,32,60
04/24/2025 20:00 - 20:59,16,22,38
04/24/2025 21:00 - 21:59,20,24,44
04/24/2025 22:00 - 22:59,18,10,28
04/24/2025 23:00 - 23:59,4,0,4
04/25/2025 00:00 - 00:59,0,2,2
04/25/2025 01:00 - 01:59,2,4,6
04/25/2025 02:00 - 02:59,2,0,2
04/25/2025 03:00 - 03:59,0,2,2
04/25/2025 04:00 - 04:59,2,2,4
04/25/2025 05:00 - 05:59,8,6,14
04/25/2025 06:00 - 06:59,4,20,24
04/25/2025 07:00 - 07:59,150,148,298
04/25/2025 08:00 - 08:59,63,50,113
04/25/2025 09:00 - 09:59,36,52,88
04/25/2025 10:00 - 10:59,28,20,48
04/25/2025 11:00 - 11:59,36,40,76
04/25/2025 12:00 - 12:59,26,42,68
04/25/2025 13:00 - 13:59,158,26,184
04/25/2025 14:00 - 14:59,100,168,268
04/25/2025 15:00 - 15:59,48,85,133
04/25/2025 16:00 - 16:59,82,46,128
04/25/2025 17:00 - 17:59,36,56,92
04/25/2025 18:00 - 18:59,30,36,66
04/25/2025 19:00 - 19:59,34,20,54
04/25/2025 20:00 - 20:59,26,16,42
04/25/2025 21:00 - 21:59,18,14,32
04/25/2025 22:00 - 22:59,18,12,30
04/25/2025 23:00 - 23:59,0,4,4
04/26/2025 00:00 - 00:59,0,0,0
04/26/2025 01:00 - 01:59,0,0,0
04/26/2025 02:00 - 02:59,0,0,0
04/26/2025 03:00 - 03:59,0,2,2
04/26/2025 04:00 - 04:59,2,0,2
04/26/2025 05:00 - 05:59,0,6,6
04/26/2025 06:00 - 06:59,4,2,6
04/26/2025 07:00 - 07:59,8,22,30
04/26/2025 08:00 - 08:59,26,16,42
04/26/2025 09:00 - 09:59,18,26,44
04/26/2025 10:00 - 10:59,14,32,46
04/26/2025 11:00 - 11:59,26,34,60
04/26/2025 12:00 - 12:59,28,56,84
04/26/2025 13:00 - 13:59,40,32,72
04/26/2025 14:00 - 14:59,25,32,57
04/26/2025 15:00 - 15:59,18,20,38
04/26/2025 16:00 - 16:59,28,24,52
04/26/2025 17:00 - 17:59,34,46,80
04/26/2025 18:00 - 18:59,24,25,49
