"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-15 MPH  - Northbound","16-20 MPH  - Northbound","21-25 MPH  - Northbound","26-30 MPH  - Northbound","31-35 MPH  - Northbound","36-40 MPH  - Northbound","41-45 MPH  - Northbound","46-50 MPH  - Northbound","51-55 MPH  - Northbound","56-60 MPH  - Northbound","61-65 MPH  - Northbound","66-70 MPH  - Northbound","71-71 MPH  - Northbound","76-80 MPH  - Northbound","81-99 MPH  - Northbound","5-15 MPH  - Southbound","16-20 MPH  - Southbound","21-25 MPH  - Southbound","26-30 MPH  - Southbound","31-35 MPH  - Southbound","36-40 MPH  - Southbound","41-45 MPH  - Southbound","46-50 MPH  - Southbound","51-55 MPH  - Southbound","56-60 MPH  - Southbound","61-65 MPH  - Southbound","66-70 MPH  - Southbound","71-71 MPH  - Southbound","76-80 MPH  - Southbound","81-99 MPH  - Southbound"
05/06/2025 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00,6,7,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0
05/06/2025 11:00,22,19,0,17,3,0,2,0,0,0,0,0,0,0,0,0,15,3,0,1,0,0,0,0,0,0,0,0,0,0,11,6,4,1,0,0,0,0,0,0,0,0,0,0,0,4,6,5,4,0,0,0,0,0,0,0,0,0
05/06/2025 12:00,20,15,0,16,1,0,3,0,0,0,0,0,0,0,0,2,9,2,0,2,0,0,0,0,0,0,0,0,1,1,5,8,3,2,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,0,0,0,0,0,0
05/06/2025 13:00,21,8,0,15,2,0,4,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,2,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0
05/06/2025 14:00,36,17,0,29,3,0,3,0,1,0,0,0,0,0,0,0,12,2,1,2,0,0,0,0,0,0,0,0,2,4,9,14,4,3,0,0,0,0,0,0,0,0,0,1,0,5,6,5,0,0,0,0,0,0,0,0,0,0
05/06/2025 15:00,55,41,0,43,9,0,2,0,0,0,0,0,0,1,0,1,33,4,1,2,0,0,0,0,0,0,0,0,6,5,24,13,7,0,0,0,0,0,0,0,0,0,0,4,1,13,14,9,0,0,0,0,0,0,0,0,0,0
05/06/2025 16:00,47,28,0,39,5,0,3,0,0,0,0,0,0,0,0,0,24,2,0,2,0,0,0,0,0,0,0,0,1,2,8,25,9,2,0,0,0,0,0,0,0,0,0,0,3,9,7,8,1,0,0,0,0,0,0,0,0,0
05/06/2025 17:00,37,23,1,29,3,0,4,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,2,14,15,6,0,0,0,0,0,0,0,0,0,0,1,0,6,12,4,0,0,0,0,0,0,0,0,0,0
05/06/2025 18:00,43,15,0,33,7,0,3,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,10,23,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,2,0,0,0,0,0,0,0,0,0
