"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/06/2025 10:00 - 10:59,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,6,24.2,28.7
05/06/2025 11:00 - 11:59,0,0,11,6,4,1,0,0,0,0,0,0,0,0,0,22,27.3,32.5
05/06/2025 12:00 - 12:59,1,1,5,8,3,2,0,0,0,0,0,0,0,0,0,20,27.5,33.5
05/06/2025 13:00 - 13:59,1,2,3,10,5,0,0,0,0,0,0,0,0,0,0,21,27.1,32.3
05/06/2025 14:00 - 14:59,2,4,9,14,4,3,0,0,0,0,0,0,0,0,0,36,26.5,32.4
05/06/2025 15:00 - 15:59,6,5,24,13,7,0,0,0,0,0,0,0,0,0,0,55,24.1,30.3
05/06/2025 16:00 - 16:59,1,2,8,25,9,2,0,0,0,0,0,0,0,0,0,47,28.2,32.9
05/06/2025 17:00 - 17:59,0,2,14,15,6,0,0,0,0,0,0,0,0,0,0,37,26.9,31.0
05/06/2025 18:00 - 18:59,1,0,10,23,9,0,0,0,0,0,0,0,0,0,0,43,27.9,32.1
05/06/2025 19:00 - 19:59,0,1,7,12,6,1,0,0,0,0,0,0,0,0,0,27,28.3,33.0
05/06/2025 20:00 - 20:59,0,3,10,11,3,0,0,0,0,0,0,0,0,0,0,27,26.0,30.3
05/06/2025 21:00 - 21:59,0,1,6,12,3,0,0,0,1,0,0,0,0,0,0,23,28.4,31.1
05/06/2025 22:00 - 22:59,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0,12,28.0,30.3
05/06/2025 23:00 - 23:59,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,5,25.2,29.8
05/07/2025 00:00 - 00:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
05/07/2025 01:00 - 01:59,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,6,25.2,29.0
05/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/07/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/07/2025 04:00 - 04:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
05/07/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
05/07/2025 06:00 - 06:59,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,12,24.7,28.7
05/07/2025 07:00 - 07:59,0,4,23,11,5,0,0,0,0,0,0,0,0,0,0,43,25.4,30.1
05/07/2025 08:00 - 08:59,3,5,8,6,1,0,0,0,0,0,0,0,0,0,0,23,22.4,28.5
05/07/2025 09:00 - 09:59,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,15,25.3,30.4
05/07/2025 10:00 - 10:59,1,2,9,4,1,0,0,0,0,0,0,0,0,0,0,17,23.8,28.4
05/07/2025 11:00 - 11:59,0,1,14,5,2,0,0,0,0,0,0,0,0,0,0,22,25.3,29.2
05/07/2025 12:00 - 12:59,2,2,5,3,1,1,0,0,0,0,0,0,0,0,0,14,23.6,30.0
05/07/2025 13:00 - 13:59,1,6,9,6,3,0,0,0,0,0,0,0,0,0,0,25,24.1,30.0
05/07/2025 14:00 - 14:59,2,6,16,15,2,0,0,0,0,0,0,0,0,0,0,41,24.4,29.5
05/07/2025 15:00 - 15:59,1,5,20,14,7,3,0,0,0,0,0,0,0,0,0,50,26.4,32.4
05/07/2025 16:00 - 16:59,0,3,5,29,9,2,0,0,0,0,0,0,0,0,0,48,28.7,32.8
05/07/2025 17:00 - 17:59,0,2,13,27,10,0,1,0,0,0,0,0,0,0,0,53,28.1,32.3
05/07/2025 18:00 - 18:59,0,2,12,23,6,0,0,0,0,0,0,0,0,0,0,43,27.3,30.8
05/07/2025 19:00 - 19:59,0,1,9,12,5,0,0,0,0,0,0,0,0,0,0,27,27.3,31.5
05/07/2025 20:00 - 20:59,0,3,6,14,7,0,0,0,0,0,0,0,0,0,0,30,27.6,32.4
05/07/2025 21:00 - 21:59,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,15,28.5,30.7
05/07/2025 22:00 - 22:59,0,1,5,2,2,1,0,0,0,0,0,0,0,0,0,11,27.0,33.1
05/07/2025 23:00 - 23:59,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,9,26.7,31.8
05/08/2025 00:00 - 00:59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18.7,26.3
05/08/2025 01:00 - 01:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
05/08/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/08/2025 03:00 - 03:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
05/08/2025 04:00 - 04:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
05/08/2025 05:00 - 05:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/08/2025 06:00 - 06:59,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,6,29.2,29.0
05/08/2025 07:00 - 07:59,0,3,27,14,3,1,0,0,0,0,0,0,0,0,0,48,25.5,29.7
05/08/2025 08:00 - 08:59,0,0,3,8,6,0,0,0,0,0,0,0,0,0,0,17,29.4,33.5
05/08/2025 09:00 - 09:59,1,0,4,8,4,0,0,0,0,0,0,0,0,0,0,17,27.4,32.2
05/08/2025 10:00 - 10:59,0,0,2,6,5,1,0,0,0,0,0,0,0,0,0,14,30.2,34.4
05/08/2025 11:00 - 11:59,0,1,3,5,3,2,0,0,0,0,0,0,0,0,0,14,29.1,35.0
05/08/2025 12:00 - 12:59,0,2,2,5,9,3,1,0,0,0,0,0,0,0,0,22,31.1,36.3
05/08/2025 13:00 - 13:59,1,0,5,8,6,0,0,0,0,0,0,0,0,0,0,20,27.8,33.1
05/08/2025 14:00 - 14:59,0,2,10,21,14,1,1,0,0,0,0,0,0,0,0,49,29.0,33.9
05/08/2025 15:00 - 15:59,6,7,16,16,10,1,0,0,0,0,0,0,0,0,0,56,24.9,32.0
05/08/2025 16:00 - 16:59,0,3,8,26,22,2,0,0,0,0,0,0,0,0,0,61,29.5,34.3
05/08/2025 17:00 - 17:59,0,1,7,18,8,1,0,0,0,0,0,0,0,0,0,35,28.6,33.0
05/08/2025 18:00 - 18:59,0,0,8,16,15,1,0,0,0,0,0,0,0,0,0,40,29.6,34.2
05/08/2025 19:00 - 19:59,0,3,6,16,2,1,0,1,0,0,0,0,0,0,0,29,27.7,30.7
05/08/2025 20:00 - 20:59,1,0,4,13,1,0,0,0,0,0,0,0,0,0,0,19,26.7,30.1
