"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/06/2025 10:00 - 10:59,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,7,26.3,32.1
05/06/2025 11:00 - 11:59,0,0,4,6,5,4,0,0,0,0,0,0,0,0,0,19,30.8,36.8
05/06/2025 12:00 - 12:59,0,2,3,5,5,0,0,0,0,0,0,0,0,0,0,15,27.7,33.3
05/06/2025 13:00 - 13:59,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,8,27.1,30.1
05/06/2025 14:00 - 14:59,1,0,5,6,5,0,0,0,0,0,0,0,0,0,0,17,27.4,33.0
05/06/2025 15:00 - 15:59,4,1,13,14,9,0,0,0,0,0,0,0,0,0,0,41,26.0,32.3
05/06/2025 16:00 - 16:59,0,3,9,7,8,1,0,0,0,0,0,0,0,0,0,28,27.5,33.7
05/06/2025 17:00 - 17:59,1,0,6,12,4,0,0,0,0,0,0,0,0,0,0,23,27.3,31.1
05/06/2025 18:00 - 18:59,0,0,3,9,1,2,0,0,0,0,0,0,0,0,0,15,29.1,32.3
05/06/2025 19:00 - 19:59,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,13,25.8,29.2
05/06/2025 20:00 - 20:59,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,10,26.9,30.0
05/06/2025 21:00 - 21:59,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,10,29.8,31.0
05/06/2025 22:00 - 22:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
05/06/2025 23:00 - 23:59,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5,32.4,34.4
05/07/2025 00:00 - 00:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
05/07/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/07/2025 03:00 - 03:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
05/07/2025 04:00 - 04:59,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,7,25.0,32.1
05/07/2025 05:00 - 05:59,0,0,2,7,1,2,1,0,0,0,0,0,0,0,0,13,30.7,37.4
05/07/2025 06:00 - 06:59,0,0,3,10,4,1,0,0,0,0,0,0,0,0,0,18,29.3,33.3
05/07/2025 07:00 - 07:59,0,2,8,22,9,1,1,0,0,0,0,0,0,0,0,43,28.7,33.3
05/07/2025 08:00 - 08:59,0,2,12,16,4,0,0,0,0,0,0,0,0,0,0,34,26.7,30.5
05/07/2025 09:00 - 09:59,1,2,4,9,2,1,0,0,0,0,0,0,0,0,0,19,26.4,30.1
