"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2025 10:00 - 10:59,0,10,0,1,2,0,0,0,0,0,0,0,0,13
05/06/2025 11:00 - 11:59,0,32,6,0,3,0,0,0,0,0,0,0,0,41
05/06/2025 12:00 - 12:59,2,25,3,0,5,0,0,0,0,0,0,0,0,35
05/06/2025 13:00 - 13:59,0,21,4,0,4,0,0,0,0,0,0,0,0,29
05/06/2025 14:00 - 14:59,0,41,5,1,5,0,1,0,0,0,0,0,0,53
05/06/2025 15:00 - 15:59,1,76,13,1,4,0,0,0,0,0,0,1,0,96
05/06/2025 16:00 - 16:59,0,63,7,0,5,0,0,0,0,0,0,0,0,75
05/06/2025 17:00 - 17:59,1,50,3,0,6,0,0,0,0,0,0,0,0,60
05/06/2025 18:00 - 18:59,0,47,8,0,3,0,0,0,0,0,0,0,0,58
05/06/2025 19:00 - 19:59,0,31,6,0,3,0,0,0,0,0,0,0,0,40
05/06/2025 20:00 - 20:59,0,30,4,0,3,0,0,0,0,0,0,0,0,37
05/06/2025 21:00 - 21:59,0,31,1,0,1,0,0,0,0,0,0,0,0,33
05/06/2025 22:00 - 22:59,0,12,0,0,2,0,0,0,0,0,0,0,0,14
05/06/2025 23:00 - 23:59,0,9,1,0,0,0,0,0,0,0,0,0,0,10
05/07/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
05/07/2025 01:00 - 01:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
05/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2025 03:00 - 03:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
05/07/2025 04:00 - 04:59,1,7,1,0,1,0,0,0,0,0,0,0,0,10
05/07/2025 05:00 - 05:59,0,12,2,0,0,0,0,0,0,0,0,0,0,14
05/07/2025 06:00 - 06:59,0,26,2,0,1,1,0,0,0,0,0,0,0,30
05/07/2025 07:00 - 07:59,0,70,14,0,2,0,0,0,0,0,0,0,0,86
05/07/2025 08:00 - 08:59,0,38,8,1,9,1,0,0,0,0,0,0,0,57
05/07/2025 09:00 - 09:59,0,17,9,2,6,0,0,0,0,0,0,0,0,34
05/07/2025 10:00 - 10:59,1,24,0,0,6,1,0,0,0,0,0,0,0,32
05/07/2025 11:00 - 11:59,0,23,2,1,6,1,0,0,0,0,0,0,0,33
05/07/2025 12:00 - 12:59,1,23,6,1,5,0,0,0,0,0,0,0,0,36
05/07/2025 13:00 - 13:59,1,26,4,2,8,1,0,0,0,0,0,0,0,42
05/07/2025 14:00 - 14:59,1,49,4,2,5,1,0,0,0,0,0,0,0,62
05/07/2025 15:00 - 15:59,1,78,10,1,4,0,0,0,0,0,0,0,0,94
05/07/2025 16:00 - 16:59,0,48,10,1,6,0,0,0,0,0,0,0,0,65
05/07/2025 17:00 - 17:59,0,73,2,1,4,0,0,0,0,0,0,0,0,80
05/07/2025 18:00 - 18:59,0,55,6,0,3,0,0,0,0,0,0,0,0,64
05/07/2025 19:00 - 19:59,0,33,8,0,1,0,0,0,0,0,0,0,0,42
