"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/06/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/06/2025 10:00 - 10:59,0,4,2,5,2,0,0,0,0,0,0,0,0,0,0,13,25.4,29.9
05/06/2025 11:00 - 11:59,0,0,15,12,9,5,0,0,0,0,0,0,0,0,0,41,29.0,35.1
05/06/2025 12:00 - 12:59,1,3,8,13,8,2,0,0,0,0,0,0,0,0,0,35,27.7,33.7
05/06/2025 13:00 - 13:59,1,2,6,14,6,0,0,0,0,0,0,0,0,0,0,29,27.2,32.0
05/06/2025 14:00 - 14:59,3,4,14,20,9,3,0,0,0,0,0,0,0,0,0,53,26.8,33.0
05/06/2025 15:00 - 15:59,10,6,37,27,16,0,0,0,0,0,0,0,0,0,0,96,24.9,31.3
05/06/2025 16:00 - 16:59,1,5,17,32,17,3,0,0,0,0,0,0,0,0,0,75,28.0,33.4
05/06/2025 17:00 - 17:59,1,2,20,27,10,0,0,0,0,0,0,0,0,0,0,60,27.0,31.3
05/06/2025 18:00 - 18:59,1,0,13,32,10,2,0,0,0,0,0,0,0,0,0,58,28.3,32.4
05/06/2025 19:00 - 19:59,0,1,15,16,7,1,0,0,0,0,0,0,0,0,0,40,27.5,32.1
05/06/2025 20:00 - 20:59,0,3,14,16,4,0,0,0,0,0,0,0,0,0,0,37,26.3,30.4
05/06/2025 21:00 - 21:59,0,1,7,19,4,0,1,0,1,0,0,0,0,0,0,33,28.9,31.7
05/06/2025 22:00 - 22:59,0,1,1,9,3,0,0,0,0,0,0,0,0,0,0,14,28.4,31.7
05/06/2025 23:00 - 23:59,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,10,28.9,34.0
05/07/2025 00:00 - 00:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
05/07/2025 01:00 - 01:59,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,6,25.2,29.0
05/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/07/2025 03:00 - 03:59,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28.3,29.4
05/07/2025 04:00 - 04:59,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,10,26.5,32.7
05/07/2025 05:00 - 05:59,0,0,3,7,1,2,1,0,0,0,0,0,0,0,0,14,30.1,37.0
05/07/2025 06:00 - 06:59,0,2,8,15,4,1,0,0,0,0,0,0,0,0,0,30,27.5,31.0
05/07/2025 07:00 - 07:59,0,6,31,33,14,1,1,0,0,0,0,0,0,0,0,86,27.1,31.9
05/07/2025 08:00 - 08:59,3,7,20,22,5,0,0,0,0,0,0,0,0,0,0,57,25.0,30.1
05/07/2025 09:00 - 09:59,2,4,8,15,4,1,0,0,0,0,0,0,0,0,0,34,25.9,30.8
05/07/2025 10:00 - 10:59,1,2,14,11,4,0,0,0,0,0,0,0,0,0,0,32,25.7,30.4
05/07/2025 11:00 - 11:59,1,4,17,7,4,0,0,0,0,0,0,0,0,0,0,33,24.7,30.0
05/07/2025 12:00 - 12:59,2,5,7,14,6,2,0,0,0,0,0,0,0,0,0,36,26.5,32.8
05/07/2025 13:00 - 13:59,4,6,16,11,5,0,0,0,0,0,0,0,0,0,0,42,24.0,30.2
05/07/2025 14:00 - 14:59,2,8,24,24,4,0,0,0,0,0,0,0,0,0,0,62,25.0,29.8
05/07/2025 15:00 - 15:59,5,9,42,24,11,3,0,0,0,0,0,0,0,0,0,94,25.2,30.9
05/07/2025 16:00 - 16:59,0,5,7,38,13,2,0,0,0,0,0,0,0,0,0,65,28.5,32.8
05/07/2025 17:00 - 17:59,1,3,26,33,16,0,1,0,0,0,0,0,0,0,0,80,27.4,32.4
05/07/2025 18:00 - 18:59,1,2,20,30,10,1,0,0,0,0,0,0,0,0,0,64,27.3,31.5
05/07/2025 19:00 - 19:59,1,1,13,19,8,0,0,0,0,0,0,0,0,0,0,42,27.2,31.8
05/07/2025 20:00 - 20:59,0,3,11,25,11,0,0,0,0,0,0,0,0,0,0,50,27.9,32.4
05/07/2025 21:00 - 21:59,0,0,3,18,4,1,0,0,0,0,0,0,0,0,0,26,29.0,31.8
05/07/2025 22:00 - 22:59,0,1,8,4,2,1,0,0,0,0,0,0,0,0,0,16,26.6,31.3
05/07/2025 23:00 - 23:59,0,1,5,3,1,3,0,0,0,0,0,0,0,0,0,13,28.3,36.9
05/08/2025 00:00 - 00:59,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,21.3,28.3
05/08/2025 01:00 - 01:59,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,5,28.2,29.8
05/08/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/08/2025 03:00 - 03:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
05/08/2025 04:00 - 04:59,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,7,28.6,34.6
05/08/2025 05:00 - 05:59,0,0,1,9,4,3,2,0,0,0,0,0,0,0,0,19,32.4,38.8
05/08/2025 06:00 - 06:59,0,0,0,14,8,1,0,0,0,0,0,0,0,0,0,23,30.7,34.2
05/08/2025 07:00 - 07:59,0,4,40,35,10,5,0,0,0,0,0,0,0,0,0,94,27.0,31.2
05/08/2025 08:00 - 08:59,0,1,6,22,15,1,0,0,0,0,0,0,0,0,0,45,29.5,33.9
05/08/2025 09:00 - 09:59,1,3,10,15,11,1,0,0,0,0,0,0,0,0,0,41,27.6,33.4
05/08/2025 10:00 - 10:59,0,1,3,12,11,3,0,0,0,0,0,0,0,0,0,30,30.4,35.1
05/08/2025 11:00 - 11:59,1,1,5,9,11,3,0,0,0,0,0,0,0,0,0,30,29.5,35.1
05/08/2025 12:00 - 12:59,0,3,4,14,22,3,1,0,0,0,0,0,0,0,0,47,30.7,35.2
05/08/2025 13:00 - 13:59,1,0,7,14,8,0,0,0,0,0,0,0,0,0,0,30,28.0,32.9
