"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Northbound","Southbound","Total"
05/06/2025 09:00 - 09:59,0,0,0
05/06/2025 10:00 - 10:59,6,7,13
05/06/2025 11:00 - 11:59,22,19,41
05/06/2025 12:00 - 12:59,20,15,35
05/06/2025 13:00 - 13:59,21,8,29
05/06/2025 14:00 - 14:59,36,17,53
05/06/2025 15:00 - 15:59,55,41,96
05/06/2025 16:00 - 16:59,47,28,75
05/06/2025 17:00 - 17:59,37,23,60
05/06/2025 18:00 - 18:59,43,15,58
05/06/2025 19:00 - 19:59,27,13,40
05/06/2025 20:00 - 20:59,27,10,37
05/06/2025 21:00 - 21:59,23,10,33
05/06/2025 22:00 - 22:59,12,2,14
05/06/2025 23:00 - 23:59,5,5,10
05/07/2025 00:00 - 00:59,1,2,3
05/07/2025 01:00 - 01:59,6,0,6
05/07/2025 02:00 - 02:59,0,0,0
05/07/2025 03:00 - 03:59,1,2,3
05/07/2025 04:00 - 04:59,3,7,10
05/07/2025 05:00 - 05:59,1,13,14
05/07/2025 06:00 - 06:59,12,18,30
05/07/2025 07:00 - 07:59,43,43,86
05/07/2025 08:00 - 08:59,23,34,57
05/07/2025 09:00 - 09:59,15,19,34
05/07/2025 10:00 - 10:59,17,15,32
05/07/2025 11:00 - 11:59,22,11,33
05/07/2025 12:00 - 12:59,14,22,36
05/07/2025 13:00 - 13:59,25,17,42
05/07/2025 14:00 - 14:59,41,21,62
05/07/2025 15:00 - 15:59,50,44,94
05/07/2025 16:00 - 16:59,48,17,65
05/07/2025 17:00 - 17:59,53,27,80
05/07/2025 18:00 - 18:59,43,21,64
05/07/2025 19:00 - 19:59,27,15,42
05/07/2025 20:00 - 20:59,30,20,50
05/07/2025 21:00 - 21:59,15,11,26
05/07/2025 22:00 - 22:59,11,5,16
05/07/2025 23:00 - 23:59,9,4,13
05/08/2025 00:00 - 00:59,3,1,4
05/08/2025 01:00 - 01:59,3,2,5
05/08/2025 02:00 - 02:59,0,0,0
05/08/2025 03:00 - 03:59,1,0,1
05/08/2025 04:00 - 04:59,2,5,7
05/08/2025 05:00 - 05:59,1,18,19
05/08/2025 06:00 - 06:59,6,17,23
05/08/2025 07:00 - 07:59,48,46,94
05/08/2025 08:00 - 08:59,17,28,45
05/08/2025 09:00 - 09:59,17,24,41
05/08/2025 10:00 - 10:59,14,16,30
05/08/2025 11:00 - 11:59,15,16,31
05/08/2025 12:00 - 12:59,22,25,47
05/08/2025 13:00 - 13:59,20,10,30
05/08/2025 14:00 - 14:59,49,18,67
05/08/2025 15:00 - 15:59,58,46,104
05/08/2025 16:00 - 16:59,61,18,79
05/08/2025 17:00 - 17:59,35,20,55
05/08/2025 18:00 - 18:59,40,24,64
05/08/2025 19:00 - 19:59,29,17,46
05/08/2025 20:00 - 20:59,19,13,32
05/08/2025 21:00 - 21:59,16,8,24
05/08/2025 22:00 - 22:59,15,3,18
05/08/2025 23:00 - 23:59,12,5,17
05/09/2025 00:00 - 00:59,4,0,4
05/09/2025 01:00 - 01:59,1,0,1
05/09/2025 02:00 - 02:59,1,0,1
05/09/2025 03:00 - 03:59,0,0,0
05/09/2025 04:00 - 04:59,0,3,3
05/09/2025 05:00 - 05:59,3,14,17
05/09/2025 06:00 - 06:59,5,15,20
05/09/2025 07:00 - 07:59,58,34,92
05/09/2025 08:00 - 08:59,22,46,68
05/09/2025 09:00 - 09:59,19,19,38
05/09/2025 10:00 - 10:59,23,22,45
