"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","3624 Welcome Ave N"
"Location:","3624 Welcome Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/06/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
05/06/2025 09:00 - 09:59,0,0,0
05/06/2025 10:00 - 10:59,12,14,26
05/06/2025 11:00 - 11:59,44,38,82
05/06/2025 12:00 - 12:59,42,30,72
05/06/2025 13:00 - 13:59,43,17,60
05/06/2025 14:00 - 14:59,75,34,109
05/06/2025 15:00 - 15:59,115,83,198
05/06/2025 16:00 - 16:59,94,56,150
05/06/2025 17:00 - 17:59,76,46,122
05/06/2025 18:00 - 18:59,87,31,118
05/06/2025 19:00 - 19:59,54,26,80
05/06/2025 20:00 - 20:59,55,20,75
05/06/2025 21:00 - 21:59,46,20,66
05/06/2025 22:00 - 22:59,24,4,28
05/06/2025 23:00 - 23:59,10,10,20
05/07/2025 00:00 - 00:59,2,4,6
05/07/2025 01:00 - 01:59,12,0,12
05/07/2025 02:00 - 02:59,0,0,0
05/07/2025 03:00 - 03:59,2,4,6
05/07/2025 04:00 - 04:59,6,14,20
05/07/2025 05:00 - 05:59,2,26,28
05/07/2025 06:00 - 06:59,25,36,61
05/07/2025 07:00 - 07:59,86,86,172
05/07/2025 08:00 - 08:59,49,69,118
05/07/2025 09:00 - 09:59,30,41,71
05/07/2025 10:00 - 10:59,36,30,66
05/07/2025 11:00 - 11:59,44,25,69
05/07/2025 12:00 - 12:59,30,45,75
05/07/2025 13:00 - 13:59,51,34,85
05/07/2025 14:00 - 14:59,82,45,127
05/07/2025 15:00 - 15:59,100,88,188
05/07/2025 16:00 - 16:59,96,34,130
05/07/2025 17:00 - 17:59,106,54,160
05/07/2025 18:00 - 18:59,86,42,128
05/07/2025 19:00 - 19:59,54,30,84
05/07/2025 20:00 - 20:59,60,40,100
05/07/2025 21:00 - 21:59,30,22,52
05/07/2025 22:00 - 22:59,22,10,32
05/07/2025 23:00 - 23:59,18,8,26
05/08/2025 00:00 - 00:59,6,2,8
05/08/2025 01:00 - 01:59,6,4,10
05/08/2025 02:00 - 02:59,0,0,0
05/08/2025 03:00 - 03:59,2,0,2
05/08/2025 04:00 - 04:59,4,10,14
05/08/2025 05:00 - 05:59,2,36,38
05/08/2025 06:00 - 06:59,12,34,46
05/08/2025 07:00 - 07:59,96,93,189
05/08/2025 08:00 - 08:59,34,56,90
05/08/2025 09:00 - 09:59,35,48,83
05/08/2025 10:00 - 10:59,28,33,61
05/08/2025 11:00 - 11:59,31,32,63
05/08/2025 12:00 - 12:59,44,50,94
05/08/2025 13:00 - 13:59,40,20,60
05/08/2025 14:00 - 14:59,98,36,134
05/08/2025 15:00 - 15:59,118,92,210
05/08/2025 16:00 - 16:59,122,36,158
05/08/2025 17:00 - 17:59,70,40,110
05/08/2025 18:00 - 18:59,80,48,128
05/08/2025 19:00 - 19:59,58,35,93
05/08/2025 20:00 - 20:59,38,26,64
05/08/2025 21:00 - 21:59,32,16,48
05/08/2025 22:00 - 22:59,30,6,36
05/08/2025 23:00 - 23:59,24,10,34
05/09/2025 00:00 - 00:59,8,0,8
05/09/2025 01:00 - 01:59,2,0,2
05/09/2025 02:00 - 02:59,2,0,2
05/09/2025 03:00 - 03:59,0,0,0
05/09/2025 04:00 - 04:59,0,6,6
05/09/2025 05:00 - 05:59,7,28,35
05/09/2025 06:00 - 06:59,10,30,40
05/09/2025 07:00 - 07:59,116,68,184
05/09/2025 08:00 - 08:59,44,92,136
