"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","3809 Hampshire Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/17/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Northbound","Southbound","Total"
09/17/2025 13:00 - 13:59,0,0,0
09/17/2025 14:00 - 14:59,0,2,2
09/17/2025 15:00 - 15:59,8,7,15
09/17/2025 16:00 - 16:59,8,10,18
09/17/2025 17:00 - 17:59,6,16,22
09/17/2025 18:00 - 18:59,10,9,19
09/17/2025 19:00 - 19:59,6,8,14
09/17/2025 20:00 - 20:59,5,2,7
09/17/2025 21:00 - 21:59,6,4,10
09/17/2025 22:00 - 22:59,5,5,10
09/17/2025 23:00 - 23:59,1,2,3
09/18/2025 00:00 - 00:59,0,0,0
09/18/2025 01:00 - 01:59,0,1,1
09/18/2025 02:00 - 02:59,0,2,2
09/18/2025 03:00 - 03:59,0,2,2
09/18/2025 04:00 - 04:59,1,0,1
09/18/2025 05:00 - 05:59,0,2,2
09/18/2025 06:00 - 06:59,1,2,3
09/18/2025 07:00 - 07:59,9,7,16
09/18/2025 08:00 - 08:59,6,6,12
09/18/2025 09:00 - 09:59,3,2,5
09/18/2025 10:00 - 10:59,11,8,19
09/18/2025 11:00 - 11:59,1,3,4
09/18/2025 12:00 - 12:59,4,11,15
09/18/2025 13:00 - 13:59,3,7,10
09/18/2025 14:00 - 14:59,12,15,27
09/18/2025 15:00 - 15:59,8,12,20
09/18/2025 16:00 - 16:59,9,9,18
09/18/2025 17:00 - 17:59,9,15,24
09/18/2025 18:00 - 18:59,7,4,11
09/18/2025 19:00 - 19:59,3,4,7
09/18/2025 20:00 - 20:59,2,6,8
09/18/2025 21:00 - 21:59,5,2,7
09/18/2025 22:00 - 22:59,2,1,3
09/18/2025 23:00 - 23:59,0,0,0
09/19/2025 00:00 - 00:59,0,0,0
09/19/2025 01:00 - 01:59,0,0,0
09/19/2025 02:00 - 02:59,0,2,2
09/19/2025 03:00 - 03:59,1,1,2
09/19/2025 04:00 - 04:59,0,1,1
09/19/2025 05:00 - 05:59,0,1,1
09/19/2025 06:00 - 06:59,1,1,2
09/19/2025 07:00 - 07:59,9,9,18
09/19/2025 08:00 - 08:59,2,7,9
09/19/2025 09:00 - 09:59,8,2,10
09/19/2025 10:00 - 10:59,4,7,11
09/19/2025 11:00 - 11:59,5,7,12
09/19/2025 12:00 - 12:59,4,1,5
09/19/2025 13:00 - 13:59,6,8,14
09/19/2025 14:00 - 14:59,7,10,17
09/19/2025 15:00 - 15:59,11,9,20
09/19/2025 16:00 - 16:59,10,12,22
09/19/2025 17:00 - 17:59,3,5,8
09/19/2025 18:00 - 18:59,3,8,11
09/19/2025 19:00 - 19:59,3,8,11
09/19/2025 20:00 - 20:59,1,1,2
09/19/2025 21:00 - 21:59,4,3,7
09/19/2025 22:00 - 22:59,1,3,4
09/19/2025 23:00 - 23:59,1,2,3
09/20/2025 00:00 - 00:59,0,0,0
09/20/2025 01:00 - 01:59,0,0,0
09/20/2025 02:00 - 02:59,0,1,1
09/20/2025 03:00 - 03:59,0,2,2
09/20/2025 04:00 - 04:59,2,2,4
09/20/2025 05:00 - 05:59,0,1,1
09/20/2025 06:00 - 06:59,0,4,4
09/20/2025 07:00 - 07:59,4,2,6
09/20/2025 08:00 - 08:59,1,1,2
09/20/2025 09:00 - 09:59,4,5,9
09/20/2025 10:00 - 10:59,6,8,14
09/20/2025 11:00 - 11:59,6,8,14
09/20/2025 12:00 - 12:59,2,7,9
09/20/2025 13:00 - 13:59,7,8,15
09/20/2025 14:00 - 14:59,2,11,13
09/20/2025 15:00 - 15:59,6,10,16
09/20/2025 16:00 - 16:59,7,3,10
09/20/2025 17:00 - 17:59,8,5,13
09/20/2025 18:00 - 18:59,5,7,12
09/20/2025 19:00 - 19:59,2,3,5
09/20/2025 20:00 - 20:59,1,7,8
09/20/2025 21:00 - 21:59,3,3,6
09/20/2025 22:00 - 22:59,4,0,4
09/20/2025 23:00 - 23:59,0,1,1
09/21/2025 00:00 - 00:59,2,0,2
09/21/2025 01:00 - 01:59,0,2,2
09/21/2025 02:00 - 02:59,0,0,0
09/21/2025 03:00 - 03:59,1,1,2
09/21/2025 04:00 - 04:59,1,3,4
09/21/2025 05:00 - 05:59,0,0,0
09/21/2025 06:00 - 06:59,0,1,1
09/21/2025 07:00 - 07:59,1,1,2
09/21/2025 08:00 - 08:59,3,4,7
09/21/2025 09:00 - 09:59,5,3,8
09/21/2025 10:00 - 10:59,2,4,6
09/21/2025 11:00 - 11:59,4,10,14
09/21/2025 12:00 - 12:59,3,13,16
09/21/2025 13:00 - 13:59,4,5,9
09/21/2025 14:00 - 14:59,3,7,10
09/21/2025 15:00 - 15:59,9,10,19
09/21/2025 16:00 - 16:59,4,9,13
09/21/2025 17:00 - 17:59,6,6,12
09/21/2025 18:00 - 18:59,7,6,13
09/21/2025 19:00 - 19:59,6,8,14
09/21/2025 20:00 - 20:59,4,2,6
09/21/2025 21:00 - 21:59,2,2,4
09/21/2025 22:00 - 22:59,2,0,2
09/21/2025 23:00 - 23:59,1,0,1
09/22/2025 00:00 - 00:59,0,0,0
09/22/2025 01:00 - 01:59,0,0,0
09/22/2025 02:00 - 02:59,0,2,2
09/22/2025 03:00 - 03:59,0,0,0
09/22/2025 04:00 - 04:59,1,0,1
09/22/2025 05:00 - 05:59,0,0,0
09/22/2025 06:00 - 06:59,0,1,1
09/22/2025 07:00 - 07:59,7,8,15
09/22/2025 08:00 - 08:59,11,5,16
09/22/2025 09:00 - 09:59,4,6,10
09/22/2025 10:00 - 10:59,3,6,9
09/22/2025 11:00 - 11:59,2,5,7
09/22/2025 12:00 - 12:59,4,6,10
09/22/2025 13:00 - 13:59,4,5,9
09/22/2025 14:00 - 14:59,8,13,21
09/22/2025 15:00 - 15:59,12,9,21
09/22/2025 16:00 - 16:59,10,8,18
09/22/2025 17:00 - 17:59,7,11,18
09/22/2025 18:00 - 18:59,7,14,21
09/22/2025 19:00 - 19:59,6,5,11
09/22/2025 20:00 - 20:59,4,4,8
09/22/2025 21:00 - 21:59,2,3,5
09/22/2025 22:00 - 22:59,1,1,2
09/22/2025 23:00 - 23:59,1,0,1
09/23/2025 00:00 - 00:59,0,0,0
09/23/2025 01:00 - 01:59,1,0,1
09/23/2025 02:00 - 02:59,0,1,1
09/23/2025 03:00 - 03:59,0,0,0
09/23/2025 04:00 - 04:59,2,1,3
09/23/2025 05:00 - 05:59,0,2,2
09/23/2025 06:00 - 06:59,2,1,3
09/23/2025 07:00 - 07:59,8,12,20
09/23/2025 08:00 - 08:59,9,12,21
09/23/2025 09:00 - 09:59,11,6,17
09/23/2025 10:00 - 10:59,5,9,14
09/23/2025 11:00 - 11:59,2,5,7
09/23/2025 12:00 - 12:59,9,9,18
09/23/2025 13:00 - 13:59,5,10,15
09/23/2025 14:00 - 14:59,9,11,20
09/23/2025 15:00 - 15:59,10,10,20
09/23/2025 16:00 - 16:59,12,7,19
09/23/2025 17:00 - 17:59,8,13,21
09/23/2025 18:00 - 18:59,7,8,15
09/23/2025 19:00 - 19:59,5,4,9
09/23/2025 20:00 - 20:59,3,5,8
09/23/2025 21:00 - 21:59,4,1,5
09/23/2025 22:00 - 22:59,0,0,0
09/23/2025 23:00 - 23:59,1,0,1
09/24/2025 00:00 - 00:59,0,0,0
09/24/2025 01:00 - 01:59,1,0,1
09/24/2025 02:00 - 02:59,0,2,2
09/24/2025 03:00 - 03:59,0,0,0
09/24/2025 04:00 - 04:59,2,1,3
09/24/2025 05:00 - 05:59,0,2,2
09/24/2025 06:00 - 06:59,2,2,4
09/24/2025 07:00 - 07:59,8,8,16
09/24/2025 08:00 - 08:59,5,6,11
09/24/2025 09:00 - 09:59,5,8,13
09/24/2025 10:00 - 10:59,5,13,18
09/24/2025 11:00 - 11:59,4,2,6
09/24/2025 12:00 - 12:59,4,5,9
09/24/2025 13:00 - 13:59,7,3,10
09/24/2025 14:00 - 14:59,8,9,17
09/24/2025 15:00 - 15:59,10,8,18
09/24/2025 16:00 - 16:59,9,10,19
09/24/2025 17:00 - 17:59,9,13,22
09/24/2025 18:00 - 18:59,8,10,18
09/24/2025 19:00 - 19:59,8,1,9
09/24/2025 20:00 - 20:59,3,9,12
09/24/2025 21:00 - 21:59,4,3,7
09/24/2025 22:00 - 22:59,2,1,3
09/24/2025 23:00 - 23:59,0,0,0
09/25/2025 00:00 - 00:59,0,0,0
09/25/2025 01:00 - 01:59,0,1,1
09/25/2025 02:00 - 02:59,0,2,2
09/25/2025 03:00 - 03:59,0,0,0
09/25/2025 04:00 - 04:59,1,1,2
09/25/2025 05:00 - 05:59,1,1,2
09/25/2025 06:00 - 06:59,1,3,4
09/25/2025 07:00 - 07:59,6,6,12
09/25/2025 08:00 - 08:59,2,2,4
