"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","4017 Jersey Ave"
"Location:","4017 Jersey Ave N"
"Comments:","Winter accident follow-up."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
04/23/2025 14:00 - 14:59,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,8,16.9,22.5
04/23/2025 15:00 - 15:59,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,8,23.0,29.3
04/23/2025 16:00 - 16:59,2,0,9,5,2,0,0,0,0,0,0,0,0,0,0,18,24.5,29.8
04/23/2025 17:00 - 17:59,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,6,25.8,29.0
04/23/2025 18:00 - 18:59,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,24.5,28.3
04/23/2025 19:00 - 19:59,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,9,21.6,26.8
04/23/2025 20:00 - 20:59,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,6,24.2,27.5
04/23/2025 21:00 - 21:59,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10,19.3,24.0
04/23/2025 22:00 - 22:59,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,4,33.3,35.5
04/23/2025 23:00 - 23:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
04/24/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/24/2025 04:00 - 04:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
04/24/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/24/2025 06:00 - 06:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
04/24/2025 07:00 - 07:59,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,8,24.3,28.9
04/24/2025 08:00 - 08:59,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,7,28.3,30.5
04/24/2025 09:00 - 09:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
04/24/2025 10:00 - 10:59,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,19.8,24.0
04/24/2025 11:00 - 11:59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21.5,32.0
04/24/2025 12:00 - 12:59,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,28.0,31.3
04/24/2025 13:00 - 13:59,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,6,21.8,29.0
04/24/2025 14:00 - 14:59,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,8,19.6,27.5
04/24/2025 15:00 - 15:59,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,13,24.3,29.2
04/24/2025 16:00 - 16:59,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6,25.8,29.3
04/24/2025 17:00 - 17:59,2,2,8,3,0,0,0,0,0,0,0,0,0,0,0,15,22.1,26.4
04/24/2025 18:00 - 18:59,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,11,23.2,25.6
04/24/2025 19:00 - 19:59,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,9,21.6,27.9
04/24/2025 20:00 - 20:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
04/24/2025 21:00 - 21:59,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,6,25.2,29.0
04/24/2025 22:00 - 22:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
04/24/2025 23:00 - 23:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
04/25/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/25/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/25/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/25/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/25/2025 04:00 - 04:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
04/25/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/25/2025 06:00 - 06:59,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,24.5,28.3
04/25/2025 07:00 - 07:59,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,13,20.4,25.1
04/25/2025 08:00 - 08:59,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,22.9,28.5
04/25/2025 09:00 - 09:59,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,7,25.6,33.3
04/25/2025 10:00 - 10:59,0,3,1,5,2,0,0,0,0,0,0,0,0,0,0,11,26.1,30.6
04/25/2025 11:00 - 11:59,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,9,25.1,27.9
04/25/2025 12:00 - 12:59,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,8,23.5,29.8
04/25/2025 13:00 - 13:59,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,8,22.8,25.3
04/25/2025 14:00 - 14:59,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,11,22.6,28.3
04/25/2025 15:00 - 15:59,3,1,6,3,1,0,0,0,0,0,0,0,0,0,0,14,22.0,28.3
04/25/2025 16:00 - 16:59,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,11,26.5,32.4
04/25/2025 17:00 - 17:59,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,10,23.9,26.0
04/25/2025 18:00 - 18:59,1,2,5,3,2,0,0,0,0,0,0,0,0,0,0,13,24.3,29.9
04/25/2025 19:00 - 19:59,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,22.0,24.2
04/25/2025 20:00 - 20:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
04/25/2025 21:00 - 21:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
04/25/2025 22:00 - 22:59,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,26.2,29.8
04/25/2025 23:00 - 23:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
04/26/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/26/2025 01:00 - 01:59,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,24.5,30.5
04/26/2025 02:00 - 02:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38.0,37.8
04/26/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/26/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/26/2025 05:00 - 05:59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,33.0,37.0
04/26/2025 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/26/2025 07:00 - 07:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
04/26/2025 08:00 - 08:59,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20.3,31.3
04/26/2025 09:00 - 09:59,1,1,4,3,0,1,0,0,0,0,0,0,0,0,0,10,24.5,29.3
04/26/2025 10:00 - 10:59,0,3,6,3,0,1,0,0,0,0,0,0,0,0,0,13,24.5,28.6
04/26/2025 11:00 - 11:59,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,10,20.3,26.0
04/26/2025 12:00 - 12:59,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,12,23.8,32.2
04/26/2025 13:00 - 13:59,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,22.4,24.8
04/26/2025 14:00 - 14:59,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,18.2,24.0
04/26/2025 15:00 - 15:59,4,3,6,0,1,0,0,0,0,0,0,0,0,0,0,14,19.4,24.7
04/26/2025 16:00 - 16:59,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,8,22.9,27.5
04/26/2025 17:00 - 17:59,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0,10,23.5,28.5
04/26/2025 18:00 - 18:59,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,8,26.0,28.9
04/26/2025 19:00 - 19:59,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,9,24.9,36.4
04/26/2025 20:00 - 20:59,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,7,26.1,28.3
04/26/2025 21:00 - 21:59,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,10,19.8,24.8
04/26/2025 22:00 - 22:59,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,5,28.4,32.9
04/26/2025 23:00 - 23:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
04/27/2025 00:00 - 00:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
04/27/2025 01:00 - 01:59,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,24.7,31.3
04/27/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/27/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
04/27/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/27/2025 05:00 - 05:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
04/27/2025 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/27/2025 07:00 - 07:59,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,28.3,33.6
04/27/2025 08:00 - 08:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
04/27/2025 09:00 - 09:59,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,8,19.5,24.3
04/27/2025 10:00 - 10:59,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,10,21.0,25.0
04/27/2025 11:00 - 11:59,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,7,22.1,28.3
04/27/2025 12:00 - 12:59,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,5,25.4,34.8
