"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","4017 Jersey Ave"
"Location:","4017 Jersey Ave N"
"Comments:","Winter accident follow-up."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Southbound","Northbound","Total"
04/23/2025 14:00 - 14:59,7,2,9
04/23/2025 15:00 - 15:59,6,2,8
04/23/2025 16:00 - 16:59,11,7,18
04/23/2025 17:00 - 17:59,3,3,6
04/23/2025 18:00 - 18:59,4,0,4
04/23/2025 19:00 - 19:59,6,3,9
04/23/2025 20:00 - 20:59,3,3,6
04/23/2025 21:00 - 21:59,6,4,10
04/23/2025 22:00 - 22:59,4,0,4
04/23/2025 23:00 - 23:59,0,1,1
04/24/2025 00:00 - 00:59,0,0,0
04/24/2025 01:00 - 01:59,0,0,0
04/24/2025 02:00 - 02:59,0,0,0
04/24/2025 03:00 - 03:59,0,0,0
04/24/2025 04:00 - 04:59,1,1,2
04/24/2025 05:00 - 05:59,0,1,1
04/24/2025 06:00 - 06:59,2,2,4
04/24/2025 07:00 - 07:59,5,3,8
04/24/2025 08:00 - 08:59,3,4,7
04/24/2025 09:00 - 09:59,1,2,3
04/24/2025 10:00 - 10:59,2,4,6
04/24/2025 11:00 - 11:59,1,1,2
04/24/2025 12:00 - 12:59,3,0,3
04/24/2025 13:00 - 13:59,2,4,6
04/24/2025 14:00 - 14:59,6,2,8
04/24/2025 15:00 - 15:59,7,6,13
04/24/2025 16:00 - 16:59,1,5,6
04/24/2025 17:00 - 17:59,7,8,15
04/24/2025 18:00 - 18:59,7,4,11
04/24/2025 19:00 - 19:59,6,3,9
04/24/2025 20:00 - 20:59,3,0,3
04/24/2025 21:00 - 21:59,5,1,6
04/24/2025 22:00 - 22:59,2,1,3
04/24/2025 23:00 - 23:59,4,0,4
04/25/2025 00:00 - 00:59,0,0,0
04/25/2025 01:00 - 01:59,0,0,0
04/25/2025 02:00 - 02:59,0,0,0
04/25/2025 03:00 - 03:59,0,0,0
04/25/2025 04:00 - 04:59,0,1,1
04/25/2025 05:00 - 05:59,0,1,1
04/25/2025 06:00 - 06:59,1,3,4
04/25/2025 07:00 - 07:59,5,8,13
04/25/2025 08:00 - 08:59,6,4,10
04/25/2025 09:00 - 09:59,3,4,7
04/25/2025 10:00 - 10:59,6,5,11
04/25/2025 11:00 - 11:59,4,5,9
04/25/2025 12:00 - 12:59,3,5,8
04/25/2025 13:00 - 13:59,2,6,8
04/25/2025 14:00 - 14:59,7,4,11
04/25/2025 15:00 - 15:59,9,5,14
04/25/2025 16:00 - 16:59,5,6,11
04/25/2025 17:00 - 17:59,7,3,10
04/25/2025 18:00 - 18:59,6,7,13
04/25/2025 19:00 - 19:59,2,2,4
04/25/2025 20:00 - 20:59,2,1,3
04/25/2025 21:00 - 21:59,2,1,3
04/25/2025 22:00 - 22:59,3,2,5
04/25/2025 23:00 - 23:59,1,1,2
04/26/2025 00:00 - 00:59,0,0,0
04/26/2025 01:00 - 01:59,1,3,4
04/26/2025 02:00 - 02:59,0,1,1
04/26/2025 03:00 - 03:59,1,0,1
04/26/2025 04:00 - 04:59,0,0,0
04/26/2025 05:00 - 05:59,2,0,2
04/26/2025 06:00 - 06:59,0,0,0
04/26/2025 07:00 - 07:59,1,1,2
04/26/2025 08:00 - 08:59,0,3,3
04/26/2025 09:00 - 09:59,2,8,10
04/26/2025 10:00 - 10:59,5,8,13
04/26/2025 11:00 - 11:59,4,6,10
04/26/2025 12:00 - 12:59,7,5,12
04/26/2025 13:00 - 13:59,2,3,5
04/26/2025 14:00 - 14:59,3,3,6
04/26/2025 15:00 - 15:59,8,6,14
04/26/2025 16:00 - 16:59,5,3,8
04/26/2025 17:00 - 17:59,2,8,10
04/26/2025 18:00 - 18:59,5,3,8
04/26/2025 19:00 - 19:59,4,5,9
04/26/2025 20:00 - 20:59,6,1,7
04/26/2025 21:00 - 21:59,5,5,10
04/26/2025 22:00 - 22:59,2,3,5
04/26/2025 23:00 - 23:59,3,0,3
04/27/2025 00:00 - 00:59,0,1,1
04/27/2025 01:00 - 01:59,1,2,3
04/27/2025 02:00 - 02:59,0,0,0
04/27/2025 03:00 - 03:59,0,1,1
04/27/2025 04:00 - 04:59,0,0,0
04/27/2025 05:00 - 05:59,1,0,1
04/27/2025 06:00 - 06:59,0,0,0
04/27/2025 07:00 - 07:59,1,2,3
04/27/2025 08:00 - 08:59,0,2,2
04/27/2025 09:00 - 09:59,3,5,8
04/27/2025 10:00 - 10:59,5,5,10
04/27/2025 11:00 - 11:59,5,2,7
04/27/2025 12:00 - 12:59,3,2,5
04/27/2025 13:00 - 13:59,6,4,10
04/27/2025 14:00 - 14:59,5,8,13
04/27/2025 15:00 - 15:59,5,5,10
04/27/2025 16:00 - 16:59,4,7,11
04/27/2025 17:00 - 17:59,2,4,6
04/27/2025 18:00 - 18:59,3,5,8
04/27/2025 19:00 - 19:59,5,1,6
04/27/2025 20:00 - 20:59,8,2,10
04/27/2025 21:00 - 21:59,2,1,3
04/27/2025 22:00 - 22:59,1,2,3
04/27/2025 23:00 - 23:59,2,0,2
04/28/2025 00:00 - 00:59,0,0,0
04/28/2025 01:00 - 01:59,1,0,1
04/28/2025 02:00 - 02:59,0,0,0
04/28/2025 03:00 - 03:59,0,1,1
04/28/2025 04:00 - 04:59,0,1,1
04/28/2025 05:00 - 05:59,0,1,1
04/28/2025 06:00 - 06:59,0,1,1
04/28/2025 07:00 - 07:59,4,5,9
04/28/2025 08:00 - 08:59,6,3,9
04/28/2025 09:00 - 09:59,2,2,4
04/28/2025 10:00 - 10:59,1,4,5
04/28/2025 11:00 - 11:59,2,0,2
04/28/2025 12:00 - 12:59,6,6,12
04/28/2025 13:00 - 13:59,4,5,9
04/28/2025 14:00 - 14:59,9,3,12
04/28/2025 15:00 - 15:59,10,4,14
04/28/2025 16:00 - 16:59,4,6,10
04/28/2025 17:00 - 17:59,3,3,6
04/28/2025 18:00 - 18:59,1,4,5
04/28/2025 19:00 - 19:59,6,1,7
04/28/2025 20:00 - 20:59,0,0,0
04/28/2025 21:00 - 21:59,3,1,4
04/28/2025 22:00 - 22:59,2,3,5
04/28/2025 23:00 - 23:59,3,0,3
04/29/2025 00:00 - 00:59,0,0,0
04/29/2025 01:00 - 01:59,0,0,0
04/29/2025 02:00 - 02:59,0,0,0
04/29/2025 03:00 - 03:59,0,0,0
04/29/2025 04:00 - 04:59,0,0,0
04/29/2025 05:00 - 05:59,0,2,2
04/29/2025 06:00 - 06:59,3,3,6
04/29/2025 07:00 - 07:59,8,8,16
04/29/2025 08:00 - 08:59,6,4,10
04/29/2025 09:00 - 09:59,6,5,11
04/29/2025 10:00 - 10:59,5,7,12
04/29/2025 11:00 - 11:59,4,1,5
04/29/2025 12:00 - 12:59,4,6,10
04/29/2025 13:00 - 13:59,4,3,7
04/29/2025 14:00 - 14:59,5,5,10
04/29/2025 15:00 - 15:59,8,4,12
04/29/2025 16:00 - 16:59,8,3,11
04/29/2025 17:00 - 17:59,7,5,12
04/29/2025 18:00 - 18:59,3,5,8
04/29/2025 19:00 - 19:59,4,4,8
04/29/2025 20:00 - 20:59,2,2,4
04/29/2025 21:00 - 21:59,7,2,9
04/29/2025 22:00 - 22:59,3,1,4
04/29/2025 23:00 - 23:59,0,0,0
04/30/2025 00:00 - 00:59,0,0,0
04/30/2025 01:00 - 01:59,1,0,1
04/30/2025 02:00 - 02:59,0,2,2
04/30/2025 03:00 - 03:59,0,0,0
04/30/2025 04:00 - 04:59,0,2,2
04/30/2025 05:00 - 05:59,1,1,2
04/30/2025 06:00 - 06:59,1,2,3
04/30/2025 07:00 - 07:59,6,5,11
04/30/2025 08:00 - 08:59,6,3,9
04/30/2025 09:00 - 09:59,4,3,7
04/30/2025 10:00 - 10:59,2,4,6
04/30/2025 11:00 - 11:59,3,3,6
04/30/2025 12:00 - 12:59,1,3,4
04/30/2025 13:00 - 13:59,7,2,9
04/30/2025 14:00 - 14:59,3,3,6
04/30/2025 15:00 - 15:59,9,4,13
04/30/2025 16:00 - 16:59,5,3,8
04/30/2025 17:00 - 17:59,8,5,13
04/30/2025 18:00 - 18:59,2,3,5
04/30/2025 19:00 - 19:59,3,3,6
04/30/2025 20:00 - 20:59,6,2,8
04/30/2025 21:00 - 21:59,5,0,5
04/30/2025 22:00 - 22:59,2,0,2
04/30/2025 23:00 - 23:59,1,0,1
05/01/2025 00:00 - 00:59,0,0,0
05/01/2025 01:00 - 01:59,0,0,0
05/01/2025 02:00 - 02:59,0,0,0
05/01/2025 03:00 - 03:59,0,0,0
05/01/2025 04:00 - 04:59,0,0,0
05/01/2025 05:00 - 05:59,2,1,3
05/01/2025 06:00 - 06:59,0,2,2
05/01/2025 07:00 - 07:59,8,6,14
05/01/2025 08:00 - 08:59,4,4,8
05/01/2025 09:00 - 09:59,4,2,6
05/01/2025 10:00 - 10:59,2,7,9
05/01/2025 11:00 - 11:59,3,3,6
05/01/2025 12:00 - 12:59,5,1,6
05/01/2025 13:00 - 13:59,5,5,10
