"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4649 Xenia Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-15 MPH  - Northbound","16-20 MPH  - Northbound","21-25 MPH  - Northbound","26-30 MPH  - Northbound","31-35 MPH  - Northbound","36-40 MPH  - Northbound","41-45 MPH  - Northbound","46-50 MPH  - Northbound","51-55 MPH  - Northbound","56-60 MPH  - Northbound","61-65 MPH  - Northbound","66-70 MPH  - Northbound","71-71 MPH  - Northbound","76-80 MPH  - Northbound","81-99 MPH  - Northbound","5-15 MPH  - Southbound","16-20 MPH  - Southbound","21-25 MPH  - Southbound","26-30 MPH  - Southbound","31-35 MPH  - Southbound","36-40 MPH  - Southbound","41-45 MPH  - Southbound","46-50 MPH  - Southbound","51-55 MPH  - Southbound","56-60 MPH  - Southbound","61-65 MPH  - Southbound","66-70 MPH  - Southbound","71-71 MPH  - Southbound","76-80 MPH  - Southbound","81-99 MPH  - Southbound"
09/09/2025 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 14:00,8,9,0,7,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 15:00,17,12,0,15,0,1,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,1,0,0,0,0,0,0,0,0,0,0
09/09/2025 16:00,24,19,0,20,2,1,1,0,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,0,0,0,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,2,5,11,1,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 17:00,13,16,0,8,4,0,1,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,1,0,0,0,0,0,0,0,0,0,0
09/09/2025 18:00,11,15,0,10,0,0,0,1,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 19:00,22,17,0,20,2,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 20:00,5,9,0,4,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 21:00,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
09/09/2025 22:00,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
