"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4649 Xenia Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/09/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 14:00 - 14:59,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,8,23.4,25.4
09/09/2025 15:00 - 15:59,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,17,23.4,25.9
09/09/2025 16:00 - 16:59,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,24,22.9,26.9
09/09/2025 17:00 - 17:59,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,13,19.9,24.3
09/09/2025 18:00 - 18:59,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,11,20.7,23.9
09/09/2025 19:00 - 19:59,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,22,18.9,24.1
09/09/2025 20:00 - 20:59,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,24.4,24.8
09/09/2025 21:00 - 21:59,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,20.6,24.8
09/09/2025 22:00 - 22:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
09/09/2025 23:00 - 23:59,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,19.5,20.5
09/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 04:00 - 04:59,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,22.4,24.4
09/10/2025 05:00 - 05:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
09/10/2025 06:00 - 06:59,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,7,22.7,25.3
09/10/2025 07:00 - 07:59,0,6,10,2,0,0,0,0,0,0,0,0,0,0,0,18,22.4,25.4
09/10/2025 08:00 - 08:59,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,13,23.1,24.9
09/10/2025 09:00 - 09:59,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,9,21.9,25.3
09/10/2025 10:00 - 10:59,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,12,20.5,23.7
09/10/2025 11:00 - 11:59,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,8,22.8,25.3
09/10/2025 12:00 - 12:59,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,11,24.8,28.3
09/10/2025 13:00 - 13:59,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,10,24.5,26.0
09/10/2025 14:00 - 14:59,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,18,21.6,24.8
09/10/2025 15:00 - 15:59,0,4,12,1,0,0,0,0,0,0,0,0,0,0,0,17,22.6,25.1
09/10/2025 16:00 - 16:59,2,3,9,1,0,0,0,0,0,0,0,0,0,0,0,15,21.0,25.0
09/10/2025 17:00 - 17:59,0,6,14,2,0,0,0,0,0,0,0,0,0,0,0,22,22.6,25.4
09/10/2025 18:00 - 18:59,1,2,11,2,0,0,0,0,0,0,0,0,0,0,0,16,22.6,25.6
09/10/2025 19:00 - 19:59,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,14,21.4,25.3
09/10/2025 20:00 - 20:59,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,13,23.1,24.9
