"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4649 Xenia Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/09/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 14:00 - 14:59,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,9,21.3,25.1
09/09/2025 15:00 - 15:59,0,3,7,1,1,0,0,0,0,0,0,0,0,0,0,12,23.3,24.5
09/09/2025 16:00 - 16:59,2,5,11,1,0,0,0,0,0,0,0,0,0,0,0,19,21.0,24.9
09/09/2025 17:00 - 17:59,0,4,9,2,1,0,0,0,0,0,0,0,0,0,0,16,23.4,26.3
09/09/2025 18:00 - 18:59,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,15,19.5,22.3
09/09/2025 19:00 - 19:59,3,3,8,3,0,0,0,0,0,0,0,0,0,0,0,17,21.1,25.9
09/09/2025 20:00 - 20:59,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,9,22.9,26.4
09/09/2025 21:00 - 21:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
09/09/2025 22:00 - 22:59,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18.5,19.6
09/09/2025 23:00 - 23:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
09/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 05:00 - 05:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
09/10/2025 06:00 - 06:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
09/10/2025 07:00 - 07:59,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,10,21.4,24.8
09/10/2025 08:00 - 08:59,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,8,22.8,24.8
09/10/2025 09:00 - 09:59,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,10,21.9,25.0
09/10/2025 10:00 - 10:59,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,22.5,27.5
09/10/2025 11:00 - 11:59,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,8,21.1,24.6
09/10/2025 12:00 - 12:59,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,9,23.1,26.4
09/10/2025 13:00 - 13:59,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,18,24.8,29.0
09/10/2025 14:00 - 14:59,0,4,13,1,0,0,0,0,0,0,0,0,0,0,0,18,22.6,25.2
09/10/2025 15:00 - 15:59,0,8,12,5,0,0,0,0,0,0,0,0,0,0,0,25,22.9,26.8
09/10/2025 16:00 - 16:59,3,0,14,1,1,0,0,0,0,0,0,0,0,0,0,19,22.2,25.5
09/10/2025 17:00 - 17:59,2,5,13,2,0,0,0,0,0,0,0,0,0,0,0,22,21.6,25.3
09/10/2025 18:00 - 18:59,2,5,14,3,0,0,0,0,0,0,0,0,0,0,0,24,22.0,25.6
09/10/2025 19:00 - 19:59,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,13,22.3,24.8
09/10/2025 20:00 - 20:59,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,12,22.2,24.7
09/10/2025 21:00 - 21:59,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,5,24.2,29.8
09/10/2025 22:00 - 22:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
09/10/2025 23:00 - 23:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/11/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
09/11/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/11/2025 05:00 - 05:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
09/11/2025 06:00 - 06:59,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,19.0,23.6
09/11/2025 07:00 - 07:59,1,5,8,3,0,0,0,0,0,0,0,0,0,0,0,17,22.1,25.9
09/11/2025 08:00 - 08:59,2,4,7,1,0,0,0,0,0,0,0,0,0,0,0,14,20.5,24.9
09/11/2025 09:00 - 09:59,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,11,17.7,24.1
09/11/2025 10:00 - 10:59,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,8,18.9,24.3
09/11/2025 11:00 - 11:59,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,7,22.1,27.1
09/11/2025 12:00 - 12:59,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,13,23.4,26.9
09/11/2025 13:00 - 13:59,1,1,10,3,1,0,0,0,0,0,0,0,0,0,0,16,23.8,27.8
09/11/2025 14:00 - 14:59,2,2,13,2,0,0,0,0,0,0,0,0,0,0,0,19,22.1,25.5
09/11/2025 15:00 - 15:59,3,4,13,2,0,0,0,0,0,0,0,0,0,0,0,22,21.2,25.3
09/11/2025 16:00 - 16:59,1,8,8,6,1,0,0,0,0,0,0,0,0,0,0,24,22.9,28.4
09/11/2025 17:00 - 17:59,11,10,13,1,0,0,0,0,0,0,0,0,0,0,0,35,18.1,24.2
09/11/2025 18:00 - 18:59,4,11,12,2,0,0,0,0,0,0,0,0,0,0,0,29,20.1,24.8
09/11/2025 19:00 - 19:59,4,8,10,2,0,0,0,0,0,0,0,0,0,0,0,24,20.1,25.0
09/11/2025 20:00 - 20:59,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,6,23.3,24.0
09/11/2025 21:00 - 21:59,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,10,23.4,25.4
09/11/2025 22:00 - 22:59,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,6,21.0,24.0
09/11/2025 23:00 - 23:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
09/12/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/12/2025 01:00 - 01:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
09/12/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
09/12/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/12/2025 04:00 - 04:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
09/12/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/12/2025 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/12/2025 07:00 - 07:59,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,15,22.5,26.4
09/12/2025 08:00 - 08:59,2,2,8,1,0,0,0,0,0,0,0,0,0,0,0,13,21.1,25.1
09/12/2025 09:00 - 09:59,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,9,22.3,24.7
09/12/2025 10:00 - 10:59,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,24.8,26.8
09/12/2025 11:00 - 11:59,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,12,23.8,25.3
09/12/2025 12:00 - 12:59,2,2,8,2,0,0,0,0,0,0,0,0,0,0,0,14,21.6,25.6
09/12/2025 13:00 - 13:59,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,12,22.6,25.2
