"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4649 Xenia Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/09/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 14:00 - 14:59,1,3,11,2,0,0,0,0,0,0,0,0,0,0,0,17,22.4,25.5
09/09/2025 15:00 - 15:59,0,6,18,4,1,0,0,0,0,0,0,0,0,0,0,29,23.5,26.2
09/09/2025 16:00 - 16:59,3,10,24,6,0,0,0,0,0,0,0,0,0,0,0,43,22.1,25.8
09/09/2025 17:00 - 17:59,2,8,16,2,1,0,0,0,0,0,0,0,0,0,0,29,21.9,25.4
09/09/2025 18:00 - 18:59,1,17,6,2,0,0,0,0,0,0,0,0,0,0,0,26,20.1,24.0
09/09/2025 19:00 - 19:59,8,10,18,3,0,0,0,0,0,0,0,0,0,0,0,39,19.9,25.1
09/09/2025 20:00 - 20:59,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,14,23.4,26.7
09/09/2025 21:00 - 21:59,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,8,21.6,25.3
09/09/2025 22:00 - 22:59,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,19.9,22.1
09/09/2025 23:00 - 23:59,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,20.6,23.4
09/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 04:00 - 04:59,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,22.5,24.6
09/10/2025 05:00 - 05:59,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,22.8,27.9
09/10/2025 06:00 - 06:59,1,3,6,1,0,0,0,0,0,0,0,0,0,0,0,11,21.3,25.0
09/10/2025 07:00 - 07:59,0,11,14,3,0,0,0,0,0,0,0,0,0,0,0,28,22.0,25.4
09/10/2025 08:00 - 08:59,0,4,15,2,0,0,0,0,0,0,0,0,0,0,0,21,23.0,25.5
09/10/2025 09:00 - 09:59,1,5,11,2,0,0,0,0,0,0,0,0,0,0,0,19,21.9,25.4
