"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4649 Xenia Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
09/09/2025 13:00 - 13:59,0,0,0
09/09/2025 14:00 - 14:59,16,18,34
09/09/2025 15:00 - 15:59,34,24,58
09/09/2025 16:00 - 16:59,48,38,86
09/09/2025 17:00 - 17:59,26,32,58
09/09/2025 18:00 - 18:59,23,30,53
09/09/2025 19:00 - 19:59,44,34,78
09/09/2025 20:00 - 20:59,10,18,28
09/09/2025 21:00 - 21:59,10,6,16
09/09/2025 22:00 - 22:59,6,8,14
09/09/2025 23:00 - 23:59,8,6,14
09/10/2025 00:00 - 00:59,0,0,0
09/10/2025 01:00 - 01:59,0,0,0
09/10/2025 02:00 - 02:59,0,2,2
09/10/2025 03:00 - 03:59,0,0,0
09/10/2025 04:00 - 04:59,10,2,12
09/10/2025 05:00 - 05:59,8,2,10
09/10/2025 06:00 - 06:59,14,8,22
09/10/2025 07:00 - 07:59,36,20,56
09/10/2025 08:00 - 08:59,26,16,42
09/10/2025 09:00 - 09:59,18,20,38
09/10/2025 10:00 - 10:59,25,12,37
09/10/2025 11:00 - 11:59,16,16,32
09/10/2025 12:00 - 12:59,22,18,40
09/10/2025 13:00 - 13:59,20,36,56
09/10/2025 14:00 - 14:59,36,36,72
09/10/2025 15:00 - 15:59,35,50,85
09/10/2025 16:00 - 16:59,30,38,68
09/10/2025 17:00 - 17:59,44,44,88
09/10/2025 18:00 - 18:59,33,50,83
09/10/2025 19:00 - 19:59,28,26,54
09/10/2025 20:00 - 20:59,26,24,50
09/10/2025 21:00 - 21:59,10,10,20
09/10/2025 22:00 - 22:59,8,8,16
09/10/2025 23:00 - 23:59,4,2,6
09/11/2025 00:00 - 00:59,2,2,4
09/11/2025 01:00 - 01:59,0,0,0
09/11/2025 02:00 - 02:59,0,0,0
09/11/2025 03:00 - 03:59,0,0,0
09/11/2025 04:00 - 04:59,6,2,8
09/11/2025 05:00 - 05:59,18,4,22
09/11/2025 06:00 - 06:59,16,6,22
09/11/2025 07:00 - 07:59,28,34,62
09/11/2025 08:00 - 08:59,20,28,48
09/11/2025 09:00 - 09:59,37,23,60
09/11/2025 10:00 - 10:59,20,16,36
09/11/2025 11:00 - 11:59,21,14,35
09/11/2025 12:00 - 12:59,41,27,68
09/11/2025 13:00 - 13:59,28,32,60
09/11/2025 14:00 - 14:59,18,41,59
09/11/2025 15:00 - 15:59,59,44,103
09/11/2025 16:00 - 16:59,38,48,86
09/11/2025 17:00 - 17:59,48,70,118
09/11/2025 18:00 - 18:59,44,58,102
09/11/2025 19:00 - 19:59,68,48,116
09/11/2025 20:00 - 20:59,12,12,24
09/11/2025 21:00 - 21:59,10,20,30
09/11/2025 22:00 - 22:59,10,12,22
09/11/2025 23:00 - 23:59,6,4,10
09/12/2025 00:00 - 00:59,0,0,0
09/12/2025 01:00 - 01:59,0,6,6
09/12/2025 02:00 - 02:59,0,2,2
09/12/2025 03:00 - 03:59,0,0,0
09/12/2025 04:00 - 04:59,6,2,8
09/12/2025 05:00 - 05:59,4,0,4
09/12/2025 06:00 - 06:59,20,0,20
09/12/2025 07:00 - 07:59,31,31,62
