"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4651 Adair Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/09/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 14:00 - 14:59,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,19.0,23.9
09/09/2025 15:00 - 15:59,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,12,19.7,24.1
09/09/2025 16:00 - 16:59,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,12,19.7,24.1
09/09/2025 17:00 - 17:59,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,8,21.5,24.8
09/09/2025 18:00 - 18:59,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13.2,17.5
09/09/2025 19:00 - 19:59,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,13,19.9,24.3
09/09/2025 20:00 - 20:59,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,21.0,23.3
09/09/2025 21:00 - 21:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
09/09/2025 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 06:00 - 06:59,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,16.2,19.8
09/10/2025 07:00 - 07:59,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,21.4,23.9
09/10/2025 08:00 - 08:59,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,13,22.8,24.9
09/10/2025 09:00 - 09:59,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,11,20.7,23.9
09/10/2025 10:00 - 10:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
09/10/2025 11:00 - 11:59,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,12,20.7,24.4
09/10/2025 12:00 - 12:59,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,20.8,23.7
09/10/2025 13:00 - 13:59,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,18.7,22.5
09/10/2025 14:00 - 14:59,1,4,8,2,0,0,0,0,0,0,0,0,0,0,0,15,21.9,25.5
09/10/2025 15:00 - 15:59,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,13,20.5,24.3
09/10/2025 16:00 - 16:59,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,21.8,24.3
09/10/2025 17:00 - 17:59,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,12,20.0,24.4
