"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4651 Adair Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/09/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 14:00 - 14:59,4,4,13,1,0,0,0,0,0,0,0,0,0,0,0,22,20.4,24.9
09/09/2025 15:00 - 15:59,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,25,20.8,24.6
09/09/2025 16:00 - 16:59,2,12,20,0,0,0,0,0,0,0,0,0,0,0,0,34,21.0,24.6
09/09/2025 17:00 - 17:59,0,9,11,3,0,0,0,0,0,0,0,0,0,0,0,23,22.1,25.6
09/09/2025 18:00 - 18:59,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,14,17.7,23.8
09/09/2025 19:00 - 19:59,2,5,11,1,0,0,0,0,0,0,0,0,0,0,0,19,21.0,24.9
09/09/2025 20:00 - 20:59,1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,12,21.4,25.1
09/09/2025 21:00 - 21:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
09/09/2025 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/09/2025 23:00 - 23:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 01:00 - 01:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
09/10/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/10/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/10/2025 05:00 - 05:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
09/10/2025 06:00 - 06:59,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,18.3,23.2
09/10/2025 07:00 - 07:59,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,12,19.4,23.1
09/10/2025 08:00 - 08:59,1,3,12,2,0,0,0,0,0,0,0,0,0,0,0,18,22.4,25.5
09/10/2025 09:00 - 09:59,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,18,21.8,25.3
09/10/2025 10:00 - 10:59,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,14,18.9,23.8
09/10/2025 11:00 - 11:59,1,9,12,1,0,0,0,0,0,0,0,0,0,0,0,23,21.1,24.8
09/10/2025 12:00 - 12:59,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,13,21.5,24.8
09/10/2025 13:00 - 13:59,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,17,20.4,24.1
09/10/2025 14:00 - 14:59,1,7,13,2,0,0,0,0,0,0,0,0,0,0,0,23,21.8,25.3
09/10/2025 15:00 - 15:59,1,8,20,1,0,0,0,0,0,0,0,0,0,0,0,30,21.9,25.0
09/10/2025 16:00 - 16:59,3,8,19,1,0,0,0,0,0,0,0,0,0,0,0,31,21.1,24.9
09/10/2025 17:00 - 17:59,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,32,19.5,24.3
09/10/2025 18:00 - 18:59,0,9,13,1,0,0,0,0,0,0,0,0,0,0,0,23,21.7,24.9
09/10/2025 19:00 - 19:59,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,20,20.2,24.3
09/10/2025 20:00 - 20:59,1,10,6,1,0,0,0,0,0,0,0,0,0,0,0,18,20.2,24.2
09/10/2025 21:00 - 21:59,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,21.3,24.1
09/10/2025 22:00 - 22:59,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,19.6,23.9
09/10/2025 23:00 - 23:59,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,19.5,20.5
09/11/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/11/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/11/2025 05:00 - 05:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
09/11/2025 06:00 - 06:59,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,20.8,23.7
09/11/2025 07:00 - 07:59,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,14,21.0,24.9
09/11/2025 08:00 - 08:59,0,8,8,3,0,0,0,0,0,0,0,0,0,0,0,19,22.2,25.4
09/11/2025 09:00 - 09:59,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,23,22.0,24.9
09/11/2025 10:00 - 10:59,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,18,20.1,24.4
09/11/2025 11:00 - 11:59,3,2,10,1,0,0,0,0,0,0,0,0,0,0,0,16,20.7,25.0
09/11/2025 12:00 - 12:59,0,8,14,4,0,0,0,0,0,0,0,0,0,0,0,26,22.7,25.5
09/11/2025 13:00 - 13:59,1,7,14,1,0,0,0,0,0,0,0,0,0,0,0,23,21.6,24.9
09/11/2025 14:00 - 14:59,3,4,9,1,0,0,0,0,0,0,0,0,0,0,0,17,20.2,24.9
09/11/2025 15:00 - 15:59,2,10,11,3,0,0,0,0,0,0,0,0,0,0,0,26,21.1,25.4
09/11/2025 16:00 - 16:59,4,6,20,1,0,0,0,0,0,0,0,0,0,0,0,31,21.0,25.0
09/11/2025 17:00 - 17:59,2,11,17,2,0,0,0,0,0,0,0,0,0,0,0,32,21.3,25.0
09/11/2025 18:00 - 18:59,2,8,14,1,0,0,0,0,0,0,0,0,0,0,0,25,21.0,24.8
09/11/2025 19:00 - 19:59,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,15,20.6,24.3
09/11/2025 20:00 - 20:59,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,14,20.1,24.7
09/11/2025 21:00 - 21:59,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,16.0,22.5
09/11/2025 22:00 - 22:59,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,17.5,22.5
09/11/2025 23:00 - 23:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
09/12/2025 00:00 - 00:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/12/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/12/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/12/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/12/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/12/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/12/2025 06:00 - 06:59,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,21.6,24.7
09/12/2025 07:00 - 07:59,2,9,13,0,0,0,0,0,0,0,0,0,0,0,0,24,20.5,24.4
09/12/2025 08:00 - 08:59,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,13,18.3,24.2
09/12/2025 09:00 - 09:59,0,6,16,2,0,0,0,0,0,0,0,0,0,0,0,24,22.7,25.3
09/12/2025 10:00 - 10:59,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,18,20.6,25.1
09/12/2025 11:00 - 11:59,1,8,22,2,0,0,0,0,0,0,0,0,0,0,0,33,22.2,25.2
09/12/2025 12:00 - 12:59,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,17,22.3,24.8
09/12/2025 13:00 - 13:59,1,11,13,2,0,0,0,0,0,0,0,0,0,0,0,27,21.3,25.0
09/12/2025 14:00 - 14:59,2,13,16,4,0,0,0,0,0,0,0,0,0,0,0,35,21.5,25.5
09/12/2025 15:00 - 15:59,3,9,20,1,0,0,0,0,0,0,0,0,0,0,0,33,21.1,24.9
09/12/2025 16:00 - 16:59,0,8,14,2,0,0,0,0,0,0,0,0,0,0,0,24,22.3,25.3
09/12/2025 17:00 - 17:59,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,23,22.0,24.9
09/12/2025 18:00 - 18:59,1,6,18,2,0,0,0,0,0,0,0,0,0,0,0,27,22.3,25.3
09/12/2025 19:00 - 19:59,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,9,18.0,23.7
09/12/2025 20:00 - 20:59,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,9,23.3,25.4
09/12/2025 21:00 - 21:59,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,16.4,22.1
09/12/2025 22:00 - 22:59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.0,17.0
09/12/2025 23:00 - 23:59,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,7,21.4,25.1
09/13/2025 00:00 - 00:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
09/13/2025 01:00 - 01:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
09/13/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/13/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/13/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/13/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/13/2025 06:00 - 06:59,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,21.4,23.9
09/13/2025 07:00 - 07:59,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,17.3,22.9
