"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4651 Adair Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/09/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
09/09/2025 13:00 - 13:59,0,0,0
09/09/2025 14:00 - 14:59,28,16,44
09/09/2025 15:00 - 15:59,26,25,51
09/09/2025 16:00 - 16:59,44,24,68
09/09/2025 17:00 - 17:59,31,16,47
09/09/2025 18:00 - 18:59,16,12,28
09/09/2025 19:00 - 19:59,12,26,38
09/09/2025 20:00 - 20:59,16,8,24
09/09/2025 21:00 - 21:59,4,4,8
09/09/2025 22:00 - 22:59,0,0,0
09/09/2025 23:00 - 23:59,2,0,2
09/10/2025 00:00 - 00:59,0,0,0
09/10/2025 01:00 - 01:59,2,2,4
09/10/2025 02:00 - 02:59,0,0,0
09/10/2025 03:00 - 03:59,2,0,2
09/10/2025 04:00 - 04:59,0,0,0
09/10/2025 05:00 - 05:59,2,2,4
09/10/2025 06:00 - 06:59,6,10,16
09/10/2025 07:00 - 07:59,14,10,24
09/10/2025 08:00 - 08:59,10,26,36
09/10/2025 09:00 - 09:59,14,24,38
09/10/2025 10:00 - 10:59,24,4,28
09/10/2025 11:00 - 11:59,22,26,48
09/10/2025 12:00 - 12:59,14,13,27
09/10/2025 13:00 - 13:59,22,15,37
09/10/2025 14:00 - 14:59,16,30,46
09/10/2025 15:00 - 15:59,34,26,60
09/10/2025 16:00 - 16:59,50,12,62
09/10/2025 17:00 - 17:59,41,24,65
09/10/2025 18:00 - 18:59,18,28,46
09/10/2025 19:00 - 19:59,24,16,40
09/10/2025 20:00 - 20:59,24,12,36
09/10/2025 21:00 - 21:59,4,10,14
09/10/2025 22:00 - 22:59,4,6,10
09/10/2025 23:00 - 23:59,4,4,8
09/11/2025 00:00 - 00:59,0,0,0
09/11/2025 01:00 - 01:59,0,0,0
09/11/2025 02:00 - 02:59,0,0,0
09/11/2025 03:00 - 03:59,2,0,2
09/11/2025 04:00 - 04:59,0,0,0
09/11/2025 05:00 - 05:59,2,2,4
09/11/2025 06:00 - 06:59,6,6,12
09/11/2025 07:00 - 07:59,10,18,28
09/11/2025 08:00 - 08:59,10,28,38
09/11/2025 09:00 - 09:59,18,28,46
09/11/2025 10:00 - 10:59,20,18,38
09/11/2025 11:00 - 11:59,23,12,35
09/11/2025 12:00 - 12:59,32,22,54
09/11/2025 13:00 - 13:59,28,18,46
09/11/2025 14:00 - 14:59,16,18,34
09/11/2025 15:00 - 15:59,14,38,52
09/11/2025 16:00 - 16:59,40,22,62
09/11/2025 17:00 - 17:59,40,24,64
09/11/2025 18:00 - 18:59,24,26,50
09/11/2025 19:00 - 19:59,12,18,30
09/11/2025 20:00 - 20:59,10,18,28
09/11/2025 21:00 - 21:59,6,6,12
09/11/2025 22:00 - 22:59,10,2,12
09/11/2025 23:00 - 23:59,2,4,6
09/12/2025 00:00 - 00:59,2,0,2
09/12/2025 01:00 - 01:59,0,0,0
09/12/2025 02:00 - 02:59,0,0,0
09/12/2025 03:00 - 03:59,2,0,2
09/12/2025 04:00 - 04:59,2,0,2
09/12/2025 05:00 - 05:59,0,2,2
09/12/2025 06:00 - 06:59,8,6,14
09/12/2025 07:00 - 07:59,22,26,48
09/12/2025 08:00 - 08:59,12,14,26
09/12/2025 09:00 - 09:59,22,26,48
09/12/2025 10:00 - 10:59,24,12,36
09/12/2025 11:00 - 11:59,32,34,66
09/12/2025 12:00 - 12:59,20,14,34
09/12/2025 13:00 - 13:59,26,28,54
09/12/2025 14:00 - 14:59,42,32,74
09/12/2025 15:00 - 15:59,32,34,66
09/12/2025 16:00 - 16:59,32,16,48
09/12/2025 17:00 - 17:59,18,28,46
09/12/2025 18:00 - 18:59,18,36,54
09/12/2025 19:00 - 19:59,4,14,18
09/12/2025 20:00 - 20:59,10,8,18
09/12/2025 21:00 - 21:59,6,8,14
09/12/2025 22:00 - 22:59,2,2,4
09/12/2025 23:00 - 23:59,10,4,14
09/13/2025 00:00 - 00:59,0,4,4
09/13/2025 01:00 - 01:59,2,6,8
09/13/2025 02:00 - 02:59,2,0,2
09/13/2025 03:00 - 03:59,0,0,0
09/13/2025 04:00 - 04:59,2,0,2
09/13/2025 05:00 - 05:59,0,2,2
09/13/2025 06:00 - 06:59,2,8,10
09/13/2025 07:00 - 07:59,12,6,18
09/13/2025 08:00 - 08:59,20,20,40
09/13/2025 09:00 - 09:59,30,24,54
09/13/2025 10:00 - 10:59,24,24,48
09/13/2025 11:00 - 11:59,44,22,66
09/13/2025 12:00 - 12:59,24,18,42
09/13/2025 13:00 - 13:59,27,34,61
09/13/2025 14:00 - 14:59,20,8,28
09/13/2025 15:00 - 15:59,32,20,52
09/13/2025 16:00 - 16:59,22,20,42
09/13/2025 17:00 - 17:59,20,28,48
09/13/2025 18:00 - 18:59,16,12,28
09/13/2025 19:00 - 19:59,8,6,14
09/13/2025 20:00 - 20:59,16,8,24
09/13/2025 21:00 - 21:59,10,16,26
09/13/2025 22:00 - 22:59,4,8,12
09/13/2025 23:00 - 23:59,8,4,12
09/14/2025 00:00 - 00:59,0,2,2
09/14/2025 01:00 - 01:59,4,2,6
09/14/2025 02:00 - 02:59,2,2,4
09/14/2025 03:00 - 03:59,0,0,0
09/14/2025 04:00 - 04:59,2,4,6
09/14/2025 05:00 - 05:59,0,2,2
09/14/2025 06:00 - 06:59,0,4,4
09/14/2025 07:00 - 07:59,10,8,18
09/14/2025 08:00 - 08:59,16,8,24
09/14/2025 09:00 - 09:59,18,25,43
09/14/2025 10:00 - 10:59,10,12,22
09/14/2025 11:00 - 11:59,17,14,31
09/14/2025 12:00 - 12:59,24,32,56
09/14/2025 13:00 - 13:59,16,32,48
09/14/2025 14:00 - 14:59,18,16,34
09/14/2025 15:00 - 15:59,20,16,36
09/14/2025 16:00 - 16:59,24,22,46
09/14/2025 17:00 - 17:59,18,18,36
09/14/2025 18:00 - 18:59,18,11,29
09/14/2025 19:00 - 19:59,12,17,29
09/14/2025 20:00 - 20:59,4,8,12
09/14/2025 21:00 - 21:59,14,4,18
09/14/2025 22:00 - 22:59,4,0,4
09/14/2025 23:00 - 23:59,4,0,4
09/15/2025 00:00 - 00:59,0,0,0
09/15/2025 01:00 - 01:59,0,0,0
09/15/2025 02:00 - 02:59,0,0,0
09/15/2025 03:00 - 03:59,2,0,2
09/15/2025 04:00 - 04:59,4,2,6
09/15/2025 05:00 - 05:59,2,2,4
09/15/2025 06:00 - 06:59,4,18,22
09/15/2025 07:00 - 07:59,21,24,45
09/15/2025 08:00 - 08:59,16,26,42
09/15/2025 09:00 - 09:59,22,19,41
09/15/2025 10:00 - 10:59,20,27,47
09/15/2025 11:00 - 11:59,18,17,35
09/15/2025 12:00 - 12:59,22,16,38
09/15/2025 13:00 - 13:59,28,14,42
09/15/2025 14:00 - 14:59,40,21,61
09/15/2025 15:00 - 15:59,14,33,47
09/15/2025 16:00 - 16:59,34,12,46
09/15/2025 17:00 - 17:59,38,38,76
09/15/2025 18:00 - 18:59,14,22,36
09/15/2025 19:00 - 19:59,32,11,43
09/15/2025 20:00 - 20:59,9,12,21
09/15/2025 21:00 - 21:59,8,18,26
09/15/2025 22:00 - 22:59,8,6,14
09/15/2025 23:00 - 23:59,2,2,4
09/16/2025 00:00 - 00:59,0,0,0
09/16/2025 01:00 - 01:59,0,0,0
09/16/2025 02:00 - 02:59,2,0,2
09/16/2025 03:00 - 03:59,2,0,2
09/16/2025 04:00 - 04:59,4,2,6
09/16/2025 05:00 - 05:59,0,2,2
09/16/2025 06:00 - 06:59,2,6,8
09/16/2025 07:00 - 07:59,12,20,32
09/16/2025 08:00 - 08:59,8,22,30
09/16/2025 09:00 - 09:59,26,20,46
09/16/2025 10:00 - 10:59,18,6,24
09/16/2025 11:00 - 11:59,12,16,28
09/16/2025 12:00 - 12:59,22,30,52
09/16/2025 13:00 - 13:59,18,16,34
