"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4701 Louisiana Ave N"
"Comments:","at 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/8/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/08/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/08/2025 14:00 - 14:59,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,23.3,25.5
07/08/2025 15:00 - 15:59,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,8,19.8,21.8
07/08/2025 16:00 - 16:59,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,10,21.9,24.6
07/08/2025 17:00 - 17:59,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,13,19.9,24.9
07/08/2025 18:00 - 18:59,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,20.4,22.9
07/08/2025 19:00 - 19:59,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.3,19.2
07/08/2025 20:00 - 20:59,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,14.7,21.3
07/08/2025 21:00 - 21:59,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,17.8,19.0
07/08/2025 22:00 - 22:59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.3,19.4
07/08/2025 23:00 - 23:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
07/09/2025 00:00 - 00:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/09/2025 06:00 - 06:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
07/09/2025 07:00 - 07:59,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,15,18.5,23.3
07/09/2025 08:00 - 08:59,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,17.5,22.5
07/09/2025 09:00 - 09:59,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,21.0,23.3
07/09/2025 10:00 - 10:59,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21.5,24.3
07/09/2025 11:00 - 11:59,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,10,19.9,24.3
07/09/2025 12:00 - 12:59,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,19.9,23.9
07/09/2025 13:00 - 13:59,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,8,20.3,23.2
07/09/2025 14:00 - 14:59,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,20.2,22.5
07/09/2025 15:00 - 15:59,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,7,21.3,24.6
07/09/2025 16:00 - 16:59,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,22.0,24.2
07/09/2025 17:00 - 17:59,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,11,22.1,24.7
07/09/2025 18:00 - 18:59,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,21.0,23.3
07/09/2025 19:00 - 19:59,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,7,19.3,23.3
07/09/2025 20:00 - 20:59,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,20.2,22.5
07/09/2025 21:00 - 21:59,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16.8,19.4
07/09/2025 22:00 - 22:59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.3,19.4
07/09/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/10/2025 01:00 - 01:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
07/10/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
