"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4701 Louisiana Ave N"
"Comments:","at 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/8/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/08/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/08/2025 14:00 - 14:59,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,11,19.4,24.9
07/08/2025 15:00 - 15:59,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,16,20.1,23.9
07/08/2025 16:00 - 16:59,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,18,20.5,24.2
07/08/2025 17:00 - 17:59,5,12,8,3,0,0,0,0,0,0,0,0,0,0,0,28,19.5,24.9
07/08/2025 18:00 - 18:59,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,14,19.6,23.4
07/08/2025 19:00 - 19:59,1,8,2,2,0,0,0,0,0,0,0,0,0,0,0,13,20.2,24.9
07/08/2025 20:00 - 20:59,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,16.8,23.1
07/08/2025 21:00 - 21:59,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10,16.5,20.2
07/08/2025 22:00 - 22:59,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,19.4,19.8
07/08/2025 23:00 - 23:59,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,18.7,22.5
07/09/2025 00:00 - 00:59,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,28.0,31.3
07/09/2025 01:00 - 01:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
07/09/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/09/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 04:00 - 04:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/09/2025 05:00 - 05:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/09/2025 06:00 - 06:59,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,20.4,22.9
07/09/2025 07:00 - 07:59,4,11,8,1,0,0,0,0,0,0,0,0,0,0,0,24,19.2,24.1
07/09/2025 08:00 - 08:59,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,16,19.1,23.9
07/09/2025 09:00 - 09:59,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,20.2,22.5
07/09/2025 10:00 - 10:59,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,16,20.3,24.4
07/09/2025 11:00 - 11:59,2,5,13,0,0,0,0,0,0,0,0,0,0,0,0,20,20.9,24.7
07/09/2025 12:00 - 12:59,2,6,13,0,0,0,0,0,0,0,0,0,0,0,0,21,20.8,24.6
07/09/2025 13:00 - 13:59,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,16,21.6,24.5
07/09/2025 14:00 - 14:59,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,17,19.1,23.8
07/09/2025 15:00 - 15:59,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,16,20.1,25.3
07/09/2025 16:00 - 16:59,1,5,10,2,0,0,0,0,0,0,0,0,0,0,0,18,21.9,25.4
07/09/2025 17:00 - 17:59,1,6,12,0,0,0,0,0,0,0,0,0,0,0,0,19,21.2,24.6
07/09/2025 18:00 - 18:59,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,20,20.5,24.3
07/09/2025 19:00 - 19:59,1,8,6,1,0,0,0,0,0,0,0,0,0,0,0,16,20.4,24.4
07/09/2025 20:00 - 20:59,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,13,19.7,23.5
07/09/2025 21:00 - 21:59,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,10,20.0,24.3
07/09/2025 22:00 - 22:59,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,7,20.4,23.3
07/09/2025 23:00 - 23:59,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.0,21.3
07/10/2025 00:00 - 00:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/10/2025 01:00 - 01:59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.0,16.3
07/10/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
07/10/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/10/2025 04:00 - 04:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/10/2025 05:00 - 05:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/10/2025 06:00 - 06:59,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,9,22.2,25.1
07/10/2025 07:00 - 07:59,1,11,10,2,0,0,0,0,0,0,0,0,0,0,0,24,21.0,25.0
07/10/2025 08:00 - 08:59,1,5,9,1,0,0,0,0,0,0,0,0,0,0,0,16,21.3,24.9
07/10/2025 09:00 - 09:59,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,16,20.1,23.9
07/10/2025 10:00 - 10:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
07/10/2025 11:00 - 11:59,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,11,16.6,20.2
07/10/2025 12:00 - 12:59,1,3,7,2,0,0,0,0,0,0,0,0,0,0,0,13,22.0,24.9
07/10/2025 13:00 - 13:59,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,13,20.8,24.0
07/10/2025 14:00 - 14:59,2,7,9,1,0,0,0,0,0,0,0,0,0,0,0,19,20.5,24.7
07/10/2025 15:00 - 15:59,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,10,21.9,24.6
07/10/2025 16:00 - 16:59,2,11,9,2,0,0,0,0,0,0,0,0,0,0,0,24,20.5,24.8
07/10/2025 17:00 - 17:59,0,5,13,1,0,0,0,0,0,0,0,0,0,0,0,19,22.4,25.1
07/10/2025 18:00 - 18:59,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,13,20.9,24.5
07/10/2025 19:00 - 19:59,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,19.0,20.5
07/10/2025 20:00 - 20:59,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,18.6,21.8
07/10/2025 21:00 - 21:59,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,21.1,24.6
07/10/2025 22:00 - 22:59,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,19.6,24.8
07/10/2025 23:00 - 23:59,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,21.3,24.1
07/11/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/11/2025 01:00 - 01:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
07/11/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/11/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/11/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/11/2025 05:00 - 05:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
07/11/2025 06:00 - 06:59,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,22.4,24.8
07/11/2025 07:00 - 07:59,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,10,21.5,24.3
07/11/2025 08:00 - 08:59,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,15,19.3,22.6
07/11/2025 09:00 - 09:59,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,10,17.9,21.0
07/11/2025 10:00 - 10:59,1,5,9,3,0,0,0,0,0,0,0,0,0,0,0,18,22.1,25.7
07/11/2025 11:00 - 11:59,0,5,10,1,0,0,0,0,0,0,0,0,0,0,0,16,22.2,25.0
07/11/2025 12:00 - 12:59,2,8,6,1,0,0,0,0,0,0,0,0,0,0,0,17,19.9,24.3
07/11/2025 13:00 - 13:59,2,8,9,1,0,0,0,0,0,0,0,0,0,0,0,20,20.4,24.6
07/11/2025 14:00 - 14:59,1,6,8,1,0,0,0,0,0,0,0,0,0,0,0,16,21.1,24.8
07/11/2025 15:00 - 15:59,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,14,19.5,23.8
07/11/2025 16:00 - 16:59,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,15,20.8,24.0
07/11/2025 17:00 - 17:59,2,14,12,0,0,0,0,0,0,0,0,0,0,0,0,28,20.1,24.0
07/11/2025 18:00 - 18:59,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,11,19.7,24.6
07/11/2025 19:00 - 19:59,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,11,20.3,23.1
07/11/2025 20:00 - 20:59,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,16,18.2,22.4
07/11/2025 21:00 - 21:59,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,10,18.5,24.0
07/11/2025 22:00 - 22:59,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,14,18.9,23.8
07/11/2025 23:00 - 23:59,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,18.3,23.2
07/12/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
