"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4701 Louisiana Ave N"
"Comments:","at 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/8/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
07/08/2025 13:00 - 13:59,0,0,0
07/08/2025 14:00 - 14:59,7,4,11
07/08/2025 15:00 - 15:59,8,8,16
07/08/2025 16:00 - 16:59,8,10,18
07/08/2025 17:00 - 17:59,15,13,28
07/08/2025 18:00 - 18:59,9,5,14
07/08/2025 19:00 - 19:59,9,4,13
07/08/2025 20:00 - 20:59,9,3,12
07/08/2025 21:00 - 21:59,4,6,10
07/08/2025 22:00 - 22:59,2,3,5
07/08/2025 23:00 - 23:59,4,2,6
07/09/2025 00:00 - 00:59,2,1,3
07/09/2025 01:00 - 01:59,1,0,1
07/09/2025 02:00 - 02:59,1,0,1
07/09/2025 03:00 - 03:59,0,0,0
07/09/2025 04:00 - 04:59,1,1,2
07/09/2025 05:00 - 05:59,1,1,2
07/09/2025 06:00 - 06:59,3,2,5
07/09/2025 07:00 - 07:59,9,15,24
07/09/2025 08:00 - 08:59,10,6,16
07/09/2025 09:00 - 09:59,2,4,6
07/09/2025 10:00 - 10:59,8,8,16
07/09/2025 11:00 - 11:59,10,10,20
07/09/2025 12:00 - 12:59,10,11,21
07/09/2025 13:00 - 13:59,8,8,16
07/09/2025 14:00 - 14:59,11,6,17
07/09/2025 15:00 - 15:59,9,7,16
07/09/2025 16:00 - 16:59,14,4,18
07/09/2025 17:00 - 17:59,8,11,19
07/09/2025 18:00 - 18:59,16,4,20
07/09/2025 19:00 - 19:59,9,7,16
07/09/2025 20:00 - 20:59,7,6,13
07/09/2025 21:00 - 21:59,5,5,10
07/09/2025 22:00 - 22:59,4,3,7
07/09/2025 23:00 - 23:59,2,1,3
07/10/2025 00:00 - 00:59,2,0,2
07/10/2025 01:00 - 01:59,2,1,3
07/10/2025 02:00 - 02:59,2,0,2
07/10/2025 03:00 - 03:59,0,0,0
07/10/2025 04:00 - 04:59,1,0,1
07/10/2025 05:00 - 05:59,1,1,2
07/10/2025 06:00 - 06:59,5,4,9
07/10/2025 07:00 - 07:59,12,12,24
07/10/2025 08:00 - 08:59,11,5,16
07/10/2025 09:00 - 09:59,8,8,16
07/10/2025 10:00 - 10:59,2,2,4
07/10/2025 11:00 - 11:59,7,4,11
07/10/2025 12:00 - 12:59,7,6,13
07/10/2025 13:00 - 13:59,8,5,13
07/10/2025 14:00 - 14:59,9,10,19
07/10/2025 15:00 - 15:59,5,5,10
07/10/2025 16:00 - 16:59,17,7,24
07/10/2025 17:00 - 17:59,12,7,19
07/10/2025 18:00 - 18:59,3,10,13
07/10/2025 19:00 - 19:59,6,2,8
07/10/2025 20:00 - 20:59,5,3,8
07/10/2025 21:00 - 21:59,3,6,9
07/10/2025 22:00 - 22:59,3,2,5
07/10/2025 23:00 - 23:59,4,3,7
07/11/2025 00:00 - 00:59,0,0,0
07/11/2025 01:00 - 01:59,2,2,4
07/11/2025 02:00 - 02:59,1,0,1
07/11/2025 03:00 - 03:59,0,0,0
07/11/2025 04:00 - 04:59,0,0,0
07/11/2025 05:00 - 05:59,1,2,3
07/11/2025 06:00 - 06:59,4,1,5
