"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4701 Louisiana Ave N"
"Comments:","at 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
07/08/2025 13:00 - 13:59,0,0,0
07/08/2025 14:00 - 14:59,17,8,25
07/08/2025 15:00 - 15:59,16,16,32
07/08/2025 16:00 - 16:59,16,20,36
07/08/2025 17:00 - 17:59,32,26,58
07/08/2025 18:00 - 18:59,18,10,28
07/08/2025 19:00 - 19:59,18,8,26
07/08/2025 20:00 - 20:59,18,6,24
07/08/2025 21:00 - 21:59,8,12,20
07/08/2025 22:00 - 22:59,4,6,10
07/08/2025 23:00 - 23:59,8,4,12
07/09/2025 00:00 - 00:59,4,2,6
07/09/2025 01:00 - 01:59,2,0,2
07/09/2025 02:00 - 02:59,2,0,2
07/09/2025 03:00 - 03:59,0,0,0
07/09/2025 04:00 - 04:59,2,2,4
07/09/2025 05:00 - 05:59,2,2,4
07/09/2025 06:00 - 06:59,6,4,10
07/09/2025 07:00 - 07:59,18,31,49
07/09/2025 08:00 - 08:59,21,13,34
07/09/2025 09:00 - 09:59,5,8,13
07/09/2025 10:00 - 10:59,17,17,34
07/09/2025 11:00 - 11:59,21,24,45
07/09/2025 12:00 - 12:59,20,23,43
07/09/2025 13:00 - 13:59,16,18,34
07/09/2025 14:00 - 14:59,28,12,40
07/09/2025 15:00 - 15:59,19,15,34
07/09/2025 16:00 - 16:59,28,8,36
07/09/2025 17:00 - 17:59,16,22,38
07/09/2025 18:00 - 18:59,33,8,41
07/09/2025 19:00 - 19:59,18,14,32
07/09/2025 20:00 - 20:59,14,12,26
07/09/2025 21:00 - 21:59,10,10,20
07/09/2025 22:00 - 22:59,8,6,14
07/09/2025 23:00 - 23:59,4,2,6
07/10/2025 00:00 - 00:59,4,0,4
07/10/2025 01:00 - 01:59,4,2,6
07/10/2025 02:00 - 02:59,4,0,4
07/10/2025 03:00 - 03:59,0,0,0
07/10/2025 04:00 - 04:59,2,0,2
07/10/2025 05:00 - 05:59,2,2,4
07/10/2025 06:00 - 06:59,10,8,18
07/10/2025 07:00 - 07:59,24,24,48
07/10/2025 08:00 - 08:59,22,10,32
