"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4701 Louisiana Ave N"
"Comments:","at 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/08/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/08/2025 14:00 - 14:59,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,17.0,23.4
07/08/2025 15:00 - 15:59,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,8,20.5,24.3
07/08/2025 16:00 - 16:59,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,18.6,21.8
07/08/2025 17:00 - 17:59,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,15,19.1,24.3
07/08/2025 18:00 - 18:59,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9,19.1,22.9
07/08/2025 19:00 - 19:59,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,9,21.8,26.4
07/08/2025 20:00 - 20:59,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,17.3,22.9
07/08/2025 21:00 - 21:59,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.5,18.3
07/08/2025 22:00 - 22:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/08/2025 23:00 - 23:59,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18.8,23.3
07/09/2025 00:00 - 00:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
07/09/2025 01:00 - 01:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
07/09/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/09/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 06:00 - 06:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
07/09/2025 07:00 - 07:59,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,9,20.2,24.6
07/09/2025 08:00 - 08:59,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,10,20.1,24.0
07/09/2025 09:00 - 09:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
07/09/2025 10:00 - 10:59,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,19.0,23.9
