"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Northbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/08/2025 13:00 - 13:59,1,8,0,0,0,0,0,0,0,0,0,0,0,9
07/08/2025 14:00 - 14:59,0,23,5,0,3,0,0,0,0,0,0,0,0,31
07/08/2025 15:00 - 15:59,1,26,6,0,1,0,0,0,0,0,0,0,0,34
07/08/2025 16:00 - 16:59,1,26,3,0,1,0,0,0,0,0,0,0,0,31
07/08/2025 17:00 - 17:59,0,33,4,0,1,0,0,0,0,0,0,0,0,38
07/08/2025 18:00 - 18:59,0,19,3,0,0,0,0,0,0,0,0,0,0,22
07/08/2025 19:00 - 19:59,0,15,2,0,2,0,0,0,0,0,0,0,0,19
07/08/2025 20:00 - 20:59,0,37,6,0,1,1,0,0,0,0,0,0,0,45
07/08/2025 21:00 - 21:59,0,21,3,0,0,0,0,0,0,0,0,0,0,24
07/08/2025 22:00 - 22:59,0,9,0,0,0,0,0,0,0,0,0,0,0,9
07/08/2025 23:00 - 23:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/09/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/09/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/09/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/09/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
07/09/2025 04:00 - 04:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
07/09/2025 05:00 - 05:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
07/09/2025 06:00 - 06:59,0,6,2,0,1,0,0,0,0,0,0,0,0,9
07/09/2025 07:00 - 07:59,0,22,2,0,0,0,0,0,0,0,0,0,0,24
07/09/2025 08:00 - 08:59,0,27,5,0,2,0,0,0,0,0,0,0,0,34
07/09/2025 09:00 - 09:59,0,23,3,0,2,0,0,0,0,0,0,0,0,28
07/09/2025 10:00 - 10:59,0,9,3,0,0,0,0,0,0,0,0,0,0,12
07/09/2025 11:00 - 11:59,1,12,9,0,2,0,1,0,0,0,0,0,0,25
07/09/2025 12:00 - 12:59,0,22,7,0,3,0,0,0,0,0,0,0,0,32
07/09/2025 13:00 - 13:59,1,21,4,0,2,0,0,0,0,0,0,0,0,28
07/09/2025 14:00 - 14:59,0,28,6,0,2,1,0,0,0,0,0,0,0,37
07/09/2025 15:00 - 15:59,0,30,5,0,1,0,0,1,0,0,0,0,0,37
07/09/2025 16:00 - 16:59,0,26,3,0,1,0,0,0,0,0,0,0,0,30
07/09/2025 17:00 - 17:59,0,38,2,0,0,0,0,0,0,0,0,0,0,40
07/09/2025 18:00 - 18:59,1,28,3,0,1,0,0,0,0,0,0,0,0,33
07/09/2025 19:00 - 19:59,0,26,2,0,0,0,0,0,0,0,0,0,0,28
07/09/2025 20:00 - 20:59,0,39,5,0,1,0,0,0,0,0,0,0,0,45
07/09/2025 21:00 - 21:59,0,11,0,0,0,0,0,0,0,0,0,0,0,11
07/09/2025 22:00 - 22:59,0,7,2,0,0,0,0,0,0,0,0,0,0,9
07/09/2025 23:00 - 23:59,0,7,0,0,0,0,0,0,0,0,0,0,0,7
07/10/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/10/2025 01:00 - 01:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/10/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/10/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
07/10/2025 04:00 - 04:59,0,1,2,0,0,0,0,0,0,0,0,0,0,3
07/10/2025 05:00 - 05:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
07/10/2025 06:00 - 06:59,0,9,2,0,1,0,0,0,0,0,0,0,0,12
07/10/2025 07:00 - 07:59,0,20,3,0,1,0,0,0,0,0,0,0,0,24
07/10/2025 08:00 - 08:59,0,20,2,0,1,0,0,0,0,0,0,0,0,23
07/10/2025 09:00 - 09:59,0,15,3,0,1,0,0,0,0,0,0,0,0,19
07/10/2025 10:00 - 10:59,0,21,5,0,2,0,0,0,0,0,0,0,0,28
07/10/2025 11:00 - 11:59,0,22,3,0,4,2,0,0,0,0,0,0,0,31
07/10/2025 12:00 - 12:59,0,16,1,0,5,0,0,0,0,0,0,0,0,22
07/10/2025 13:00 - 13:59,0,24,3,0,4,0,0,0,0,0,0,0,0,31
07/10/2025 14:00 - 14:59,0,18,3,0,2,0,0,0,0,0,0,0,0,23
07/10/2025 15:00 - 15:59,0,35,4,0,1,0,0,0,0,0,0,0,0,40
07/10/2025 16:00 - 16:59,1,34,3,0,1,0,0,0,0,0,0,0,0,39
07/10/2025 17:00 - 17:59,0,30,6,0,0,0,0,0,0,0,0,0,0,36
07/10/2025 18:00 - 18:59,0,28,4,0,0,0,0,0,0,0,0,0,0,32
07/10/2025 19:00 - 19:59,0,14,1,0,0,0,0,0,0,0,0,0,0,15
07/10/2025 20:00 - 20:59,0,33,1,0,0,0,0,0,0,0,0,0,0,34
07/10/2025 21:00 - 21:59,0,11,0,0,0,0,0,0,0,0,0,0,0,11
07/10/2025 22:00 - 22:59,0,8,0,0,0,0,0,0,0,0,0,0,0,8
07/10/2025 23:00 - 23:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/11/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/11/2025 01:00 - 01:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
07/11/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/11/2025 03:00 - 03:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
07/11/2025 04:00 - 04:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/11/2025 05:00 - 05:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
07/11/2025 06:00 - 06:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
07/11/2025 07:00 - 07:59,0,16,3,0,0,0,0,0,0,0,0,0,0,19
07/11/2025 08:00 - 08:59,1,15,8,0,1,0,0,0,0,0,0,0,0,25
07/11/2025 09:00 - 09:59,1,23,4,0,3,0,0,0,0,0,0,0,0,31
07/11/2025 10:00 - 10:59,0,18,4,0,1,0,0,0,0,0,0,0,0,23
07/11/2025 11:00 - 11:59,0,15,7,0,3,0,0,0,0,0,0,0,0,25
07/11/2025 12:00 - 12:59,0,30,3,0,1,0,0,0,0,0,0,0,0,34
07/11/2025 13:00 - 13:59,0,29,5,0,1,0,0,0,0,0,0,0,0,35
07/11/2025 14:00 - 14:59,0,19,5,0,2,0,0,0,0,0,0,0,0,26
07/11/2025 15:00 - 15:59,1,21,5,0,2,1,0,0,0,0,0,0,0,30
07/11/2025 16:00 - 16:59,0,27,2,0,0,0,0,0,0,0,0,0,0,29
07/11/2025 17:00 - 17:59,0,16,4,0,0,0,0,0,0,0,0,0,0,20
07/11/2025 18:00 - 18:59,0,24,2,0,0,0,0,0,0,0,0,0,0,26
07/11/2025 19:00 - 19:59,0,7,3,0,0,0,0,0,0,0,0,0,0,10
07/11/2025 20:00 - 20:59,0,14,1,0,0,0,1,0,0,0,0,0,0,16
07/11/2025 21:00 - 21:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
07/11/2025 22:00 - 22:59,0,8,6,0,0,0,0,0,0,0,0,0,0,14
07/11/2025 23:00 - 23:59,0,5,2,0,0,0,0,0,0,0,0,0,0,7
07/12/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/12/2025 01:00 - 01:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/12/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/12/2025 03:00 - 03:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/12/2025 04:00 - 04:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/12/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/12/2025 06:00 - 06:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
07/12/2025 07:00 - 07:59,1,4,0,0,0,0,0,0,0,0,0,0,0,5
07/12/2025 08:00 - 08:59,0,12,1,0,0,0,0,0,0,0,0,0,0,13
07/12/2025 09:00 - 09:59,1,30,3,0,0,0,0,0,0,0,0,0,0,34
07/12/2025 10:00 - 10:59,1,14,2,0,1,0,0,0,0,0,0,0,0,18
07/12/2025 11:00 - 11:59,0,22,5,0,0,0,0,0,0,0,0,0,0,27
07/12/2025 12:00 - 12:59,0,15,4,0,1,0,0,0,0,0,0,0,0,20
07/12/2025 13:00 - 13:59,0,22,3,0,1,0,0,0,0,0,0,0,0,26
07/12/2025 14:00 - 14:59,0,14,5,0,1,0,0,0,0,0,0,0,0,20
07/12/2025 15:00 - 15:59,0,20,5,0,0,0,0,0,0,0,0,0,0,25
07/12/2025 16:00 - 16:59,0,23,5,0,0,0,0,0,0,0,0,0,0,28
07/12/2025 17:00 - 17:59,0,22,3,0,0,0,0,0,0,0,0,0,0,25
07/12/2025 18:00 - 18:59,0,15,4,0,0,0,0,0,0,0,0,0,0,19
07/12/2025 19:00 - 19:59,0,15,1,0,0,0,0,0,0,0,0,0,0,16
07/12/2025 20:00 - 20:59,1,2,3,0,0,0,0,0,0,0,0,0,0,6
07/12/2025 21:00 - 21:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
07/12/2025 22:00 - 22:59,0,13,2,0,0,0,0,0,0,0,0,0,0,15
07/12/2025 23:00 - 23:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/13/2025 00:00 - 00:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
07/13/2025 01:00 - 01:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
07/13/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/13/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/13/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/13/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
07/13/2025 06:00 - 06:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/13/2025 07:00 - 07:59,0,7,3,0,1,0,0,0,0,0,0,0,0,11
07/13/2025 08:00 - 08:59,1,14,0,0,1,0,0,0,0,0,0,0,0,16
07/13/2025 09:00 - 09:59,1,17,1,0,0,0,0,0,0,0,0,0,0,19
07/13/2025 10:00 - 10:59,0,20,1,0,1,0,0,0,0,0,0,0,0,22
07/13/2025 11:00 - 11:59,0,23,5,0,2,0,0,0,0,0,0,0,0,30
07/13/2025 12:00 - 12:59,0,30,3,0,1,0,0,0,0,0,0,0,0,34
07/13/2025 13:00 - 13:59,1,29,4,0,1,0,0,0,0,0,0,0,0,35
07/13/2025 14:00 - 14:59,0,32,7,0,0,0,0,0,0,0,0,0,0,39
07/13/2025 15:00 - 15:59,0,31,6,0,0,0,0,0,0,0,0,0,0,37
07/13/2025 16:00 - 16:59,0,19,3,0,0,0,0,0,0,0,0,0,0,22
07/13/2025 17:00 - 17:59,0,14,1,0,1,0,0,0,0,0,0,0,0,16
07/13/2025 18:00 - 18:59,0,12,0,0,0,0,0,0,0,0,0,0,0,12
07/13/2025 19:00 - 19:59,1,9,2,0,0,0,0,0,0,0,0,0,0,12
07/13/2025 20:00 - 20:59,0,11,3,0,0,0,0,0,0,0,0,0,0,14
07/13/2025 21:00 - 21:59,1,16,2,1,0,0,0,0,0,0,0,0,0,20
07/13/2025 22:00 - 22:59,0,9,0,0,1,0,0,0,0,0,0,0,0,10
07/13/2025 23:00 - 23:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/14/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/14/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/14/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/14/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
07/14/2025 04:00 - 04:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/14/2025 05:00 - 05:59,0,3,1,0,0,1,0,0,1,0,0,0,0,6
07/14/2025 06:00 - 06:59,0,9,0,0,0,1,0,0,0,0,0,0,0,10
07/14/2025 07:00 - 07:59,0,21,5,0,0,0,0,0,0,0,0,0,0,26
07/14/2025 08:00 - 08:59,0,20,2,0,1,1,0,0,0,0,0,0,0,24
07/14/2025 09:00 - 09:59,0,16,6,0,1,0,0,0,0,0,0,0,0,23
07/14/2025 10:00 - 10:59,0,19,3,0,1,0,0,0,0,0,0,0,0,23
07/14/2025 11:00 - 11:59,0,19,4,0,1,0,0,0,0,0,0,0,0,24
07/14/2025 12:00 - 12:59,1,19,1,0,2,0,0,0,0,0,0,0,0,23
07/14/2025 13:00 - 13:59,0,20,2,1,3,0,0,0,0,0,0,0,0,26
07/14/2025 14:00 - 14:59,0,25,6,0,2,0,0,0,0,0,0,0,0,33
07/14/2025 15:00 - 15:59,0,21,4,0,0,0,0,0,0,0,0,0,0,25
07/14/2025 16:00 - 16:59,1,39,6,0,0,0,0,1,0,0,0,0,0,47
07/14/2025 17:00 - 17:59,0,27,6,0,1,0,0,0,0,0,0,0,0,34
07/14/2025 18:00 - 18:59,0,21,5,0,0,0,0,0,0,0,0,0,0,26
07/14/2025 19:00 - 19:59,0,23,3,0,1,0,0,0,1,0,0,0,0,28
07/14/2025 20:00 - 20:59,0,21,1,0,0,0,0,0,0,0,0,0,0,22
07/14/2025 21:00 - 21:59,0,13,0,0,0,0,0,0,0,0,0,0,0,13
07/14/2025 22:00 - 22:59,0,9,0,0,0,0,0,0,0,0,0,0,0,9
07/14/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/15/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/15/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/15/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/15/2025 03:00 - 03:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/15/2025 04:00 - 04:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
07/15/2025 05:00 - 05:59,0,5,1,0,0,0,0,0,0,0,0,0,0,6
07/15/2025 06:00 - 06:59,0,12,0,0,0,0,0,0,0,0,0,0,0,12
07/15/2025 07:00 - 07:59,0,23,3,0,1,0,0,0,0,0,0,0,0,27
07/15/2025 08:00 - 08:59,0,29,3,0,0,0,0,0,0,0,0,0,0,32
07/15/2025 09:00 - 09:59,0,19,2,0,1,0,0,0,0,0,0,0,0,22
07/15/2025 10:00 - 10:59,0,19,3,0,0,0,0,0,0,0,0,0,0,22
07/15/2025 11:00 - 11:59,1,16,7,0,4,0,0,0,0,0,0,0,0,28
07/15/2025 12:00 - 12:59,0,11,1,0,2,0,0,1,0,0,0,0,0,15
