"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/08/2025 13:00 - 13:59,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,9,20.9,24.5
07/08/2025 14:00 - 14:59,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,31,21.5,24.6
07/08/2025 15:00 - 15:59,1,3,24,6,0,0,0,0,0,0,0,0,0,0,0,34,23.5,26.3
07/08/2025 16:00 - 16:59,0,9,19,3,0,0,0,0,0,0,0,0,0,0,0,31,22.5,25.4
07/08/2025 17:00 - 17:59,0,1,33,4,0,0,0,0,0,0,0,0,0,0,0,38,23.9,25.7
07/08/2025 18:00 - 18:59,1,5,13,3,0,0,0,0,0,0,0,0,0,0,0,22,22.4,25.7
07/08/2025 19:00 - 19:59,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,19,21.4,24.7
07/08/2025 20:00 - 20:59,2,21,19,3,0,0,0,0,0,0,0,0,0,0,0,45,20.9,24.9
07/08/2025 21:00 - 21:59,1,8,14,1,0,0,0,0,0,0,0,0,0,0,0,24,21.5,24.9
07/08/2025 22:00 - 22:59,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,9,22.2,25.1
07/08/2025 23:00 - 23:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
07/09/2025 00:00 - 00:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/09/2025 01:00 - 01:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/09/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/09/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 04:00 - 04:59,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,20.0,24.2
07/09/2025 05:00 - 05:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
07/09/2025 06:00 - 06:59,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,9,24.0,27.9
07/09/2025 07:00 - 07:59,1,5,17,1,0,0,0,0,0,0,0,0,0,0,0,24,22.0,25.1
07/09/2025 08:00 - 08:59,0,2,26,6,0,0,0,0,0,0,0,0,0,0,0,34,24.1,26.3
07/09/2025 09:00 - 09:59,1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,28,22.1,25.1
07/09/2025 10:00 - 10:59,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,12,23.0,25.3
07/09/2025 11:00 - 11:59,1,8,16,0,0,0,0,0,0,0,0,0,0,0,0,25,21.4,24.7
07/09/2025 12:00 - 12:59,2,7,22,1,0,0,0,0,0,0,0,0,0,0,0,32,21.7,25.0
07/09/2025 13:00 - 13:59,1,6,19,2,0,0,0,0,0,0,0,0,0,0,0,28,22.3,25.3
07/09/2025 14:00 - 14:59,6,11,19,1,0,0,0,0,0,0,0,0,0,0,0,37,20.0,24.7
07/09/2025 15:00 - 15:59,2,12,21,2,0,0,0,0,0,0,0,0,0,0,0,37,21.4,25.0
07/09/2025 16:00 - 16:59,0,5,21,4,0,0,0,0,0,0,0,0,0,0,0,30,23.3,25.8
07/09/2025 17:00 - 17:59,4,12,22,1,1,0,0,0,0,0,0,0,0,0,0,40,21.0,25.0
07/09/2025 18:00 - 18:59,1,15,17,0,0,0,0,0,0,0,0,0,0,0,0,33,20.8,24.4
07/09/2025 19:00 - 19:59,1,7,19,1,0,0,0,0,0,0,0,0,0,0,0,28,21.9,25.0
07/09/2025 20:00 - 20:59,6,17,22,0,0,0,0,0,0,0,0,0,0,0,0,45,19.9,24.4
07/09/2025 21:00 - 21:59,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,11,22.5,25.2
07/09/2025 22:00 - 22:59,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,9,19.1,26.4
07/09/2025 23:00 - 23:59,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,7,20.1,24.1
07/10/2025 00:00 - 00:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/10/2025 01:00 - 01:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
07/10/2025 02:00 - 02:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
07/10/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/10/2025 04:00 - 04:59,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.0,21.3
07/10/2025 05:00 - 05:59,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,20.4,22.9
07/10/2025 06:00 - 06:59,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,12,22.2,25.1
07/10/2025 07:00 - 07:59,0,4,19,1,0,0,0,0,0,0,0,0,0,0,0,24,22.8,25.2
07/10/2025 08:00 - 08:59,1,8,13,1,0,0,0,0,0,0,0,0,0,0,0,23,21.3,24.9
07/10/2025 09:00 - 09:59,0,6,10,3,0,0,0,0,0,0,0,0,0,0,0,19,22.7,25.4
07/10/2025 10:00 - 10:59,1,5,20,2,0,0,0,0,0,0,0,0,0,0,0,28,22.5,25.3
07/10/2025 11:00 - 11:59,1,8,21,1,0,0,0,0,0,0,0,0,0,0,0,31,21.9,25.0
07/10/2025 12:00 - 12:59,1,9,11,1,0,0,0,0,0,0,0,0,0,0,0,22,21.0,24.7
07/10/2025 13:00 - 13:59,1,8,21,1,0,0,0,0,0,0,0,0,0,0,0,31,21.9,25.0
07/10/2025 14:00 - 14:59,0,10,11,2,0,0,0,0,0,0,0,0,0,0,0,23,21.7,25.1
07/10/2025 15:00 - 15:59,0,4,30,6,0,0,0,0,0,0,0,0,0,0,0,40,23.8,25.9
07/10/2025 16:00 - 16:59,0,3,32,3,1,0,0,0,0,0,0,0,0,0,0,39,23.7,25.6
07/10/2025 17:00 - 17:59,3,5,26,2,0,0,0,0,0,0,0,0,0,0,0,36,22.0,25.3
07/10/2025 18:00 - 18:59,2,11,16,2,1,0,0,0,0,0,0,0,0,0,0,32,21.6,25.3
07/10/2025 19:00 - 19:59,0,4,9,2,0,0,0,0,0,0,0,0,0,0,0,15,22.8,25.6
07/10/2025 20:00 - 20:59,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,34,19.7,24.1
07/10/2025 21:00 - 21:59,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,11,21.2,24.2
07/10/2025 22:00 - 22:59,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,8,20.4,24.8
