"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/08/2025 13:00 - 13:59,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,10,20.6,24.3
07/08/2025 14:00 - 14:59,3,4,14,1,0,0,0,0,0,0,0,0,0,0,0,22,21.0,25.0
07/08/2025 15:00 - 15:59,1,7,10,3,0,0,0,0,0,0,0,0,0,0,0,21,21.9,25.7
07/08/2025 16:00 - 16:59,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,23,22.2,24.8
07/08/2025 17:00 - 17:59,1,11,24,3,0,0,0,0,0,0,0,0,0,0,0,39,22.1,25.3
07/08/2025 18:00 - 18:59,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,34,21.7,24.7
07/08/2025 19:00 - 19:59,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,16,23.1,25.0
07/08/2025 20:00 - 20:59,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,20,21.2,25.3
07/08/2025 21:00 - 21:59,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,10,18.6,21.0
07/08/2025 22:00 - 22:59,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,7,22.0,24.5
07/08/2025 23:00 - 23:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/09/2025 00:00 - 00:59,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,7,20.0,24.6
07/09/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/09/2025 04:00 - 04:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
07/09/2025 05:00 - 05:59,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,23.4,24.9
07/09/2025 06:00 - 06:59,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,24.2,24.0
07/09/2025 07:00 - 07:59,0,6,12,1,0,0,0,0,0,0,0,0,0,0,0,19,22.2,25.0
07/09/2025 08:00 - 08:59,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,13,21.8,25.0
07/09/2025 09:00 - 09:59,1,6,11,3,0,0,0,0,0,0,0,0,0,0,0,21,22.1,25.7
07/09/2025 10:00 - 10:59,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,19.1,20.5
07/09/2025 11:00 - 11:59,2,10,11,2,0,0,0,0,0,0,0,0,0,0,0,25,20.8,25.0
07/09/2025 12:00 - 12:59,2,6,13,1,0,0,0,0,0,0,0,0,0,0,0,22,21.1,24.9
07/09/2025 13:00 - 13:59,2,9,16,1,0,0,0,0,0,0,0,0,0,0,0,28,21.1,24.8
07/09/2025 14:00 - 14:59,1,13,24,4,0,0,0,0,0,0,0,0,0,0,0,42,22.1,25.4
07/09/2025 15:00 - 15:59,1,16,16,3,0,0,0,0,0,0,0,0,0,0,0,36,21.3,25.1
07/09/2025 16:00 - 16:59,2,4,25,2,0,0,0,0,0,0,0,0,0,0,0,33,22.4,25.3
07/09/2025 17:00 - 17:59,2,20,17,2,0,0,0,0,0,0,0,0,0,0,0,41,20.7,24.6
07/09/2025 18:00 - 18:59,1,14,21,1,1,0,0,0,0,0,0,0,0,0,0,38,21.7,25.0
07/09/2025 19:00 - 19:59,1,8,14,1,0,0,0,0,0,0,0,0,0,0,0,24,21.5,24.9
07/09/2025 20:00 - 20:59,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,13,20.7,24.9
07/09/2025 21:00 - 21:59,3,8,10,1,0,0,0,0,0,0,0,0,0,0,0,22,20.1,24.6
07/09/2025 22:00 - 22:59,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,6,22.5,24.0
07/09/2025 23:00 - 23:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
07/10/2025 00:00 - 00:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/10/2025 01:00 - 01:59,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,21.8,24.3
07/10/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/10/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/10/2025 04:00 - 04:59,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.5,24.6
07/10/2025 05:00 - 05:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
07/10/2025 06:00 - 06:59,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,11,23.5,25.6
07/10/2025 07:00 - 07:59,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,16,22.3,27.4
07/10/2025 08:00 - 08:59,2,7,15,1,0,0,0,0,0,0,0,0,0,0,0,25,21.2,24.9
07/10/2025 09:00 - 09:59,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,11,23.0,25.3
07/10/2025 10:00 - 10:59,2,10,8,1,0,0,0,0,0,0,0,0,0,0,0,21,20.1,24.3
07/10/2025 11:00 - 11:59,1,11,3,2,0,0,0,0,0,0,0,0,0,0,0,17,20.0,24.3
07/10/2025 12:00 - 12:59,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,26,21.2,24.6
07/10/2025 13:00 - 13:59,2,6,11,2,0,0,0,0,0,0,0,0,0,0,0,21,21.3,25.3
07/10/2025 14:00 - 14:59,2,5,12,1,0,0,0,0,0,0,0,0,0,0,0,20,21.1,25.0
07/10/2025 15:00 - 15:59,1,7,21,3,0,0,0,0,0,0,0,0,0,0,0,32,22.4,25.5
07/10/2025 16:00 - 16:59,2,7,27,2,1,0,0,0,0,0,0,0,0,0,0,39,22.4,25.4
07/10/2025 17:00 - 17:59,2,12,23,2,1,0,0,0,0,0,0,0,0,0,0,40,21.8,25.2
07/10/2025 18:00 - 18:59,1,7,14,2,0,0,0,0,0,0,0,0,0,0,0,24,21.9,25.3
