"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/08/2025 13:00 - 13:59,1,16,1,0,1,0,0,0,0,0,0,0,0,19
07/08/2025 14:00 - 14:59,0,42,7,0,4,0,0,0,0,0,0,0,0,53
07/08/2025 15:00 - 15:59,1,40,9,0,4,0,1,0,0,0,0,0,0,55
07/08/2025 16:00 - 16:59,2,46,4,0,2,0,0,0,0,0,0,0,0,54
07/08/2025 17:00 - 17:59,0,65,11,0,1,0,0,0,0,0,0,0,0,77
07/08/2025 18:00 - 18:59,0,50,5,0,1,0,0,0,0,0,0,0,0,56
07/08/2025 19:00 - 19:59,0,30,3,0,2,0,0,0,0,0,0,0,0,35
07/08/2025 20:00 - 20:59,0,54,8,0,2,1,0,0,0,0,0,0,0,65
07/08/2025 21:00 - 21:59,0,28,5,0,1,0,0,0,0,0,0,0,0,34
07/08/2025 22:00 - 22:59,0,14,2,0,0,0,0,0,0,0,0,0,0,16
07/08/2025 23:00 - 23:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
07/09/2025 00:00 - 00:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
07/09/2025 01:00 - 01:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/09/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/09/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
07/09/2025 04:00 - 04:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
07/09/2025 05:00 - 05:59,0,10,1,0,0,0,0,0,0,0,0,0,0,11
07/09/2025 06:00 - 06:59,1,9,4,0,1,0,0,0,0,0,0,0,0,15
07/09/2025 07:00 - 07:59,0,36,4,0,3,0,0,0,0,0,0,0,0,43
07/09/2025 08:00 - 08:59,0,38,6,1,2,0,0,0,0,0,0,0,0,47
07/09/2025 09:00 - 09:59,0,37,8,0,4,0,0,0,0,0,0,0,0,49
07/09/2025 10:00 - 10:59,1,10,6,0,2,0,0,0,0,0,0,0,0,19
07/09/2025 11:00 - 11:59,1,32,11,1,4,0,1,0,0,0,0,0,0,50
07/09/2025 12:00 - 12:59,1,37,13,0,3,0,0,0,0,0,0,0,0,54
07/09/2025 13:00 - 13:59,2,43,7,0,4,0,0,0,0,0,0,0,0,56
07/09/2025 14:00 - 14:59,0,66,7,0,5,1,0,0,0,0,0,0,0,79
07/09/2025 15:00 - 15:59,0,59,11,0,2,0,0,1,0,0,0,0,0,73
07/09/2025 16:00 - 16:59,1,55,6,0,1,0,0,0,0,0,0,0,0,63
07/09/2025 17:00 - 17:59,0,76,4,0,1,0,0,0,0,0,0,0,0,81
07/09/2025 18:00 - 18:59,2,60,6,0,3,0,0,0,0,0,0,0,0,71
07/09/2025 19:00 - 19:59,0,47,5,0,0,0,0,0,0,0,0,0,0,52
07/09/2025 20:00 - 20:59,0,49,6,0,3,0,0,0,0,0,0,0,0,58
07/09/2025 21:00 - 21:59,1,27,5,0,0,0,0,0,0,0,0,0,0,33
07/09/2025 22:00 - 22:59,0,12,3,0,0,0,0,0,0,0,0,0,0,15
07/09/2025 23:00 - 23:59,0,10,0,0,0,0,0,0,0,0,0,0,0,10
07/10/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/10/2025 01:00 - 01:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
07/10/2025 02:00 - 02:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
07/10/2025 03:00 - 03:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
07/10/2025 04:00 - 04:59,0,5,2,0,0,0,0,0,0,0,0,0,0,7
07/10/2025 05:00 - 05:59,0,6,1,0,1,0,0,0,0,0,0,0,0,8
07/10/2025 06:00 - 06:59,1,16,4,0,2,0,0,0,0,0,0,0,0,23
07/10/2025 07:00 - 07:59,0,31,7,0,2,0,0,0,0,0,0,0,0,40
07/10/2025 08:00 - 08:59,0,37,8,1,2,0,0,0,0,0,0,0,0,48
07/10/2025 09:00 - 09:59,0,24,4,0,2,0,0,0,0,0,0,0,0,30
07/10/2025 10:00 - 10:59,0,34,11,0,4,0,0,0,0,0,0,0,0,49
07/10/2025 11:00 - 11:59,0,32,6,0,8,2,0,0,0,0,0,0,0,48
07/10/2025 12:00 - 12:59,0,32,10,0,6,0,0,0,0,0,0,0,0,48
07/10/2025 13:00 - 13:59,0,38,8,0,5,1,0,0,0,0,0,0,0,52
07/10/2025 14:00 - 14:59,0,32,6,0,4,0,1,0,0,0,0,0,0,43
