"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/08/2025 13:00 - 13:59,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,19,20.8,24.6
07/08/2025 14:00 - 14:59,3,16,33,1,0,0,0,0,0,0,0,0,0,0,0,53,21.3,24.9
07/08/2025 15:00 - 15:59,2,10,34,9,0,0,0,0,0,0,0,0,0,0,0,55,22.9,26.1
07/08/2025 16:00 - 16:59,0,15,36,3,0,0,0,0,0,0,0,0,0,0,0,54,22.4,25.2
07/08/2025 17:00 - 17:59,1,12,57,7,0,0,0,0,0,0,0,0,0,0,0,77,23.0,25.6
07/08/2025 18:00 - 18:59,1,17,35,3,0,0,0,0,0,0,0,0,0,0,0,56,22.0,25.2
07/08/2025 19:00 - 19:59,1,6,28,0,0,0,0,0,0,0,0,0,0,0,0,35,22.3,25.0
07/08/2025 20:00 - 20:59,4,27,29,5,0,0,0,0,0,0,0,0,0,0,0,65,21.0,25.1
07/08/2025 21:00 - 21:59,2,15,16,1,0,0,0,0,0,0,0,0,0,0,0,34,20.6,24.6
07/08/2025 22:00 - 22:59,0,5,10,1,0,0,0,0,0,0,0,0,0,0,0,16,22.2,25.0
07/08/2025 23:00 - 23:59,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,21.4,23.9
07/09/2025 00:00 - 00:59,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,9,20.2,24.6
07/09/2025 01:00 - 01:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
07/09/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/09/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/09/2025 04:00 - 04:59,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,21.6,24.7
07/09/2025 05:00 - 05:59,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,11,23.9,25.4
07/09/2025 06:00 - 06:59,0,2,9,4,0,0,0,0,0,0,0,0,0,0,0,15,24.1,27.6
07/09/2025 07:00 - 07:59,1,11,29,2,0,0,0,0,0,0,0,0,0,0,0,43,22.1,25.1
07/09/2025 08:00 - 08:59,0,7,33,7,0,0,0,0,0,0,0,0,0,0,0,47,23.5,25.9
07/09/2025 09:00 - 09:59,2,12,31,4,0,0,0,0,0,0,0,0,0,0,0,49,22.1,25.4
07/09/2025 10:00 - 10:59,0,9,8,2,0,0,0,0,0,0,0,0,0,0,0,19,21.6,25.2
07/09/2025 11:00 - 11:59,3,18,27,2,0,0,0,0,0,0,0,0,0,0,0,50,21.1,24.9
07/09/2025 12:00 - 12:59,4,13,35,2,0,0,0,0,0,0,0,0,0,0,0,54,21.5,25.1
07/09/2025 13:00 - 13:59,3,15,35,3,0,0,0,0,0,0,0,0,0,0,0,56,21.7,25.2
07/09/2025 14:00 - 14:59,7,24,43,5,0,0,0,0,0,0,0,0,0,0,0,79,21.1,25.1
07/09/2025 15:00 - 15:59,3,28,37,5,0,0,0,0,0,0,0,0,0,0,0,73,21.4,25.1
07/09/2025 16:00 - 16:59,2,9,46,6,0,0,0,0,0,0,0,0,0,0,0,63,22.8,25.6
07/09/2025 17:00 - 17:59,6,32,39,3,1,0,0,0,0,0,0,0,0,0,0,81,20.9,24.9
07/09/2025 18:00 - 18:59,2,29,38,1,1,0,0,0,0,0,0,0,0,0,0,71,21.3,24.8
07/09/2025 19:00 - 19:59,2,15,33,2,0,0,0,0,0,0,0,0,0,0,0,52,21.7,25.0
07/09/2025 20:00 - 20:59,8,21,27,2,0,0,0,0,0,0,0,0,0,0,0,58,20.1,24.7
07/09/2025 21:00 - 21:59,3,11,17,2,0,0,0,0,0,0,0,0,0,0,0,33,20.9,25.0
07/09/2025 22:00 - 22:59,3,4,5,3,0,0,0,0,0,0,0,0,0,0,0,15,20.5,26.4
07/09/2025 23:00 - 23:59,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,10,21.6,25.2
07/10/2025 00:00 - 00:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
07/10/2025 01:00 - 01:59,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,9,22.3,24.7
07/10/2025 02:00 - 02:59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.0,17.0
07/10/2025 03:00 - 03:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/10/2025 04:00 - 04:59,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,7,22.0,24.5
07/10/2025 05:00 - 05:59,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,21.0,23.9
07/10/2025 06:00 - 06:59,0,6,14,3,0,0,0,0,0,0,0,0,0,0,0,23,22.8,25.7
07/10/2025 07:00 - 07:59,1,9,25,5,0,0,0,0,0,0,0,0,0,0,0,40,22.6,25.7
07/10/2025 08:00 - 08:59,3,15,28,2,0,0,0,0,0,0,0,0,0,0,0,48,21.3,25.0
07/10/2025 09:00 - 09:59,0,8,18,4,0,0,0,0,0,0,0,0,0,0,0,30,22.8,25.7
07/10/2025 10:00 - 10:59,3,15,28,3,0,0,0,0,0,0,0,0,0,0,0,49,21.4,25.1
07/10/2025 11:00 - 11:59,2,19,24,3,0,0,0,0,0,0,0,0,0,0,0,48,21.3,25.0
07/10/2025 12:00 - 12:59,2,18,27,1,0,0,0,0,0,0,0,0,0,0,0,48,21.2,24.8
07/10/2025 13:00 - 13:59,3,14,32,3,0,0,0,0,0,0,0,0,0,0,0,52,21.7,25.2
07/10/2025 14:00 - 14:59,2,15,23,3,0,0,0,0,0,0,0,0,0,0,0,43,21.5,25.1
07/10/2025 15:00 - 15:59,1,11,51,9,0,0,0,0,0,0,0,0,0,0,0,72,23.2,25.8
07/10/2025 16:00 - 16:59,2,10,59,5,2,0,0,0,0,0,0,0,0,0,0,78,23.1,25.6
07/10/2025 17:00 - 17:59,5,17,49,4,1,0,0,0,0,0,0,0,0,0,0,76,21.9,25.3
07/10/2025 18:00 - 18:59,3,18,30,4,1,0,0,0,0,0,0,0,0,0,0,56,21.7,25.4
07/10/2025 19:00 - 19:59,2,11,24,4,0,0,0,0,0,0,0,0,0,0,0,41,22.0,25.4
07/10/2025 20:00 - 20:59,6,18,21,0,0,0,0,0,0,0,0,0,0,0,0,45,19.8,24.3
07/10/2025 21:00 - 21:59,2,10,11,1,0,0,0,0,0,0,0,0,0,0,0,24,20.5,24.6
07/10/2025 22:00 - 22:59,1,6,5,2,0,0,0,0,0,0,0,0,0,0,0,14,21.1,25.4
07/10/2025 23:00 - 23:59,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,10,22.9,24.9
07/11/2025 00:00 - 00:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
07/11/2025 01:00 - 01:59,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,18.7,22.5
07/11/2025 02:00 - 02:59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,27.0
07/11/2025 03:00 - 03:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/11/2025 04:00 - 04:59,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,22.0,24.2
07/11/2025 05:00 - 05:59,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,9,20.9,24.5
07/11/2025 06:00 - 06:59,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,17,22.2,25.1
07/11/2025 07:00 - 07:59,1,11,20,5,1,0,0,0,0,0,0,0,0,0,0,38,22.6,25.8
07/11/2025 08:00 - 08:59,3,15,22,1,0,0,0,0,0,0,0,0,0,0,0,41,20.8,24.7
07/11/2025 09:00 - 09:59,0,16,25,2,0,0,0,0,0,0,0,0,0,0,0,43,21.9,25.0
07/11/2025 10:00 - 10:59,0,13,28,3,0,0,0,0,0,0,0,0,0,0,0,44,22.3,25.3
07/11/2025 11:00 - 11:59,1,8,35,4,0,0,0,0,0,0,0,0,0,0,0,48,22.8,25.5
07/11/2025 12:00 - 12:59,1,8,42,3,0,0,0,0,0,0,0,0,0,0,0,54,22.8,25.3
07/11/2025 13:00 - 13:59,3,25,29,5,0,0,0,0,0,0,0,0,0,0,0,62,21.2,25.2
07/11/2025 14:00 - 14:59,2,17,26,1,0,0,0,0,0,0,0,0,0,0,0,46,21.2,24.8
07/11/2025 15:00 - 15:59,3,15,32,5,1,0,0,0,0,0,0,0,0,0,0,56,22.1,25.5
07/11/2025 16:00 - 16:59,5,20,22,3,1,0,0,0,0,0,0,0,0,0,0,51,20.7,25.1
07/11/2025 17:00 - 17:59,2,14,27,3,0,0,0,0,0,0,0,0,0,0,0,46,21.7,25.2
07/11/2025 18:00 - 18:59,3,14,27,1,1,0,0,0,0,0,0,0,0,0,0,46,21.4,25.0
07/11/2025 19:00 - 19:59,3,9,17,1,0,0,0,0,0,0,0,0,0,0,0,30,20.8,24.8
07/11/2025 20:00 - 20:59,1,5,20,2,0,0,0,0,0,0,0,0,0,0,0,28,22.5,25.3
07/11/2025 21:00 - 21:59,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,15,21.4,24.8
07/11/2025 22:00 - 22:59,1,5,14,0,0,0,0,0,0,0,0,0,0,0,0,20,21.5,24.8
07/11/2025 23:00 - 23:59,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,15,21.8,25.4
07/12/2025 00:00 - 00:59,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,20.3,24.3
07/12/2025 01:00 - 01:59,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,21.0,23.9
07/12/2025 02:00 - 02:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/12/2025 03:00 - 03:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/12/2025 04:00 - 04:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
07/12/2025 05:00 - 05:59,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.5,24.6
07/12/2025 06:00 - 06:59,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,22.0,24.2
07/12/2025 07:00 - 07:59,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,21.1,24.6
07/12/2025 08:00 - 08:59,2,8,16,2,0,0,0,0,0,0,0,0,0,0,0,28,21.5,25.2
07/12/2025 09:00 - 09:59,1,9,33,5,0,0,0,0,0,0,0,0,0,0,0,48,22.8,25.6
07/12/2025 10:00 - 10:59,2,7,20,8,2,0,0,0,0,0,0,0,0,0,0,39,23.5,28.3
07/12/2025 11:00 - 11:59,0,6,33,6,0,0,0,0,0,0,0,0,0,0,0,45,23.5,25.8
07/12/2025 12:00 - 12:59,1,15,26,4,0,0,0,0,0,0,0,0,0,0,0,46,22.0,25.3
07/12/2025 13:00 - 13:59,0,14,25,2,0,0,0,0,0,0,0,0,0,0,0,41,22.0,25.1
07/12/2025 14:00 - 14:59,3,11,20,1,0,0,0,0,0,0,0,0,0,0,0,35,20.9,24.8
07/12/2025 15:00 - 15:59,5,29,14,0,0,0,0,0,0,0,0,0,0,0,0,48,19.1,23.3
07/12/2025 16:00 - 16:59,2,14,30,2,0,0,0,0,0,0,0,0,0,0,0,48,21.7,25.0
07/12/2025 17:00 - 17:59,3,13,22,3,0,0,0,0,0,0,0,0,0,0,0,41,21.3,25.2
07/12/2025 18:00 - 18:59,5,13,20,1,0,0,0,0,0,0,0,0,0,0,0,39,20.3,24.7
07/12/2025 19:00 - 19:59,3,8,16,1,0,0,0,0,0,0,0,0,0,0,0,28,20.8,24.8
07/12/2025 20:00 - 20:59,2,10,9,2,0,0,0,0,0,0,0,0,0,0,0,23,20.6,24.9
07/12/2025 21:00 - 21:59,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,32,21.3,24.5
07/12/2025 22:00 - 22:59,1,5,14,3,0,0,0,0,0,0,0,0,0,0,0,23,22.4,25.7
07/12/2025 23:00 - 23:59,1,8,10,0,0,0,0,0,0,0,0,0,0,0,0,19,20.7,24.3
