"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
07/08/2025 13:00 - 13:59,18,20,38
07/08/2025 14:00 - 14:59,62,44,106
07/08/2025 15:00 - 15:59,68,47,115
07/08/2025 16:00 - 16:59,63,46,109
07/08/2025 17:00 - 17:59,76,78,154
07/08/2025 18:00 - 18:59,44,68,112
07/08/2025 19:00 - 19:59,38,32,70
07/08/2025 20:00 - 20:59,91,40,131
07/08/2025 21:00 - 21:59,48,20,68
07/08/2025 22:00 - 22:59,18,14,32
07/08/2025 23:00 - 23:59,6,4,10
07/09/2025 00:00 - 00:59,4,14,18
07/09/2025 01:00 - 01:59,4,2,6
07/09/2025 02:00 - 02:59,2,0,2
07/09/2025 03:00 - 03:59,2,0,2
07/09/2025 04:00 - 04:59,8,6,14
07/09/2025 05:00 - 05:59,8,14,22
07/09/2025 06:00 - 06:59,18,12,30
07/09/2025 07:00 - 07:59,48,38,86
07/09/2025 08:00 - 08:59,68,26,94
07/09/2025 09:00 - 09:59,56,42,98
07/09/2025 10:00 - 10:59,24,15,39
07/09/2025 11:00 - 11:59,55,52,107
07/09/2025 12:00 - 12:59,67,45,112
07/09/2025 13:00 - 13:59,57,56,113
07/09/2025 14:00 - 14:59,76,86,162
07/09/2025 15:00 - 15:59,76,72,148
07/09/2025 16:00 - 16:59,60,66,126
07/09/2025 17:00 - 17:59,80,82,162
07/09/2025 18:00 - 18:59,69,78,147
07/09/2025 19:00 - 19:59,56,48,104
07/09/2025 20:00 - 20:59,91,26,117
07/09/2025 21:00 - 21:59,22,44,66
07/09/2025 22:00 - 22:59,18,12,30
07/09/2025 23:00 - 23:59,14,6,20
07/10/2025 00:00 - 00:59,4,2,6
07/10/2025 01:00 - 01:59,6,12,18
07/10/2025 02:00 - 02:59,2,2,4
07/10/2025 03:00 - 03:59,2,2,4
07/10/2025 04:00 - 04:59,6,8,14
07/10/2025 05:00 - 05:59,10,6,16
07/10/2025 06:00 - 06:59,24,24,48
07/10/2025 07:00 - 07:59,48,32,80
07/10/2025 08:00 - 08:59,46,50,96
07/10/2025 09:00 - 09:59,38,22,60
07/10/2025 10:00 - 10:59,58,42,100
07/10/2025 11:00 - 11:59,64,34,98
07/10/2025 12:00 - 12:59,44,52,96
07/10/2025 13:00 - 13:59,62,43,105
07/10/2025 14:00 - 14:59,46,42,88
07/10/2025 15:00 - 15:59,80,64,144
07/10/2025 16:00 - 16:59,78,81,159
07/10/2025 17:00 - 17:59,72,80,152
07/10/2025 18:00 - 18:59,64,48,112
07/10/2025 19:00 - 19:59,30,52,82
07/10/2025 20:00 - 20:59,68,22,90
07/10/2025 21:00 - 21:59,22,26,48
07/10/2025 22:00 - 22:59,16,12,28
07/10/2025 23:00 - 23:59,10,10,20
07/11/2025 00:00 - 00:59,4,2,6
07/11/2025 01:00 - 01:59,8,4,12
07/11/2025 02:00 - 02:59,2,2,4
07/11/2025 03:00 - 03:59,4,0,4
07/11/2025 04:00 - 04:59,6,2,8
07/11/2025 05:00 - 05:59,8,10,18
07/11/2025 06:00 - 06:59,24,10,34
07/11/2025 07:00 - 07:59,38,40,78
07/11/2025 08:00 - 08:59,50,32,82
07/11/2025 09:00 - 09:59,62,24,86
07/11/2025 10:00 - 10:59,48,42,90
07/11/2025 11:00 - 11:59,52,46,98
07/11/2025 12:00 - 12:59,68,40,108
07/11/2025 13:00 - 13:59,70,54,124
07/11/2025 14:00 - 14:59,52,41,93
07/11/2025 15:00 - 15:59,61,52,113
07/11/2025 16:00 - 16:59,58,44,102
07/11/2025 17:00 - 17:59,40,52,92
07/11/2025 18:00 - 18:59,52,40,92
07/11/2025 19:00 - 19:59,21,44,65
07/11/2025 20:00 - 20:59,35,26,61
07/11/2025 21:00 - 21:59,16,16,32
07/11/2025 22:00 - 22:59,28,12,40
07/11/2025 23:00 - 23:59,14,16,30
07/12/2025 00:00 - 00:59,6,6,12
07/12/2025 01:00 - 01:59,6,10,16
07/12/2025 02:00 - 02:59,2,2,4
07/12/2025 03:00 - 03:59,4,0,4
07/12/2025 04:00 - 04:59,6,0,6
07/12/2025 05:00 - 05:59,0,8,8
07/12/2025 06:00 - 06:59,4,4,8
07/12/2025 07:00 - 07:59,10,8,18
07/12/2025 08:00 - 08:59,26,31,57
07/12/2025 09:00 - 09:59,69,28,97
07/12/2025 10:00 - 10:59,37,44,81
07/12/2025 11:00 - 11:59,54,36,90
07/12/2025 12:00 - 12:59,40,53,93
07/12/2025 13:00 - 13:59,52,32,84
07/12/2025 14:00 - 14:59,41,30,71
07/12/2025 15:00 - 15:59,50,46,96
07/12/2025 16:00 - 16:59,56,40,96
07/12/2025 17:00 - 17:59,50,32,82
07/12/2025 18:00 - 18:59,38,42,80
07/12/2025 19:00 - 19:59,32,24,56
07/12/2025 20:00 - 20:59,13,34,47
07/12/2025 21:00 - 21:59,24,40,64
07/12/2025 22:00 - 22:59,30,16,46
07/12/2025 23:00 - 23:59,10,28,38
07/13/2025 00:00 - 00:59,12,4,16
07/13/2025 01:00 - 01:59,8,8,16
07/13/2025 02:00 - 02:59,4,4,8
07/13/2025 03:00 - 03:59,2,0,2
07/13/2025 04:00 - 04:59,2,0,2
07/13/2025 05:00 - 05:59,2,2,4
07/13/2025 06:00 - 06:59,10,6,16
07/13/2025 07:00 - 07:59,22,2,24
07/13/2025 08:00 - 08:59,32,20,52
07/13/2025 09:00 - 09:59,38,28,66
07/13/2025 10:00 - 10:59,44,32,76
07/13/2025 11:00 - 11:59,60,40,100
07/13/2025 12:00 - 12:59,68,52,120
07/13/2025 13:00 - 13:59,70,58,128
07/13/2025 14:00 - 14:59,78,96,174
07/13/2025 15:00 - 15:59,74,88,162
07/13/2025 16:00 - 16:59,44,67,111
07/13/2025 17:00 - 17:59,32,39,71
07/13/2025 18:00 - 18:59,24,22,46
07/13/2025 19:00 - 19:59,24,16,40
07/13/2025 20:00 - 20:59,28,26,54
07/13/2025 21:00 - 21:59,41,20,61
07/13/2025 22:00 - 22:59,20,18,38
07/13/2025 23:00 - 23:59,6,12,18
07/14/2025 00:00 - 00:59,0,2,2
07/14/2025 01:00 - 01:59,0,2,2
07/14/2025 02:00 - 02:59,2,0,2
07/14/2025 03:00 - 03:59,2,2,4
07/14/2025 04:00 - 04:59,6,6,12
07/14/2025 05:00 - 05:59,16,11,27
07/14/2025 06:00 - 06:59,21,24,45
07/14/2025 07:00 - 07:59,52,26,78
07/14/2025 08:00 - 08:59,49,41,90
07/14/2025 09:00 - 09:59,46,43,89
07/14/2025 10:00 - 10:59,47,30,77
07/14/2025 11:00 - 11:59,50,38,88
07/14/2025 12:00 - 12:59,46,60,106
07/14/2025 13:00 - 13:59,58,38,96
07/14/2025 14:00 - 14:59,68,47,115
07/14/2025 15:00 - 15:59,50,72,122
07/14/2025 16:00 - 16:59,95,64,159
07/14/2025 17:00 - 17:59,68,62,130
07/14/2025 18:00 - 18:59,52,51,103
07/14/2025 19:00 - 19:59,59,22,81
07/14/2025 20:00 - 20:59,44,42,86
07/14/2025 21:00 - 21:59,27,24,51
07/14/2025 22:00 - 22:59,18,23,41
07/14/2025 23:00 - 23:59,2,2,4
07/15/2025 00:00 - 00:59,2,2,4
07/15/2025 01:00 - 01:59,2,6,8
07/15/2025 02:00 - 02:59,0,0,0
07/15/2025 03:00 - 03:59,6,0,6
07/15/2025 04:00 - 04:59,6,6,12
07/15/2025 05:00 - 05:59,12,4,16
07/15/2025 06:00 - 06:59,24,6,30
07/15/2025 07:00 - 07:59,54,52,106
07/15/2025 08:00 - 08:59,64,52,116
07/15/2025 09:00 - 09:59,44,41,85
07/15/2025 10:00 - 10:59,45,40,85
07/15/2025 11:00 - 11:59,56,45,101
07/15/2025 12:00 - 12:59,31,50,81
