"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Northbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/22/2025 14:00 - 14:59,0,48,8,0,3,0,0,0,0,0,0,0,0,59
07/22/2025 15:00 - 15:59,1,265,21,0,25,0,0,2,0,0,0,0,0,314
07/22/2025 16:00 - 16:59,0,306,26,1,19,1,0,0,0,0,0,0,0,353
07/22/2025 17:00 - 17:59,2,304,22,0,15,0,0,2,0,0,0,0,0,345
07/22/2025 18:00 - 18:59,3,239,12,1,10,0,0,0,0,0,0,0,0,265
07/22/2025 19:00 - 19:59,4,160,14,0,8,0,0,0,0,0,0,0,0,186
07/22/2025 20:00 - 20:59,1,143,6,0,14,0,0,0,0,0,0,0,0,164
07/22/2025 21:00 - 21:59,0,99,7,0,2,0,0,0,0,0,0,0,0,108
07/22/2025 22:00 - 22:59,0,64,2,0,2,0,0,0,0,0,0,0,0,68
07/22/2025 23:00 - 23:59,0,34,2,0,0,0,0,0,0,0,0,0,0,36
07/23/2025 00:00 - 00:59,0,8,0,1,0,0,0,0,0,0,0,0,0,9
07/23/2025 01:00 - 01:59,0,5,2,0,0,0,0,0,0,0,0,0,0,7
07/23/2025 02:00 - 02:59,0,7,2,0,0,0,0,0,0,0,0,0,0,9
07/23/2025 03:00 - 03:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
07/23/2025 04:00 - 04:59,0,15,2,0,0,1,0,0,0,0,0,0,0,18
07/23/2025 05:00 - 05:59,0,45,7,0,4,0,0,0,0,0,0,0,1,57
07/23/2025 06:00 - 06:59,0,91,11,1,5,0,0,0,0,0,0,0,0,108
07/23/2025 07:00 - 07:59,0,138,14,3,15,1,0,1,0,0,0,0,0,172
07/23/2025 08:00 - 08:59,0,182,14,2,16,2,0,0,0,0,0,0,0,216
07/23/2025 09:00 - 09:59,0,133,16,2,17,0,0,1,2,0,0,0,0,171
07/23/2025 10:00 - 10:59,0,147,16,2,18,0,0,0,0,0,0,0,0,183
07/23/2025 11:00 - 11:59,0,221,19,1,22,0,0,0,1,0,0,0,0,264
07/23/2025 12:00 - 12:59,0,173,20,1,21,3,0,4,0,0,0,0,0,222
07/23/2025 13:00 - 13:59,1,158,21,1,11,1,0,3,0,0,0,0,0,196
07/23/2025 14:00 - 14:59,0,184,12,1,27,0,0,1,2,0,0,0,0,227
07/23/2025 15:00 - 15:59,0,293,26,1,16,0,0,0,0,0,0,0,0,336
07/23/2025 16:00 - 16:59,0,310,23,0,21,1,0,0,0,0,0,0,0,355
07/23/2025 17:00 - 17:59,1,331,32,0,17,0,0,0,1,0,0,0,0,382
