"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Southbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/22/2025 14:00 - 14:59,0,58,6,0,3,0,0,0,0,0,0,0,0,67
07/22/2025 15:00 - 15:59,2,245,24,1,6,1,0,0,0,0,0,0,0,279
07/22/2025 16:00 - 16:59,0,298,19,0,11,0,0,0,0,0,0,0,0,328
07/22/2025 17:00 - 17:59,0,245,22,1,4,0,0,0,0,0,0,0,0,272
07/22/2025 18:00 - 18:59,0,219,15,0,2,0,0,0,0,0,0,0,0,236
07/22/2025 19:00 - 19:59,0,176,15,0,7,1,0,0,0,0,0,0,0,199
07/22/2025 20:00 - 20:59,0,156,10,1,2,0,0,0,0,0,0,0,0,169
07/22/2025 21:00 - 21:59,0,110,7,0,4,0,0,0,0,0,0,0,0,121
07/22/2025 22:00 - 22:59,1,79,4,0,2,0,0,0,0,0,0,0,0,86
07/22/2025 23:00 - 23:59,0,41,3,0,2,0,0,0,0,0,0,0,0,46
07/23/2025 00:00 - 00:59,0,12,0,0,0,0,0,0,0,0,0,0,0,12
07/23/2025 01:00 - 01:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
07/23/2025 02:00 - 02:59,0,7,0,0,0,0,0,0,0,0,0,0,0,7
07/23/2025 03:00 - 03:59,0,9,0,0,1,0,0,0,0,0,0,0,0,10
07/23/2025 04:00 - 04:59,0,13,3,0,0,0,0,0,0,0,0,0,0,16
07/23/2025 05:00 - 05:59,0,34,7,0,4,0,0,0,0,0,0,0,0,45
07/23/2025 06:00 - 06:59,0,58,9,2,3,0,0,0,1,0,0,0,0,73
07/23/2025 07:00 - 07:59,0,173,21,2,8,1,0,3,0,0,0,0,0,208
07/23/2025 08:00 - 08:59,0,173,18,0,14,1,0,1,1,0,0,0,0,208
07/23/2025 09:00 - 09:59,0,137,20,2,6,1,0,0,2,0,0,0,0,168
07/23/2025 10:00 - 10:59,0,151,14,2,6,1,0,0,2,0,0,0,0,176
07/23/2025 11:00 - 11:59,0,184,24,3,9,0,0,2,0,0,0,0,0,222
07/23/2025 12:00 - 12:59,1,215,22,1,8,0,0,1,0,0,0,0,0,248
07/23/2025 13:00 - 13:59,0,170,11,0,8,2,0,2,1,0,0,0,0,194
07/23/2025 14:00 - 14:59,0,183,12,0,8,1,0,0,0,0,0,0,0,204
07/23/2025 15:00 - 15:59,0,261,19,1,13,3,0,0,0,0,0,0,0,297
07/23/2025 16:00 - 16:59,0,257,21,0,4,0,0,0,1,0,0,0,0,283
07/23/2025 17:00 - 17:59,1,250,21,0,2,0,0,1,0,0,0,0,0,275
07/23/2025 18:00 - 18:59,1,219,19,0,5,0,0,1,0,0,0,0,0,245
07/23/2025 19:00 - 19:59,1,145,9,0,3,0,0,0,0,0,0,0,0,158
07/23/2025 20:00 - 20:59,0,137,10,0,4,0,0,0,0,0,0,0,0,151
07/23/2025 21:00 - 21:59,0,118,5,0,2,0,0,0,0,0,0,0,0,125
07/23/2025 22:00 - 22:59,0,53,4,0,2,0,0,0,0,0,0,0,0,59
07/23/2025 23:00 - 23:59,0,35,1,0,1,0,0,0,0,0,0,0,0,37
07/24/2025 00:00 - 00:59,0,18,0,0,0,0,0,0,0,0,0,0,0,18
07/24/2025 01:00 - 01:59,0,7,0,0,1,0,0,0,0,0,0,0,0,8
07/24/2025 02:00 - 02:59,0,6,0,0,1,0,0,0,0,0,0,0,0,7
07/24/2025 03:00 - 03:59,0,9,0,0,1,0,0,0,0,0,0,0,0,10
07/24/2025 04:00 - 04:59,0,11,2,0,0,0,0,0,1,0,0,0,0,14
07/24/2025 05:00 - 05:59,0,32,6,0,2,0,0,0,0,0,0,0,0,40
07/24/2025 06:00 - 06:59,0,77,16,2,3,0,0,0,1,0,0,0,0,99
07/24/2025 07:00 - 07:59,0,146,26,1,16,0,0,2,1,0,0,0,0,192
07/24/2025 08:00 - 08:59,0,159,11,2,18,1,1,0,0,0,0,0,0,192
07/24/2025 09:00 - 09:59,1,164,11,0,14,0,0,0,1,0,0,0,0,191
07/24/2025 10:00 - 10:59,1,161,18,0,7,0,0,1,0,0,0,0,0,188
07/24/2025 11:00 - 11:59,1,179,19,0,6,1,0,0,1,0,0,0,0,207
07/24/2025 12:00 - 12:59,1,217,35,4,7,2,0,2,0,0,0,0,0,268
07/24/2025 13:00 - 13:59,0,194,20,0,9,1,0,1,1,0,0,0,0,226
07/24/2025 14:00 - 14:59,0,214,20,0,10,2,0,0,0,0,0,0,0,246
07/24/2025 15:00 - 15:59,1,286,18,1,8,0,0,0,0,0,0,0,0,314
07/24/2025 16:00 - 16:59,2,244,21,0,4,0,0,0,0,0,0,0,0,271
07/24/2025 17:00 - 17:59,1,271,23,0,6,0,0,0,0,0,0,0,0,301
07/24/2025 18:00 - 18:59,1,218,21,0,5,0,0,0,0,0,0,0,0,245
07/24/2025 19:00 - 19:59,0,172,13,0,3,0,0,1,0,0,0,0,0,189
07/24/2025 20:00 - 20:59,0,149,11,0,5,1,0,0,0,0,0,0,0,166
07/24/2025 21:00 - 21:59,0,133,9,0,4,0,0,0,0,0,0,0,0,146
07/24/2025 22:00 - 22:59,0,70,6,0,1,0,0,0,0,0,0,0,0,77
07/24/2025 23:00 - 23:59,0,51,2,0,0,0,0,0,0,0,0,0,0,53
07/25/2025 00:00 - 00:59,0,27,2,0,1,0,0,0,0,0,0,0,0,30
07/25/2025 01:00 - 01:59,0,18,0,0,0,0,0,0,0,0,0,0,0,18
07/25/2025 02:00 - 02:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
07/25/2025 03:00 - 03:59,0,9,0,0,1,0,0,0,0,0,0,0,0,10
07/25/2025 04:00 - 04:59,0,16,0,0,0,0,0,0,0,0,0,0,0,16
07/25/2025 05:00 - 05:59,0,28,5,0,2,0,0,0,1,0,0,0,0,36
07/25/2025 06:00 - 06:59,0,64,12,0,2,1,0,0,0,0,0,0,0,79
07/25/2025 07:00 - 07:59,0,151,15,0,5,0,0,2,0,0,0,0,0,173
07/25/2025 08:00 - 08:59,0,154,13,0,5,0,1,0,0,0,0,0,0,173
07/25/2025 09:00 - 09:59,0,164,16,3,15,0,0,1,1,0,0,0,0,200
