"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","35"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-14 MPH","15-19 MPH","20-24 MPH","25-29 MPH","30-34 MPH","35-39 MPH","40-44 MPH","45-49 MPH","50-54 MPH","55-59 MPH","60-64 MPH","65-69 MPH","70-74 MPH","75-79 MPH","80-99 MPH","Total""Mean Speed","85th Percentile"
07/22/2025 14:00 - 14:59,0,0,3,9,33,18,4,0,0,0,0,0,0,0,0,67,33.3,38.2
07/22/2025 15:00 - 15:59,0,0,6,26,117,118,12,0,0,0,0,0,0,0,0,279,34.4,38.7
07/22/2025 16:00 - 16:59,0,0,3,48,143,123,11,0,0,0,0,0,0,0,0,328,33.9,38.4
07/22/2025 17:00 - 17:59,0,1,3,27,113,107,20,1,0,0,0,0,0,0,0,272,34.6,39.1
07/22/2025 18:00 - 18:59,0,0,1,20,107,91,15,2,0,0,0,0,0,0,0,236,34.7,39.0
07/22/2025 19:00 - 19:59,1,0,0,21,93,73,10,1,0,0,0,0,0,0,0,199,34.3,38.7
07/22/2025 20:00 - 20:59,0,1,2,29,67,54,15,1,0,0,0,0,0,0,0,169,34.0,39.1
07/22/2025 21:00 - 21:59,0,0,4,29,51,31,4,1,0,1,0,0,0,0,0,121,32.9,38.0
07/22/2025 22:00 - 22:59,0,0,1,14,47,18,5,0,1,0,0,0,0,0,0,86,33.4,37.9
07/22/2025 23:00 - 23:59,0,0,0,12,22,11,1,0,0,0,0,0,0,0,0,46,32.6,37.1
07/23/2025 00:00 - 00:59,0,0,1,5,5,0,1,0,0,0,0,0,0,0,0,12,30.3,33.7
07/23/2025 01:00 - 01:59,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,7,33.7,38.6
07/23/2025 02:00 - 02:59,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,7,31.7,34.3
07/23/2025 03:00 - 03:59,1,0,0,0,4,3,2,0,0,0,0,0,0,0,0,10,33.7,40.0
07/23/2025 04:00 - 04:59,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,16,34.3,37.9
07/23/2025 05:00 - 05:59,0,0,0,4,25,14,1,1,0,0,0,0,0,0,0,45,34.1,38.1
07/23/2025 06:00 - 06:59,0,0,1,7,25,35,5,0,0,0,0,0,0,0,0,73,34.9,39.1
07/23/2025 07:00 - 07:59,0,2,11,21,79,79,15,1,0,0,0,0,0,0,0,208,34.0,39.0
07/23/2025 08:00 - 08:59,4,4,2,19,80,82,16,1,0,0,0,0,0,0,0,208,34.0,39.1
07/23/2025 09:00 - 09:59,0,0,3,25,80,53,5,2,0,0,0,0,0,0,0,168,33.6,38.2
07/23/2025 10:00 - 10:59,0,0,4,20,91,57,4,0,0,0,0,0,0,0,0,176,33.5,38.0
07/23/2025 11:00 - 11:59,0,0,2,21,110,81,8,0,0,0,0,0,0,0,0,222,34.1,38.4
07/23/2025 12:00 - 12:59,0,1,2,34,133,68,9,1,0,0,0,0,0,0,0,248,33.5,38.0
07/23/2025 13:00 - 13:59,0,0,3,32,95,58,6,0,0,0,0,0,0,0,0,194,33.3,38.0
07/23/2025 14:00 - 14:59,1,3,16,50,88,45,1,0,0,0,0,0,0,0,0,204,31.3,36.7
07/23/2025 15:00 - 15:59,0,0,4,66,172,51,4,0,0,0,0,0,0,0,0,297,32.2,36.0
07/23/2025 16:00 - 16:59,0,1,3,22,163,84,10,0,0,0,0,0,0,0,0,283,33.8,38.0
07/23/2025 17:00 - 17:59,0,2,4,26,127,102,13,1,0,0,0,0,0,0,0,275,34.1,38.6
07/23/2025 18:00 - 18:59,0,0,2,31,125,77,9,1,0,0,0,0,0,0,0,245,33.8,38.2
07/23/2025 19:00 - 19:59,1,0,0,10,76,57,12,1,0,0,0,0,0,0,0,157,34.7,39.0
07/23/2025 20:00 - 20:59,0,0,2,21,75,48,4,0,1,0,0,0,0,0,0,151,33.6,38.1
07/23/2025 21:00 - 21:59,0,0,5,28,66,17,7,1,1,0,0,0,0,0,0,125,32.5,37.0
07/23/2025 22:00 - 22:59,0,0,0,9,33,16,1,0,0,0,0,0,0,0,0,59,33.2,37.4
07/23/2025 23:00 - 23:59,0,0,0,8,12,13,2,2,0,0,0,0,0,0,0,37,34.5,39.2
07/24/2025 00:00 - 00:59,0,0,1,1,12,3,0,0,1,0,0,0,0,0,0,18,33.5,36.3
07/24/2025 01:00 - 01:59,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,8,35.4,38.8
07/24/2025 02:00 - 02:59,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,7,33.7,37.3
07/24/2025 03:00 - 03:59,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,10,33.9,38.8
07/24/2025 04:00 - 04:59,0,1,0,3,6,4,0,0,0,0,0,0,0,0,0,14,31.7,36.8
07/24/2025 05:00 - 05:59,0,0,1,7,18,11,3,0,0,0,0,0,0,0,0,40,33.5,38.4
07/24/2025 06:00 - 06:59,0,0,2,11,41,35,8,2,0,0,0,0,0,0,0,99,34.6,39.2
07/24/2025 07:00 - 07:59,0,1,3,24,95,56,12,1,0,0,0,0,0,0,0,192,33.8,38.5
07/24/2025 08:00 - 08:59,0,4,15,27,68,70,5,3,0,0,0,0,0,0,0,192,33.0,38.5
07/24/2025 09:00 - 09:59,5,3,11,24,77,65,6,0,0,0,0,0,0,0,0,191,32.5,38.2
07/24/2025 10:00 - 10:59,1,0,8,38,89,41,10,0,1,0,0,0,0,0,0,188,32.7,37.8
07/24/2025 11:00 - 11:59,0,1,1,22,102,71,9,1,0,0,0,0,0,0,0,207,34.1,38.5
07/24/2025 12:00 - 12:59,1,1,14,53,130,61,8,0,0,0,0,0,0,0,0,268,32.3,37.3
07/24/2025 13:00 - 13:59,1,1,2,25,92,82,19,4,0,0,0,0,0,0,0,226,34.6,39.3
07/24/2025 14:00 - 14:59,0,0,3,23,96,105,18,1,0,0,0,0,0,0,0,246,34.8,39.1
07/24/2025 15:00 - 15:59,1,0,1,14,142,126,30,0,0,0,0,0,0,0,0,314,35.1,39.3
07/24/2025 16:00 - 16:59,0,0,6,29,115,95,23,3,0,0,0,0,0,0,0,271,34.5,39.2
