"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","77 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/22/2025 14:00 - 14:59,0,106,14,0,6,0,0,0,0,0,0,0,0,126
07/22/2025 15:00 - 15:59,4,509,45,1,31,1,0,2,0,0,0,0,0,593
07/22/2025 16:00 - 16:59,1,605,45,1,30,1,0,0,0,0,0,0,0,683
07/22/2025 17:00 - 17:59,3,547,44,1,19,1,0,2,0,0,0,0,0,617
07/22/2025 18:00 - 18:59,3,457,27,1,12,0,0,0,0,0,0,0,0,500
07/22/2025 19:00 - 19:59,4,336,29,0,15,1,0,0,0,0,0,0,0,385
07/22/2025 20:00 - 20:59,5,298,16,1,16,0,0,0,0,0,0,0,0,336
07/22/2025 21:00 - 21:59,0,209,14,0,6,0,0,0,0,0,0,0,0,229
07/22/2025 22:00 - 22:59,1,143,6,0,4,0,0,0,0,0,0,0,0,154
07/22/2025 23:00 - 23:59,0,75,5,0,2,0,0,0,0,0,0,0,0,82
07/23/2025 00:00 - 00:59,1,20,0,1,0,0,0,0,0,0,0,0,0,22
07/23/2025 01:00 - 01:59,0,11,3,0,0,0,0,0,0,0,0,0,0,14
07/23/2025 02:00 - 02:59,0,14,2,0,0,0,0,0,0,0,0,0,0,16
07/23/2025 03:00 - 03:59,0,17,0,0,1,1,0,0,0,0,0,0,0,19
07/23/2025 04:00 - 04:59,0,28,5,0,0,1,0,0,0,0,0,0,0,34
07/23/2025 05:00 - 05:59,0,79,14,0,8,0,0,0,0,0,0,0,1,102
07/23/2025 06:00 - 06:59,0,149,20,3,8,0,0,0,1,0,0,0,0,181
07/23/2025 07:00 - 07:59,0,312,35,5,23,2,0,4,0,0,0,0,0,381
07/23/2025 08:00 - 08:59,0,354,32,2,31,3,0,1,1,0,0,0,0,424
07/23/2025 09:00 - 09:59,0,270,36,4,23,1,0,1,4,0,0,0,0,339
07/23/2025 10:00 - 10:59,0,297,30,4,24,1,0,0,2,0,0,0,0,358
07/23/2025 11:00 - 11:59,0,406,43,4,30,1,0,1,2,0,0,0,0,487
07/23/2025 12:00 - 12:59,1,388,42,2,29,3,0,5,0,0,0,0,0,470
07/23/2025 13:00 - 13:59,0,328,32,1,19,3,0,5,1,0,0,0,0,389
07/23/2025 14:00 - 14:59,1,367,24,1,35,1,0,1,2,0,0,0,0,432
07/23/2025 15:00 - 15:59,1,555,45,2,29,3,0,0,0,0,0,0,0,635
07/23/2025 16:00 - 16:59,1,565,44,0,25,1,0,0,1,0,0,0,0,637
07/23/2025 17:00 - 17:59,2,581,53,0,19,0,0,0,2,0,0,0,0,657
07/23/2025 18:00 - 18:59,2,378,34,0,17,1,0,1,0,0,0,0,0,433
07/23/2025 19:00 - 19:59,3,304,19,0,12,0,0,0,0,0,0,0,0,338
07/23/2025 20:00 - 20:59,1,245,15,0,10,0,0,0,0,0,0,0,0,271
07/23/2025 21:00 - 21:59,0,205,13,0,6,0,0,0,0,0,0,0,0,224
