"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4848 Nevada Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/24/2025 13:00 - 13:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
06/24/2025 14:00 - 14:59,1,4,3,9,6,0,0,0,0,0,0,0,0,0,0,23,26.6,32.7
06/24/2025 15:00 - 15:59,0,4,2,7,6,2,0,0,0,0,0,0,0,0,0,21,28.5,34.6
06/24/2025 16:00 - 16:59,0,1,3,15,15,1,0,0,0,0,0,0,0,0,0,35,30.1,34.4
06/24/2025 17:00 - 17:59,3,5,7,12,10,0,1,0,0,0,0,0,0,0,0,38,26.5,33.4
06/24/2025 18:00 - 18:59,0,1,7,6,2,2,0,0,0,0,0,0,0,0,0,18,27.6,33.0
06/24/2025 19:00 - 19:59,3,0,12,13,4,0,0,0,0,0,0,0,0,0,0,32,25.5,30.5
06/24/2025 20:00 - 20:59,0,2,3,10,2,0,0,0,0,0,0,0,0,0,0,17,27.0,30.5
06/24/2025 21:00 - 21:59,1,2,7,4,1,0,0,0,0,0,0,0,0,0,0,15,23.9,28.8
06/24/2025 22:00 - 22:59,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,8,24.5,29.8
06/24/2025 23:00 - 23:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
06/25/2025 00:00 - 00:59,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,29.5,30.5
06/25/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/25/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/25/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/25/2025 04:00 - 04:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
06/25/2025 05:00 - 05:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
06/25/2025 06:00 - 06:59,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,8,26.5,32.5
06/25/2025 07:00 - 07:59,1,4,4,5,7,2,0,0,0,0,0,0,0,0,0,23,27.4,34.6
06/25/2025 08:00 - 08:59,4,2,3,6,4,0,0,0,0,0,0,0,0,0,0,19,23.9,31.8
06/25/2025 09:00 - 09:59,2,0,3,7,5,0,0,0,0,0,0,0,0,0,0,17,26.9,33.0
06/25/2025 10:00 - 10:59,0,4,3,5,4,1,0,0,0,0,0,0,0,0,0,17,26.9,33.4
06/25/2025 11:00 - 11:59,0,2,6,5,5,0,0,0,0,0,0,0,0,0,0,18,27.1,32.8
06/25/2025 12:00 - 12:59,1,3,6,7,1,0,0,0,0,0,0,0,0,0,0,18,24.3,29.4
06/25/2025 13:00 - 13:59,1,3,5,11,0,0,0,0,0,0,0,0,0,0,0,20,24.8,29.4
06/25/2025 14:00 - 14:59,0,4,5,9,4,0,0,0,0,0,0,0,0,0,0,22,26.4,31.3
06/25/2025 15:00 - 15:59,1,3,3,13,2,1,0,0,0,0,0,0,0,0,0,23,26.5,30.6
06/25/2025 16:00 - 16:59,0,4,6,8,4,1,0,0,0,0,0,0,0,0,0,23,26.7,32.3
06/25/2025 17:00 - 17:59,1,2,6,23,5,0,0,0,0,0,0,0,0,0,0,37,27.3,30.8
06/25/2025 18:00 - 18:59,1,4,14,21,5,0,0,0,0,0,0,0,0,0,0,45,26.2,30.5
06/25/2025 19:00 - 19:59,0,2,6,11,4,0,0,0,0,0,0,0,0,0,0,23,27.2,31.1
06/25/2025 20:00 - 20:59,0,1,9,9,2,0,0,0,0,0,0,0,0,0,0,21,26.3,30.1
06/25/2025 21:00 - 21:59,0,3,7,7,1,1,0,0,0,0,0,0,0,0,0,19,25.7,30.0
06/25/2025 22:00 - 22:59,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,5,28.2,29.8
06/25/2025 23:00 - 23:59,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,33.5,34.0
06/26/2025 00:00 - 00:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
06/26/2025 01:00 - 01:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
06/26/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/26/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/26/2025 04:00 - 04:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
06/26/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/26/2025 06:00 - 06:59,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,10,28.6,34.8
06/26/2025 07:00 - 07:59,0,3,1,6,5,0,0,0,0,0,0,0,0,0,0,15,27.7,33.3
06/26/2025 08:00 - 08:59,0,1,6,13,6,0,0,0,0,0,0,0,0,0,0,26,28.1,32.3
06/26/2025 09:00 - 09:59,3,2,4,4,3,0,1,0,0,0,0,0,0,0,0,17,24.6,32.6
06/26/2025 10:00 - 10:59,1,2,5,4,2,0,0,0,0,0,0,0,0,0,0,14,24.6,30.3
06/26/2025 11:00 - 11:59,1,1,6,5,5,1,0,0,0,0,0,0,0,0,0,19,27.2,33.7
06/26/2025 12:00 - 12:59,0,1,3,5,2,0,1,0,0,0,0,0,0,0,0,12,28.3,32.8
06/26/2025 13:00 - 13:59,1,0,1,8,2,0,0,0,0,0,0,0,0,0,0,12,27.3,30.3
06/26/2025 14:00 - 14:59,1,3,2,8,4,0,0,0,0,0,0,0,0,0,0,18,26.3,32.0
06/26/2025 15:00 - 15:59,0,4,10,16,4,1,0,0,0,0,0,0,0,0,0,35,26.8,30.8
06/26/2025 16:00 - 16:59,0,4,8,16,14,2,0,0,0,0,0,0,0,0,0,44,28.7,34.2
06/26/2025 17:00 - 17:59,2,3,6,14,6,0,0,0,0,0,0,0,0,0,0,31,26.4,31.7
06/26/2025 18:00 - 18:59,0,1,10,14,6,0,0,0,0,0,0,0,0,0,0,31,27.5,31.7
06/26/2025 19:00 - 19:59,0,1,6,11,1,0,0,0,0,0,0,0,0,0,0,19,26.6,29.9
06/26/2025 20:00 - 20:59,1,2,11,11,5,0,0,0,0,0,0,0,0,0,0,30,26.2,31.0
06/26/2025 21:00 - 21:59,2,1,6,3,3,0,0,0,0,0,0,0,0,0,0,15,24.3,31.4
06/26/2025 22:00 - 22:59,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,9,28.3,33.9
