"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4848 Nevada Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/24/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/24/2025 14:00 - 14:59,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,19,20.3,24.3
06/24/2025 15:00 - 15:59,4,18,9,0,0,0,0,0,0,0,0,0,0,0,0,31,18.9,23.1
06/24/2025 16:00 - 16:59,2,16,17,0,0,0,0,0,0,0,0,0,0,0,0,35,20.5,24.3
06/24/2025 17:00 - 17:59,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,28,18.4,22.1
06/24/2025 18:00 - 18:59,2,18,7,1,0,0,0,0,0,0,0,0,0,0,0,28,19.5,23.4
06/24/2025 19:00 - 19:59,5,10,4,1,0,0,0,0,0,0,0,0,0,0,0,20,18.0,22.9
06/24/2025 20:00 - 20:59,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,19,19.0,23.6
06/24/2025 21:00 - 21:59,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,13,19.2,19.9
06/24/2025 22:00 - 22:59,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,8,18.0,20.4
06/24/2025 23:00 - 23:59,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,19.2,19.0
06/25/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
06/25/2025 01:00 - 01:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
06/25/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/25/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/25/2025 04:00 - 04:59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.3,19.4
06/25/2025 05:00 - 05:59,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,20.2,22.5
