"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4848 Nevada Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/24/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/24/2025 14:00 - 14:59,5,21,17,0,0,0,0,0,0,0,0,0,0,0,0,43,19.5,24.0
06/24/2025 15:00 - 15:59,6,38,13,0,0,0,0,0,0,0,0,0,0,0,0,57,18.8,22.5
06/24/2025 16:00 - 16:59,4,38,27,0,0,0,0,0,0,0,0,0,0,0,0,69,20.0,24.0
06/24/2025 17:00 - 17:59,13,36,14,2,0,0,0,0,0,0,0,0,0,0,0,65,18.3,23.1
06/24/2025 18:00 - 18:59,4,41,16,2,0,0,0,0,0,0,0,0,0,0,0,63,19.6,23.5
06/24/2025 19:00 - 19:59,7,22,12,3,0,0,0,0,0,0,0,0,0,0,0,44,19.3,24.3
06/24/2025 20:00 - 20:59,4,17,12,0,0,0,0,0,0,0,0,0,0,0,0,33,19.3,23.7
06/24/2025 21:00 - 21:59,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,24,20.2,23.4
06/24/2025 22:00 - 22:59,2,16,6,0,0,0,0,0,0,0,0,0,0,0,0,24,19.1,22.6
06/24/2025 23:00 - 23:59,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,19.9,22.1
06/25/2025 00:00 - 00:59,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,17.5,20.5
06/25/2025 01:00 - 01:59,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,19.5,20.5
06/25/2025 02:00 - 02:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
06/25/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/25/2025 04:00 - 04:59,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,9,19.6,21.4
06/25/2025 05:00 - 05:59,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,13,18.4,21.9
06/25/2025 06:00 - 06:59,2,13,6,0,0,0,0,0,0,0,0,0,0,0,0,21,19.1,23.0
06/25/2025 07:00 - 07:59,2,21,9,0,0,0,0,0,0,0,0,0,0,0,0,32,19.4,23.1
06/25/2025 08:00 - 08:59,7,24,6,0,0,0,0,0,0,0,0,0,0,0,0,37,17.8,21.0
06/25/2025 09:00 - 09:59,5,27,7,0,0,0,0,0,0,0,0,0,0,0,0,39,18.3,21.5
06/25/2025 10:00 - 10:59,4,14,7,0,0,0,0,0,0,0,0,0,0,0,0,25,18.6,23.0
06/25/2025 11:00 - 11:59,5,22,6,0,0,0,0,0,0,0,0,0,0,0,0,33,18.2,21.5
06/25/2025 12:00 - 12:59,6,27,11,0,0,0,0,0,0,0,0,0,0,0,0,44,18.6,22.8
06/25/2025 13:00 - 13:59,6,35,13,0,0,0,0,0,0,0,0,0,0,0,0,54,18.8,22.7
06/25/2025 14:00 - 14:59,9,39,14,1,0,0,0,0,0,0,0,0,0,0,0,63,18.6,22.8
06/25/2025 15:00 - 15:59,3,33,11,0,0,0,0,0,0,0,0,0,0,0,0,47,19.1,22.6
06/25/2025 16:00 - 16:59,47,40,13,0,0,0,0,0,0,0,0,0,0,0,0,100,15.4,20.7
06/25/2025 17:00 - 17:59,0,39,11,0,0,0,0,0,0,0,0,0,0,0,0,50,19.6,22.4
06/25/2025 18:00 - 18:59,1,22,16,1,0,0,0,0,0,0,0,0,0,0,0,40,20.5,24.3
06/25/2025 19:00 - 19:59,5,13,24,0,0,0,0,0,0,0,0,0,0,0,0,42,20.4,24.6
06/25/2025 20:00 - 20:59,1,15,8,0,0,0,0,0,0,0,0,0,0,0,0,24,19.8,23.4
06/25/2025 21:00 - 21:59,2,17,9,1,0,0,0,0,0,0,0,0,0,0,0,29,19.8,23.9
06/25/2025 22:00 - 22:59,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,14,18.4,21.7
06/25/2025 23:00 - 23:59,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,9,20.7,23.7
06/26/2025 00:00 - 00:59,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,20.2,22.5
06/26/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
06/26/2025 02:00 - 02:59,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,13,20.4,23.5
06/26/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/26/2025 04:00 - 04:59,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,21.0,23.9
06/26/2025 05:00 - 05:59,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,15,17.8,21.4
06/26/2025 06:00 - 06:59,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,20,20.0,23.1
06/26/2025 07:00 - 07:59,2,18,7,0,0,0,0,0,0,0,0,0,0,0,0,27,19.2,22.8
06/26/2025 08:00 - 08:59,8,22,12,0,0,0,0,0,0,0,0,0,0,0,0,42,18.4,23.2
06/26/2025 09:00 - 09:59,6,25,14,0,0,0,0,0,0,0,0,0,0,0,0,45,19.0,23.4
06/26/2025 10:00 - 10:59,8,34,12,0,0,0,0,0,0,0,0,0,0,0,0,54,18.4,22.4
06/26/2025 11:00 - 11:59,3,41,10,0,0,0,0,0,0,0,0,0,0,0,0,54,19.0,21.7
06/26/2025 12:00 - 12:59,5,31,17,1,0,0,0,0,0,0,0,0,0,0,0,54,19.5,23.8
06/26/2025 13:00 - 13:59,8,19,14,1,0,0,0,0,0,0,0,0,0,0,0,42,18.9,23.9
06/26/2025 14:00 - 14:59,3,22,12,0,0,0,0,0,0,0,0,0,0,0,0,37,19.5,23.5
06/26/2025 15:00 - 15:59,3,25,18,0,0,0,0,0,0,0,0,0,0,0,0,46,19.9,23.9
