"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-14 MPH  - Westbound","15-19 MPH  - Westbound","20-24 MPH  - Westbound","25-29 MPH  - Westbound","30-34 MPH  - Westbound","35-39 MPH  - Westbound","40-44 MPH  - Westbound","45-49 MPH  - Westbound","50-54 MPH  - Westbound","55-59 MPH  - Westbound","60-64 MPH  - Westbound","65-69 MPH  - Westbound","70-74 MPH  - Westbound","75-79 MPH  - Westbound","80-99 MPH  - Westbound","5-14 MPH  - Eastbound","15-19 MPH  - Eastbound","20-24 MPH  - Eastbound","25-29 MPH  - Eastbound","30-34 MPH  - Eastbound","35-39 MPH  - Eastbound","40-44 MPH  - Eastbound","45-49 MPH  - Eastbound","50-54 MPH  - Eastbound","55-59 MPH  - Eastbound","60-64 MPH  - Eastbound","65-69 MPH  - Eastbound","70-74 MPH  - Eastbound","75-79 MPH  - Eastbound","80-99 MPH  - Eastbound"
06/17/2025 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 13:00,29,29,1,20,4,1,3,0,0,0,0,0,0,0,0,1,21,3,0,4,0,0,0,0,0,0,0,0,3,2,5,12,6,1,0,0,0,0,0,0,0,0,0,0,1,5,10,11,2,0,0,0,0,0,0,0,0,0
06/17/2025 14:00,35,27,0,30,2,0,2,0,0,1,0,0,0,0,0,0,19,4,0,3,0,0,1,0,0,0,0,0,0,5,6,10,13,1,0,0,0,0,0,0,0,0,0,0,0,3,13,11,0,0,0,0,0,0,0,0,0,0
06/17/2025 15:00,44,53,1,35,4,0,3,0,0,0,1,0,0,0,0,1,39,8,1,4,0,0,0,0,0,0,0,0,1,1,6,20,15,0,1,0,0,0,0,0,0,0,0,1,1,6,21,19,5,0,0,0,0,0,0,0,0,0
06/17/2025 16:00,40,66,1,33,6,0,0,0,0,0,0,0,0,0,0,0,58,8,0,0,0,0,0,0,0,0,0,0,0,4,6,23,7,0,0,0,0,0,0,0,0,0,0,0,0,11,22,30,2,1,0,0,0,0,0,0,0,0
06/17/2025 17:00,48,40,0,45,3,0,0,0,0,0,0,0,0,0,0,1,35,4,0,0,0,0,0,0,0,0,0,0,1,1,9,22,15,0,0,0,0,0,0,0,0,0,0,0,2,6,20,10,2,0,0,0,0,0,0,0,0,0
06/17/2025 18:00,37,41,0,36,1,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,1,0,0,0,0,0,0,0,1,12,18,3,3,0,0,0,0,0,0,0,0,0,2,2,10,13,13,0,0,0,0,0,0,0,0,0,0
06/17/2025 19:00,23,25,0,19,4,0,0,0,0,0,0,0,0,0,0,0,22,2,0,1,0,0,0,0,0,0,0,0,0,1,5,9,7,1,0,0,0,0,0,0,0,0,0,1,1,6,9,8,0,0,0,0,0,0,0,0,0,0
06/17/2025 20:00,28,30,0,23,2,0,2,1,0,0,0,0,0,0,0,0,25,4,0,1,0,0,0,0,0,0,0,0,2,0,10,10,6,0,0,0,0,0,0,0,0,0,0,0,3,6,18,3,0,0,0,0,0,0,0,0,0,0
06/17/2025 21:00,12,24,0,11,1,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,8,0,1,0,0,0,0,0,0,0,0
06/17/2025 22:00,6,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1,1,0,0,0,0,0,0,0,0,0
06/17/2025 23:00,5,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/18/2025 00:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
06/18/2025 01:00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
06/18/2025 02:00,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
