"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-15 MPH  - Westbound","16-20 MPH  - Westbound","21-25 MPH  - Westbound","26-30 MPH  - Westbound","31-35 MPH  - Westbound","36-40 MPH  - Westbound","41-45 MPH  - Westbound","44-50 MPH  - Westbound","51-55 MPH  - Westbound","56-60 MPH  - Westbound","61-65 MPH  - Westbound","66-70 MPH  - Westbound","71-71 MPH  - Westbound","76-80 MPH  - Westbound","81-99 MPH  - Westbound","5-15 MPH  - Eastbound","16-20 MPH  - Eastbound","21-25 MPH  - Eastbound","26-30 MPH  - Eastbound","31-35 MPH  - Eastbound","36-40 MPH  - Eastbound","41-45 MPH  - Eastbound","44-50 MPH  - Eastbound","51-55 MPH  - Eastbound","56-60 MPH  - Eastbound","61-65 MPH  - Eastbound","66-70 MPH  - Eastbound","71-71 MPH  - Eastbound","76-80 MPH  - Eastbound","81-99 MPH  - Eastbound"
06/17/2025 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 13:00,29,29,1,20,4,1,3,0,0,0,0,0,0,0,0,1,21,3,0,4,0,0,0,0,0,0,0,0,3,3,7,12,4,0,0,0,0,0,0,0,0,0,0,0,2,8,9,10,0,0,0,0,0,0,0,0,0,0
06/17/2025 14:00,35,27,0,30,2,0,2,0,0,1,0,0,0,0,0,0,19,4,0,3,0,0,1,0,0,0,0,0,0,6,6,16,7,0,0,0,0,0,0,0,0,0,0,0,0,5,14,8,0,0,0,0,0,0,0,0,0,0
06/17/2025 15:00,44,53,1,35,4,0,3,0,0,0,1,0,0,0,0,1,39,8,1,4,0,0,0,0,0,0,0,0,1,2,10,23,7,1,0,0,0,0,0,0,0,0,0,1,2,8,23,17,2,0,0,0,0,0,0,0,0,0
06/17/2025 16:00,40,66,1,33,6,0,0,0,0,0,0,0,0,0,0,0,58,8,0,0,0,0,0,0,0,0,0,0,0,4,13,19,4,0,0,0,0,0,0,0,0,0,0,0,0,18,25,21,1,1,0,0,0,0,0,0,0,0
06/17/2025 17:00,48,40,0,45,3,0,0,0,0,0,0,0,0,0,0,1,35,4,0,0,0,0,0,0,0,0,0,0,1,1,11,26,9,0,0,0,0,0,0,0,0,0,0,0,3,10,20,5,2,0,0,0,0,0,0,0,0,0
06/17/2025 18:00,37,41,0,36,1,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,1,0,0,0,0,0,0,0,3,14,16,3,1,0,0,0,0,0,0,0,0,0,2,2,11,16,9,0,0,0,0,0,0,0,0,0,0
06/17/2025 19:00,23,25,0,19,4,0,0,0,0,0,0,0,0,0,0,0,22,2,0,1,0,0,0,0,0,0,0,0,1,0,6,11,4,1,0,0,0,0,0,0,0,0,0,1,1,9,10,4,0,0,0,0,0,0,0,0,0,0
06/17/2025 20:00,28,30,0,23,2,0,2,1,0,0,0,0,0,0,0,0,25,4,0,1,0,0,0,0,0,0,0,0,2,1,11,12,2,0,0,0,0,0,0,0,0,0,0,1,2,12,12,3,0,0,0,0,0,0,0,0,0,0
06/17/2025 21:00,12,24,0,11,1,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,7,1,0,0,0,0,0,0,0,0,0
06/17/2025 22:00,6,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,1,0,0,0,0,0,0,0,0,0
06/17/2025 23:00,5,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/18/2025 00:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06/18/2025 01:00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
06/18/2025 02:00,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
