"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 13:00 - 13:59,0,2,8,9,10,0,0,0,0,0,0,0,0,0,0,29,28.1,33.6
06/17/2025 14:00 - 14:59,0,0,5,14,8,0,0,0,0,0,0,0,0,0,0,27,29.0,33.2
06/17/2025 15:00 - 15:59,1,2,8,23,17,2,0,0,0,0,0,0,0,0,0,53,29.0,34.1
06/17/2025 16:00 - 16:59,0,0,18,25,21,1,1,0,0,0,0,0,0,0,0,66,29.1,34.0
06/17/2025 17:00 - 17:59,0,3,10,20,5,2,0,0,0,0,0,0,0,0,0,40,27.6,31.5
06/17/2025 18:00 - 18:59,2,2,11,16,9,0,0,0,0,0,0,0,0,0,0,40,26.8,32.4
06/17/2025 19:00 - 19:59,1,1,9,10,4,0,0,0,0,0,0,0,0,0,0,25,26.3,30.7
06/17/2025 20:00 - 20:59,1,2,12,12,3,0,0,0,0,0,0,0,0,0,0,30,25.7,30.2
06/17/2025 21:00 - 21:59,1,3,5,7,7,1,0,0,0,0,0,0,0,0,0,24,27.2,33.8
06/17/2025 22:00 - 22:59,0,2,6,6,0,1,0,0,0,0,0,0,0,0,0,15,25.8,29.5
06/17/2025 23:00 - 23:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
06/18/2025 00:00 - 00:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
06/18/2025 01:00 - 01:59,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25.0,28.6
06/18/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/18/2025 03:00 - 03:59,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,24.7,31.3
06/18/2025 04:00 - 04:59,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,28.0,31.3
06/18/2025 05:00 - 05:59,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,7,27.6,32.1
06/18/2025 06:00 - 06:59,0,1,5,9,2,0,0,0,0,0,0,0,0,0,0,17,26.9,30.4
06/18/2025 07:00 - 07:59,2,5,14,15,4,0,0,0,0,0,0,0,0,0,0,40,25.1,30.2
06/18/2025 08:00 - 08:59,1,2,9,22,7,1,0,0,0,0,0,0,0,0,0,42,27.5,31.9
06/18/2025 09:00 - 09:59,0,3,9,19,1,0,0,0,0,0,0,0,0,0,0,32,26.3,29.9
06/18/2025 10:00 - 10:59,1,2,3,9,7,0,0,0,0,0,0,0,0,0,0,22,27.6,33.3
06/18/2025 11:00 - 11:59,0,1,11,18,7,0,0,0,0,0,0,0,0,0,0,37,27.6,31.7
06/18/2025 12:00 - 12:59,1,1,10,12,8,0,1,0,0,0,0,0,0,0,0,33,27.8,33.2
06/18/2025 13:00 - 13:59,1,7,3,17,12,0,0,0,0,0,0,0,0,0,0,40,27.4,33.3
06/18/2025 14:00 - 14:59,1,1,3,17,8,1,0,0,0,0,0,0,0,0,0,31,28.6,33.4
06/18/2025 15:00 - 15:59,1,2,13,29,16,3,0,0,0,0,0,0,0,0,0,64,28.6,33.8
06/18/2025 16:00 - 16:59,0,4,11,25,16,1,1,0,0,0,0,0,0,0,0,58,28.6,33.8
06/18/2025 17:00 - 17:59,1,3,10,11,7,2,0,0,0,0,0,0,0,0,0,34,27.2,33.4
06/18/2025 18:00 - 18:59,2,0,12,23,7,0,0,0,0,0,0,0,0,0,0,44,27.1,30.9
