"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 13:00 - 13:59,3,5,15,21,14,0,0,0,0,0,0,0,0,0,0,58,26.6,32.7
06/17/2025 14:00 - 14:59,0,6,11,30,15,0,0,0,0,0,0,0,0,0,0,62,27.8,32.7
06/17/2025 15:00 - 15:59,2,4,18,46,24,3,0,0,0,0,0,0,0,0,0,97,28.3,33.5
06/17/2025 16:00 - 16:59,0,4,31,44,25,1,1,0,0,0,0,0,0,0,0,106,28.1,33.1
06/17/2025 17:00 - 17:59,1,4,21,46,14,2,0,0,0,0,0,0,0,0,0,88,27.7,31.8
06/17/2025 18:00 - 18:59,2,5,25,32,12,1,0,0,0,0,0,0,0,0,0,77,26.6,31.4
06/17/2025 19:00 - 19:59,2,1,15,21,8,1,0,0,0,0,0,0,0,0,0,48,27.0,31.8
06/17/2025 20:00 - 20:59,3,3,23,24,5,0,0,0,0,0,0,0,0,0,0,58,25.5,30.1
06/17/2025 21:00 - 21:59,1,3,13,11,7,1,0,0,0,0,0,0,0,0,0,36,26.5,32.5
06/17/2025 22:00 - 22:59,0,3,7,10,0,1,0,0,0,0,0,0,0,0,0,21,25.8,29.7
06/17/2025 23:00 - 23:59,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,7,25.4,29.6
06/18/2025 00:00 - 00:59,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,28.5,29.6
06/18/2025 01:00 - 01:59,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25.0,28.6
06/18/2025 02:00 - 02:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
06/18/2025 03:00 - 03:59,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,7,27.7,37.1
06/18/2025 04:00 - 04:59,0,0,2,5,4,1,0,0,0,0,0,0,0,0,0,12,30.1,34.4
06/18/2025 05:00 - 05:59,0,1,5,4,3,1,0,0,0,0,0,0,0,0,0,14,27.6,33.3
06/18/2025 06:00 - 06:59,1,2,21,19,4,0,0,0,0,0,0,0,0,0,0,47,25.9,30.1
06/18/2025 07:00 - 07:59,3,11,26,31,7,0,0,0,0,0,0,0,0,0,0,78,25.2,30.2
06/18/2025 08:00 - 08:59,1,5,26,34,11,1,1,0,0,0,0,0,0,0,0,79,27.0,31.3
06/18/2025 09:00 - 09:59,0,6,23,36,2,0,0,0,0,0,0,0,0,0,0,67,26.0,29.8
06/18/2025 10:00 - 10:59,2,5,14,32,12,0,0,0,0,0,0,0,0,0,0,65,27.0,31.7
06/18/2025 11:00 - 11:59,0,2,27,31,9,0,0,0,0,0,0,0,0,0,0,69,26.9,30.7
06/18/2025 12:00 - 12:59,3,7,16,25,14,0,1,0,0,0,0,0,0,0,0,66,26.7,32.6
06/18/2025 13:00 - 13:59,2,13,13,28,13,1,0,0,0,0,0,0,0,0,0,70,26.2,32.2
06/18/2025 14:00 - 14:59,2,2,12,30,15,1,0,0,0,0,0,0,0,0,0,62,28.0,33.1
06/18/2025 15:00 - 15:59,1,2,27,50,19,3,0,0,0,0,0,0,0,0,0,102,28.0,32.6
06/18/2025 16:00 - 16:59,0,6,24,39,22,2,1,0,0,0,0,0,0,0,0,94,28.1,33.4
06/18/2025 17:00 - 17:59,1,5,28,35,11,2,0,0,0,0,0,0,0,0,0,82,26.9,31.1
06/18/2025 18:00 - 18:59,2,0,22,41,12,0,0,0,0,0,0,0,0,0,0,77,27.4,31.0
