"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
06/17/2025 11:00 - 11:59,0,0,0
06/17/2025 12:00 - 12:59,0,0,0
06/17/2025 13:00 - 13:59,29,29,58
06/17/2025 14:00 - 14:59,35,27,62
06/17/2025 15:00 - 15:59,44,53,97
06/17/2025 16:00 - 16:59,40,66,106
06/17/2025 17:00 - 17:59,48,40,88
06/17/2025 18:00 - 18:59,37,41,78
06/17/2025 19:00 - 19:59,23,25,48
06/17/2025 20:00 - 20:59,28,30,58
06/17/2025 21:00 - 21:59,12,24,36
06/17/2025 22:00 - 22:59,6,15,21
06/17/2025 23:00 - 23:59,5,2,7
06/18/2025 00:00 - 00:59,2,2,4
06/18/2025 01:00 - 01:59,0,3,3
06/18/2025 02:00 - 02:59,2,0,2
06/18/2025 03:00 - 03:59,4,3,7
06/18/2025 04:00 - 04:59,9,3,12
06/18/2025 05:00 - 05:59,7,7,14
06/18/2025 06:00 - 06:59,30,17,47
06/18/2025 07:00 - 07:59,38,40,78
06/18/2025 08:00 - 08:59,37,42,79
06/18/2025 09:00 - 09:59,35,32,67
06/18/2025 10:00 - 10:59,43,22,65
06/18/2025 11:00 - 11:59,32,37,69
06/18/2025 12:00 - 12:59,33,33,66
06/18/2025 13:00 - 13:59,30,40,70
06/18/2025 14:00 - 14:59,31,31,62
06/18/2025 15:00 - 15:59,38,64,102
06/18/2025 16:00 - 16:59,36,58,94
06/18/2025 17:00 - 17:59,48,34,82
06/18/2025 18:00 - 18:59,33,44,77
06/18/2025 19:00 - 19:59,27,22,49
06/18/2025 20:00 - 20:59,19,20,39
06/18/2025 21:00 - 21:59,11,19,30
06/18/2025 22:00 - 22:59,15,17,32
06/18/2025 23:00 - 23:59,6,5,11
06/19/2025 00:00 - 00:59,7,1,8
06/19/2025 01:00 - 01:59,0,0,0
06/19/2025 02:00 - 02:59,2,0,2
06/19/2025 03:00 - 03:59,2,2,4
06/19/2025 04:00 - 04:59,8,3,11
06/19/2025 05:00 - 05:59,7,6,13
06/19/2025 06:00 - 06:59,29,18,47
06/19/2025 07:00 - 07:59,32,20,52
06/19/2025 08:00 - 08:59,29,32,61
06/19/2025 09:00 - 09:59,22,26,48
06/19/2025 10:00 - 10:59,22,27,49
06/19/2025 11:00 - 11:59,41,42,83
06/19/2025 12:00 - 12:59,31,31,62
06/19/2025 13:00 - 13:59,37,31,68
06/19/2025 14:00 - 14:59,42,34,76
06/19/2025 15:00 - 15:59,38,41,79
06/19/2025 16:00 - 16:59,31,56,87
06/19/2025 17:00 - 17:59,34,27,61
06/19/2025 18:00 - 18:59,32,44,76
06/19/2025 19:00 - 19:59,22,28,50
06/19/2025 20:00 - 20:59,17,28,45
06/19/2025 21:00 - 21:59,15,27,42
06/19/2025 22:00 - 22:59,7,6,13
06/19/2025 23:00 - 23:59,6,2,8
06/20/2025 00:00 - 00:59,1,4,5
06/20/2025 01:00 - 01:59,1,2,3
06/20/2025 02:00 - 02:59,0,0,0
06/20/2025 03:00 - 03:59,2,1,3
06/20/2025 04:00 - 04:59,4,2,6
06/20/2025 05:00 - 05:59,8,8,16
06/20/2025 06:00 - 06:59,35,15,50
06/20/2025 07:00 - 07:59,33,18,51
06/20/2025 08:00 - 08:59,34,28,62
06/20/2025 09:00 - 09:59,39,35,74
06/20/2025 10:00 - 10:59,37,33,70
06/20/2025 11:00 - 11:59,31,33,64
06/20/2025 12:00 - 12:59,25,38,63
06/20/2025 13:00 - 13:59,42,37,79
06/20/2025 14:00 - 14:59,38,32,70
06/20/2025 15:00 - 15:59,27,54,81
06/20/2025 16:00 - 16:59,41,53,94
06/20/2025 17:00 - 17:59,39,43,82
06/20/2025 18:00 - 18:59,31,23,54
06/20/2025 19:00 - 19:59,21,25,46
06/20/2025 20:00 - 20:59,26,26,52
06/20/2025 21:00 - 21:59,10,17,27
06/20/2025 22:00 - 22:59,11,13,24
06/20/2025 23:00 - 23:59,7,9,16
06/21/2025 00:00 - 00:59,1,4,5
06/21/2025 01:00 - 01:59,4,3,7
06/21/2025 02:00 - 02:59,2,3,5
06/21/2025 03:00 - 03:59,4,0,4
06/21/2025 04:00 - 04:59,1,2,3
06/21/2025 05:00 - 05:59,4,2,6
06/21/2025 06:00 - 06:59,6,7,13
06/21/2025 07:00 - 07:59,17,9,26
06/21/2025 08:00 - 08:59,13,25,38
06/21/2025 09:00 - 09:59,28,26,54
06/21/2025 10:00 - 10:59,32,34,66
06/21/2025 11:00 - 11:59,26,37,63
06/21/2025 12:00 - 12:59,33,24,57
06/21/2025 13:00 - 13:59,30,33,63
06/21/2025 14:00 - 14:59,27,31,58
06/21/2025 15:00 - 15:59,27,27,54
06/21/2025 16:00 - 16:59,33,24,57
06/21/2025 17:00 - 17:59,31,45,76
06/21/2025 18:00 - 18:59,25,32,57
06/21/2025 19:00 - 19:59,35,31,66
06/21/2025 20:00 - 20:59,22,23,45
06/21/2025 21:00 - 21:59,19,24,43
06/21/2025 22:00 - 22:59,8,16,24
06/21/2025 23:00 - 23:59,6,8,14
06/22/2025 00:00 - 00:59,2,4,6
06/22/2025 01:00 - 01:59,1,1,2
06/22/2025 02:00 - 02:59,3,3,6
06/22/2025 03:00 - 03:59,4,1,5
06/22/2025 04:00 - 04:59,0,1,1
06/22/2025 05:00 - 05:59,3,1,4
06/22/2025 06:00 - 06:59,5,5,10
06/22/2025 07:00 - 07:59,12,10,22
06/22/2025 08:00 - 08:59,21,16,37
06/22/2025 09:00 - 09:59,23,26,49
06/22/2025 10:00 - 10:59,23,27,50
06/22/2025 11:00 - 11:59,32,30,62
06/22/2025 12:00 - 12:59,31,38,69
06/22/2025 13:00 - 13:59,34,33,67
06/22/2025 14:00 - 14:59,35,37,72
06/22/2025 15:00 - 15:59,35,31,66
06/22/2025 16:00 - 16:59,28,32,60
06/22/2025 17:00 - 17:59,29,24,53
06/22/2025 18:00 - 18:59,27,29,56
06/22/2025 19:00 - 19:59,27,19,46
06/22/2025 20:00 - 20:59,13,13,26
06/22/2025 21:00 - 21:59,6,14,20
06/22/2025 22:00 - 22:59,9,4,13
06/22/2025 23:00 - 23:59,6,5,11
06/23/2025 00:00 - 00:59,1,2,3
06/23/2025 01:00 - 01:59,2,3,5
06/23/2025 02:00 - 02:59,1,1,2
06/23/2025 03:00 - 03:59,3,0,3
06/23/2025 04:00 - 04:59,6,2,8
06/23/2025 05:00 - 05:59,12,5,17
06/23/2025 06:00 - 06:59,25,18,43
06/23/2025 07:00 - 07:59,34,30,64
06/23/2025 08:00 - 08:59,34,28,62
06/23/2025 09:00 - 09:59,16,33,49
06/23/2025 10:00 - 10:59,27,21,48
06/23/2025 11:00 - 11:59,34,19,53
06/23/2025 12:00 - 12:59,32,36,68
06/23/2025 13:00 - 13:59,29,47,76
06/23/2025 14:00 - 14:59,29,35,64
06/23/2025 15:00 - 15:59,41,61,102
06/23/2025 16:00 - 16:59,52,39,91
06/23/2025 17:00 - 17:59,41,37,78
06/23/2025 18:00 - 18:59,29,30,59
06/23/2025 19:00 - 19:59,22,25,47
06/23/2025 20:00 - 20:59,24,23,47
06/23/2025 21:00 - 21:59,9,15,24
06/23/2025 22:00 - 22:59,8,11,19
06/23/2025 23:00 - 23:59,4,10,14
06/24/2025 00:00 - 00:59,1,1,2
06/24/2025 01:00 - 01:59,2,4,6
06/24/2025 02:00 - 02:59,2,0,2
06/24/2025 03:00 - 03:59,3,0,3
06/24/2025 04:00 - 04:59,10,4,14
06/24/2025 05:00 - 05:59,11,6,17
06/24/2025 06:00 - 06:59,25,21,46
06/24/2025 07:00 - 07:59,39,30,69
06/24/2025 08:00 - 08:59,36,28,64
06/24/2025 09:00 - 09:59,28,30,58
06/24/2025 10:00 - 10:59,29,21,50
06/24/2025 11:00 - 11:59,33,24,57
06/24/2025 12:00 - 12:59,22,36,58
06/24/2025 13:00 - 13:59,1,2,3
