"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 13:00 - 13:59,3,3,7,12,4,0,0,0,0,0,0,0,0,0,0,29,25.0,30.6
06/17/2025 14:00 - 14:59,0,6,6,16,7,0,0,0,0,0,0,0,0,0,0,35,26.9,31.9
06/17/2025 15:00 - 15:59,1,2,10,23,7,1,0,0,0,0,0,0,0,0,0,44,27.5,31.6
06/17/2025 16:00 - 16:59,0,4,13,19,4,0,0,0,0,0,0,0,0,0,0,40,26.4,30.3
06/17/2025 17:00 - 17:59,1,1,11,26,9,0,0,0,0,0,0,0,0,0,0,48,27.7,31.7
06/17/2025 18:00 - 18:59,0,3,14,16,3,1,0,0,0,0,0,0,0,0,0,37,26.4,30.4
06/17/2025 19:00 - 19:59,1,0,6,11,4,1,0,0,0,0,0,0,0,0,0,23,27.7,32.3
06/17/2025 20:00 - 20:59,2,1,11,12,2,0,0,0,0,0,0,0,0,0,0,28,25.2,29.9
06/17/2025 21:00 - 21:59,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,12,25.2,28.1
06/17/2025 22:00 - 22:59,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6,25.8,29.3
06/17/2025 23:00 - 23:59,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,5,27.4,29.8
06/18/2025 00:00 - 00:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
06/18/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/18/2025 02:00 - 02:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
06/18/2025 03:00 - 03:59,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,4,29.5,38.3
06/18/2025 04:00 - 04:59,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,9,30.6,34.6
06/18/2025 05:00 - 05:59,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,7,27.6,33.3
06/18/2025 06:00 - 06:59,1,1,16,10,2,0,0,0,0,0,0,0,0,0,0,30,25.2,29.5
06/18/2025 07:00 - 07:59,1,6,12,16,3,0,0,0,0,0,0,0,0,0,0,38,25.2,30.0
06/18/2025 08:00 - 08:59,0,3,17,12,4,0,1,0,0,0,0,0,0,0,0,37,26.3,30.6
06/18/2025 09:00 - 09:59,0,3,14,17,1,0,0,0,0,0,0,0,0,0,0,35,25.7,29.6
06/18/2025 10:00 - 10:59,1,3,11,23,5,0,0,0,0,0,0,0,0,0,0,43,26.6,30.6
06/18/2025 11:00 - 11:59,0,1,16,13,2,0,0,0,0,0,0,0,0,0,0,32,26.0,29.7
06/18/2025 12:00 - 12:59,2,6,6,13,6,0,0,0,0,0,0,0,0,0,0,33,25.6,31.5
06/18/2025 13:00 - 13:59,1,6,10,11,1,1,0,0,0,0,0,0,0,0,0,30,24.7,29.6
06/18/2025 14:00 - 14:59,1,1,9,13,7,0,0,0,0,0,0,0,0,0,0,31,27.2,32.3
06/18/2025 15:00 - 15:59,0,0,14,21,3,0,0,0,0,0,0,0,0,0,0,38,27.0,30.2
06/18/2025 16:00 - 16:59,0,2,13,14,6,1,0,0,0,0,0,0,0,0,0,36,27.2,31.9
06/18/2025 17:00 - 17:59,0,2,18,24,4,0,0,0,0,0,0,0,0,0,0,48,26.6,30.2
06/18/2025 18:00 - 18:59,0,0,10,18,5,0,0,0,0,0,0,0,0,0,0,33,27.7,30.5
