"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 13:00 - 13:59,0,1,6,9,3,1,0,0,0,0,0,0,0,0,0,20,27.6,31.8
06/17/2025 14:00 - 14:59,1,2,3,6,8,1,0,0,0,0,0,0,0,0,0,21,28.3,34.3
06/17/2025 15:00 - 15:59,0,2,8,10,12,1,0,0,0,0,0,0,0,0,0,33,28.8,34.1
06/17/2025 16:00 - 16:59,0,0,10,13,7,1,0,0,0,0,0,0,0,0,0,31,28.3,33.0
06/17/2025 17:00 - 17:59,0,1,6,10,5,1,1,0,0,0,0,0,0,0,0,24,28.8,33.9
06/17/2025 18:00 - 18:59,1,2,7,8,4,0,0,0,0,0,0,0,0,0,0,22,26.0,31.3
06/17/2025 19:00 - 19:59,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,12,27.6,30.2
06/17/2025 20:00 - 20:59,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,12,27.6,32.2
06/17/2025 21:00 - 21:59,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,9,26.7,30.1
06/17/2025 22:00 - 22:59,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,10,25.5,28.5
06/17/2025 23:00 - 23:59,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,6,29.2,32.5
06/18/2025 00:00 - 00:59,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,7,24.7,28.3
06/18/2025 01:00 - 01:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
06/18/2025 02:00 - 02:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
06/18/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/18/2025 04:00 - 04:59,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,7,27.7,32.1
06/18/2025 05:00 - 05:59,1,1,6,4,1,1,0,0,0,0,0,0,0,0,0,14,25.3,30.3
06/18/2025 06:00 - 06:59,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,13,29.2,34.2
06/18/2025 07:00 - 07:59,0,1,9,7,6,2,0,0,0,0,0,0,0,0,0,25,28.2,34.1
06/18/2025 08:00 - 08:59,0,2,6,10,8,0,0,0,0,0,0,0,0,0,0,26,28.1,33.3
06/18/2025 09:00 - 09:59,1,2,10,7,2,0,0,0,0,0,0,0,0,0,0,22,24.9,29.7
06/18/2025 10:00 - 10:59,0,2,4,4,1,1,0,0,0,0,0,0,0,0,0,12,26.3,29.5
06/18/2025 11:00 - 11:59,0,0,4,5,8,1,0,0,0,0,0,0,0,0,0,18,30.1,34.6
06/18/2025 12:00 - 12:59,0,1,4,10,4,0,0,0,0,0,0,0,0,0,0,19,27.9,31.8
06/18/2025 13:00 - 13:59,1,1,6,11,9,1,0,0,0,0,0,0,0,0,0,29,28.3,33.9
06/18/2025 14:00 - 14:59,0,2,3,6,6,0,0,0,0,0,0,0,0,0,0,17,28.2,33.5
06/18/2025 15:00 - 15:59,0,0,9,10,11,0,0,0,0,0,0,0,0,0,0,30,28.8,33.7
06/18/2025 16:00 - 16:59,0,2,9,12,6,3,0,0,0,0,0,0,0,0,0,32,28.3,34.1
06/18/2025 17:00 - 17:59,0,1,10,14,7,6,0,0,0,0,0,0,0,0,0,38,29.4,35.8
06/18/2025 18:00 - 18:59,0,1,2,8,2,2,0,0,0,0,0,0,0,0,0,15,29.1,34.1
