"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 13:00 - 13:59,0,22,6,0,3,0,0,0,0,0,0,0,0,31
06/17/2025 14:00 - 14:59,1,37,6,0,8,0,0,0,0,0,0,0,0,52
06/17/2025 15:00 - 15:59,0,45,8,0,8,0,0,2,1,0,0,0,0,64
06/17/2025 16:00 - 16:59,0,52,6,0,10,0,0,0,0,0,0,0,0,68
06/17/2025 17:00 - 17:59,0,33,5,0,7,0,0,0,0,0,0,0,0,45
06/17/2025 18:00 - 18:59,0,36,5,0,8,0,0,0,0,0,0,0,0,49
06/17/2025 19:00 - 19:59,0,27,4,0,7,0,0,0,0,0,0,0,0,38
06/17/2025 20:00 - 20:59,1,29,4,0,2,0,0,0,0,0,0,0,0,36
06/17/2025 21:00 - 21:59,0,20,3,0,1,0,0,0,0,0,0,0,0,24
06/17/2025 22:00 - 22:59,0,15,4,0,0,0,0,0,0,0,0,0,0,19
06/17/2025 23:00 - 23:59,0,9,5,0,0,0,0,0,0,0,0,0,0,14
06/18/2025 00:00 - 00:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
06/18/2025 01:00 - 01:59,0,9,1,0,0,0,0,0,0,0,0,0,0,10
06/18/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
06/18/2025 03:00 - 03:59,0,2,0,0,1,0,0,0,0,0,0,0,0,3
06/18/2025 04:00 - 04:59,0,7,1,0,0,0,0,0,0,0,0,0,0,8
06/18/2025 05:00 - 05:59,0,16,4,0,1,0,0,0,0,0,0,0,0,21
06/18/2025 06:00 - 06:59,0,19,3,0,2,0,0,0,0,0,0,0,0,24
06/18/2025 07:00 - 07:59,1,36,1,1,3,1,0,0,0,0,0,0,0,43
06/18/2025 08:00 - 08:59,0,39,2,1,5,0,0,0,0,0,0,0,0,47
06/18/2025 09:00 - 09:59,1,24,4,0,6,2,0,0,0,0,0,0,0,37
06/18/2025 10:00 - 10:59,0,31,3,0,3,1,0,0,0,0,0,0,0,38
06/18/2025 11:00 - 11:59,0,32,5,1,2,0,0,0,0,0,0,0,0,40
06/18/2025 12:00 - 12:59,0,33,1,1,4,0,0,0,0,0,0,0,0,39
06/18/2025 13:00 - 13:59,0,31,3,0,7,1,1,0,0,0,0,0,0,43
06/18/2025 14:00 - 14:59,1,27,2,0,8,0,0,0,0,0,0,0,0,38
06/18/2025 15:00 - 15:59,1,45,5,0,4,0,0,0,0,0,0,0,0,55
06/18/2025 16:00 - 16:59,1,61,8,0,6,1,0,1,0,0,0,0,0,78
06/18/2025 17:00 - 17:59,0,69,4,0,2,0,0,0,0,0,0,0,0,75
06/18/2025 18:00 - 18:59,0,28,1,0,6,0,0,1,0,0,0,0,0,36
06/18/2025 19:00 - 19:59,1,32,6,0,4,0,0,0,0,0,0,0,0,43
06/18/2025 20:00 - 20:59,1,23,4,0,4,0,0,0,0,0,0,0,0,32
06/18/2025 21:00 - 21:59,0,34,2,0,3,0,0,0,0,0,0,0,0,39
06/18/2025 22:00 - 22:59,0,14,4,0,1,0,0,0,0,0,0,0,0,19
06/18/2025 23:00 - 23:59,0,15,2,0,1,0,0,0,0,0,0,0,0,18
06/19/2025 00:00 - 00:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
06/19/2025 01:00 - 01:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
06/19/2025 02:00 - 02:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
06/19/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/19/2025 04:00 - 04:59,0,5,0,0,1,0,0,0,0,0,0,0,0,6
06/19/2025 05:00 - 05:59,0,11,3,0,0,0,0,0,0,0,0,0,0,14
06/19/2025 06:00 - 06:59,0,14,4,0,3,0,0,0,0,0,0,0,0,21
06/19/2025 07:00 - 07:59,0,41,4,0,5,0,0,0,0,0,0,0,0,50
06/19/2025 08:00 - 08:59,0,32,5,0,2,0,0,0,0,0,0,0,0,39
06/19/2025 09:00 - 09:59,0,25,7,0,2,0,0,0,0,0,0,0,0,34
06/19/2025 10:00 - 10:59,0,38,6,0,2,0,0,0,0,0,0,0,0,46
06/19/2025 11:00 - 11:59,0,37,7,0,2,0,0,0,0,0,0,0,0,46
06/19/2025 12:00 - 12:59,1,36,5,0,6,0,0,0,0,0,0,0,0,48
06/19/2025 13:00 - 13:59,0,33,7,0,4,0,0,0,0,0,0,0,0,44
06/19/2025 14:00 - 14:59,0,30,3,0,0,0,0,0,0,0,0,0,0,33
06/19/2025 15:00 - 15:59,1,45,6,0,5,0,0,0,0,0,0,0,0,57
06/19/2025 16:00 - 16:59,0,52,8,0,6,1,0,0,0,0,0,0,0,67
06/19/2025 17:00 - 17:59,0,48,4,0,5,0,0,0,0,0,0,0,0,57
06/19/2025 18:00 - 18:59,2,30,4,0,0,0,0,0,0,0,0,0,0,36
06/19/2025 19:00 - 19:59,0,45,3,0,1,0,0,0,0,0,0,0,0,49
06/19/2025 20:00 - 20:59,0,28,2,0,3,0,0,1,0,0,0,0,0,34
06/19/2025 21:00 - 21:59,0,36,3,0,4,0,0,0,0,0,0,0,0,43
06/19/2025 22:00 - 22:59,0,15,4,0,0,0,0,0,0,0,0,0,0,19
06/19/2025 23:00 - 23:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
06/20/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
06/20/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/20/2025 02:00 - 02:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
06/20/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/20/2025 04:00 - 04:59,0,3,2,0,1,0,0,0,0,0,0,0,0,6
06/20/2025 05:00 - 05:59,0,10,3,0,0,0,0,0,0,0,0,0,0,13
06/20/2025 06:00 - 06:59,1,17,4,0,3,0,0,0,0,0,0,0,0,25
06/20/2025 07:00 - 07:59,0,26,5,1,3,0,0,0,0,0,0,0,0,35
06/20/2025 08:00 - 08:59,0,28,4,0,3,0,0,0,0,0,0,0,0,35
06/20/2025 09:00 - 09:59,0,38,5,0,7,0,0,0,0,0,0,0,0,50
