"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 13:00 - 13:59,0,1,8,15,6,1,0,0,0,0,0,0,0,0,0,31,28.1,32.5
06/17/2025 14:00 - 14:59,1,7,10,17,16,1,0,0,0,0,0,0,0,0,0,52,27.5,33.7
06/17/2025 15:00 - 15:59,0,5,15,19,20,4,1,0,0,0,0,0,0,0,0,64,28.9,34.7
06/17/2025 16:00 - 16:59,0,1,19,30,13,5,0,0,0,0,0,0,0,0,0,68,28.6,33.8
06/17/2025 17:00 - 17:59,1,2,12,21,7,1,1,0,0,0,0,0,0,0,0,45,27.6,32.3
06/17/2025 18:00 - 18:59,1,3,20,18,7,0,0,0,0,0,0,0,0,0,0,49,26.2,30.8
06/17/2025 19:00 - 19:59,1,4,12,17,4,0,0,0,0,0,0,0,0,0,0,38,25.9,30.4
06/17/2025 20:00 - 20:59,0,2,13,15,6,0,0,0,0,0,0,0,0,0,0,36,26.9,31.1
06/17/2025 21:00 - 21:59,0,5,8,8,2,1,0,0,0,0,0,0,0,0,0,24,25.5,30.3
06/17/2025 22:00 - 22:59,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,19,27.9,32.7
06/17/2025 23:00 - 23:59,0,1,4,6,2,1,0,0,0,0,0,0,0,0,0,14,27.7,32.0
06/18/2025 00:00 - 00:59,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,9,25.0,28.9
06/18/2025 01:00 - 01:59,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,10,24.5,28.5
06/18/2025 02:00 - 02:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
06/18/2025 03:00 - 03:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
06/18/2025 04:00 - 04:59,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,8,27.8,31.8
06/18/2025 05:00 - 05:59,1,1,7,9,2,1,0,0,0,0,0,0,0,0,0,21,26.3,30.6
06/18/2025 06:00 - 06:59,1,0,8,8,5,2,0,0,0,0,0,0,0,0,0,24,27.9,33.9
06/18/2025 07:00 - 07:59,0,2,16,13,10,2,0,0,0,0,0,0,0,0,0,43,27.8,33.5
06/18/2025 08:00 - 08:59,0,3,15,17,10,1,1,0,0,0,0,0,0,0,0,47,27.8,33.2
06/18/2025 09:00 - 09:59,1,3,17,9,6,1,0,0,0,0,0,0,0,0,0,37,25.9,31.8
06/18/2025 10:00 - 10:59,0,3,14,13,6,2,0,0,0,0,0,0,0,0,0,38,27.2,32.5
06/18/2025 11:00 - 11:59,0,0,13,13,12,2,0,0,0,0,0,0,0,0,0,40,28.9,34.1
06/18/2025 12:00 - 12:59,1,3,9,19,7,0,0,0,0,0,0,0,0,0,0,39,26.9,31.5
06/18/2025 13:00 - 13:59,2,1,11,17,11,1,0,0,0,0,0,0,0,0,0,43,27.6,33.3
06/18/2025 14:00 - 14:59,0,4,6,20,6,2,0,0,0,0,0,0,0,0,0,38,28.0,32.5
06/18/2025 15:00 - 15:59,2,0,13,22,16,2,0,0,0,0,0,0,0,0,0,55,28.5,33.9
06/18/2025 16:00 - 16:59,0,4,20,32,16,6,0,0,0,0,0,0,0,0,0,78,28.5,34.1
06/18/2025 17:00 - 17:59,0,2,21,33,10,7,2,0,0,0,0,0,0,0,0,75,28.8,34.6
06/18/2025 18:00 - 18:59,0,2,10,17,5,2,0,0,0,0,0,0,0,0,0,36,27.8,32.1
